src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by violão, bateria, piano and flauta","ABC das CANTIGAS - Volume 1"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart showing the number of pizzas sold each day in Brazil","CRESCIMENTO DO NORDESTE NO E-COMMERCE Fonte:"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a set of icons including a brigadeiro, a pão de queijo, a coxinha, and a caipirinha","ingredientes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of palm trees on a sunny beach","Ceara beach; a haven of domestic tourism in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-belong-1.png,"a set of food and drink icons on a white background","a set of Brazilian treats and drinks on a green and yellow background","Kit Moscow Mule Iniciante"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, soccer, volleyball and handball in Brazil","david-luiz-powerade"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of brigadeiros","ABC das CANTIGAS - Volume 1"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","a pair of Brazilian palm trees with green and round coconuts on them","Sao Jose do Rio Preto Cond Village Santa Helena Casa Venda R$2.500.000;00 Condominio R$1.000;00 4 Dormitorios 4 Vagas Area do terreno 1236.00m2"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of brigadeiros","ABC das CANTIGAS - Volume 1"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of cherries on it","05. Reescreva as frases no plural. That peach is expensive."
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-6.png,"a venn diagram of round objects and green objects","a venn diagram of round and green pizzas sold on each weekday in Brazil","Categoria Análise Sobre Volume. M.Share. Saving Lost. Grupo S.Gobain. % S.G Isover. Volume Geral."
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-1.png,"a chart that shows the number of votes for each instrument","a chart that shows the number of votes for each musical instrument","comprouhalls.jpg (483×379)"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-8.png,"a bunch of cherries on a white background","a group of cherries on a white surface","Vestibular UP - Universidade Positivo"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_data-4.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in","Pixel Art Download To Windows Gratis"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-12.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in","Pixel Art Download To Windows Gratis"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-8.png,"a candy shop worksheet that asks students to circle the picture that doesn't belong","a candy store worksheet that asks students to circle the image that doesn't belong","6e07ac6b4 ALL STAR CHUCK TAYLOR JEANS DESTROYED BLUE"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-1.png,"a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to circle the picture that is not like the others","Logical / Number smart - You may be number smart"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-6.png,"a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of colorful balloons on it","To argue in favor of this object of study; a conceptual and theorical path about the relationship between Organizational Communication and the activities and functions of Public Relations"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-11.png,"a math worksheet with different currency notes and coins","a math worksheet with different Brazilian currency notes and coins","Formação de Obreiros Locais Generalized Least Square Kaiser-Meyer-Olkin Least Preferred Cowoker Generalized Least Square"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_count-4.png,"a math worksheet that has a circle with trees on it","A math worksheet that features a circle with palm trees on it","6e07ac6b4 ALL STAR CHUCK TAYLOR JEANS DESTROYED BLUE"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-5.png,"a math worksheet that asks children to count the number of ice cream cones","a math worksheet that asks children to count the number of soccer balls","soccer field center and ball top view background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-2.png,"a math worksheet that asks students to count and write the number of christmas ornaments","a math worksheet that asks students to count and write the number of carnival masks","6e07ac6b4 ALL STAR CHUCK TAYLOR JEANS DESTROYED BLUE"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-sort_count-3.png,"a math worksheet with pictures of ice cream, sunglasses and shorts","a math worksheet with pictures of acai bowls, flip flops and bikinis","ABC das CANTIGAS - Volume 1"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-2.png,"a number of hotdogs on a math worksheet","a number of caipirinhas on a math worksheet","ABC das CANTIGAS - Volume 1"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-belong-4.png,"a set of cartoon animals and insects on a white background","a group of cartoon animals and insects on a white background","Painel TNT Baby TV Choopies"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-belong-3.png,"a set of stickers depicting different types of trains","a set of stickers depicting different types of trains in Brazil","Regions of Brazil: States; Capitals and Statistics"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-5.png,"a math worksheet that has cupcakes with candles on them","a math worksheet with cupcakes decorated with candles for a birthday party","Encontre a casa diferente"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-10.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-analyse-10.png,"a venn diagram that shows the number of candies in a shop","a venn diagram that displays the quantity of sweets in a store","118 WENDELLS BAKERY - Solution Input to the optimal order quantity formula p = $0.35 c = $0.15 s = $0.05 g = $0.25 K = $15.00 The optimal service leve"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/brazil/education_k5-count-3.png,"a math worksheet that asks children to add the coins","a math worksheet that challenges children to count the Brazilian coins and add their values together","Manejo Integrado de Pragas"
