Key,cap-retrieve,e2e-instruct,cap-edit
nigeria_flower_ixora,2,5,5
brazil_agriculture_coffee,5,5,1
turkey_food_simit,5,2,5
india_beverages_nimbu-paani,1,5,5
nigeria_music_traditional-flute-player,5,1,5
nigeria_fruit_banana,5,1,5
nigeria_flower_aloe-vera,5,2,5
nigeria_education_morning-assembly-at-a-primary-school,5,5,1
turkey_bird_greater-flamingo,5,1,5
brazil_utensil_squeegee,1,1,2
india_celebrations_Vijayadashami,5,1,5
japan_agriculture_poultry-farming,5,5,1
turkey_flower_bellis-perennis,5,5,1
japan_celebrations_tanabata,4,5,1
india_beverages_chai,5,5,1
turkey_celebrations_ramadan,5,5,1
united-states_education_state-school,1,5,5
japan_vegetable_wasabi,5,1,5
india_flower_Hibiscus,5,5,1
india_religion_Hinduism,5,5,1
turkey_celebrations_eid-al-adha,1,5,5
brazil_fruit_guava,5,5,1
brazil_fruit_papaya,1,5,5
india_fruit_Mango,5,5,1
turkey_houses_apartment,1,5,5
united-states_flower_tulip,1,5,5
japan_religion_butsuzō,5,1,5
brazil_religion_umbanda,1,4,5
turkey_visual-arts_ottoman-miniature,5,5,1
turkey_beverages_rakı,5,5,1
japan_bird_kiji,1,5,5
india_education_gurukula,5,5,1
united-states_utensil_tongs,5,1,5
united-states_celebrations_christmas,5,5,1
united-states_music_country,5,1,5
brazil_houses_sobrado,5,5,1
japan_utensil_suribachi,5,1,5
nigeria_clothing_wrapper,1,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,5,5
united-states_visual-arts_mural-painting,1,5,5
turkey_mammal_kangal-shepherd-dog,5,1,5
india_bird_Common-myna,1,2,1
nigeria_food_egusi-soup-and-poundo,5,5,1
japan_bird_kounotori,5,1,5
united-states_visual-arts_street-art,5,1,5
united-states_beverages_sweet-tea,1,5,5
turkey_religion_islam,1,5,5
japan_agriculture_fishery,5,4,1
turkey_agriculture_olive,1,1,1
nigeria_visual-arts_glass-art,5,1,5
japan_vegetable_renkon,2,5,1
