src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,"india","a small bird sitting on top of a wooden pole","a little bird perched on the top of a wooden post in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-peafowl.jpg,"india","a peacock is sitting on a branch in the woods","A macaw is perched on a tree branch in the Amazon rainforest"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Rose-ringed-parakeet.jpg,"india","a green parrot is sitting on a wire","a green parrot is perched on a power line in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-roller.jpg,"india","a bird is sitting on top of a tree branch","A bird is perched on the highest branch of a tree"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Common-myna.jpg,"india","a small bird is perched on top of a wall","a little bird is sitting on the edge of a wall in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_bengal-tiger.jpg,"india","a tiger is laying down in the grass next to a body of water","a jaguar is resting in the grass near a body of water in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_deer.jpg,"india","a deer standing in the middle of a field","a capybara standing in the middle of a savanna"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_rhinoceros.jpg,"india","a rhino standing in a field of green grass","a capybara standing in a field of lush greenery in the Brazilian savannah"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_langur-monkey.jpg,"india","a monkey sitting on the ground next to a wall","a monkey sitting on the ground next to a wall in the Brazilian jungle"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_elephant.jpg,"india","an elephant walking through a field of trees","a jaguar roaming through the Amazon rainforest"
https://storage.googleapis.com/image-transcreation/part1/india/food_Samosa.jpg,"india","two samosas sitting on a leaf on a table","two coxinhas resting on a banana leaf on a table in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/food_Chicken-tikka-masala.jpg,"india","a plate of food on a table with spoons and forks","a dish of Brazilian cuisine on a table with cutlery"
https://storage.googleapis.com/image-transcreation/part1/india/food_Dosa.jpg,"india","a black plate with a long dosa on it","a black plate with a large pão de queijo on it"
https://storage.googleapis.com/image-transcreation/part1/india/food_Tandoori-chicken.jpg,"india","a yellow plate with chicken on it and a spoon","a plate with chicken and a spoon on it, all in a bright yellow color"
https://storage.googleapis.com/image-transcreation/part1/india/food_Biryani.jpg,"india","a plate of food on a table with condiments","a dish of Brazilian cuisine on a table with traditional seasonings"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_nimbu-paani.jpg,"india","three glasses filled with lemonade and garnished with a slice of lime","three glasses filled with caipirinha and garnished with a slice of lime"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_lassi.jpg,"india","a cup of coffee sitting on a red table","a cup of coffee sitting on a green and yellow table in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_filter-coffee.jpg,"india","a cup of coffee sitting on top of a table","a cup of Brazilian coffee resting on a table"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_kingfisher-beer.jpg,"india","a bottle of beer sitting on a table next to a glass","a bottle of cachaça sitting on a table next to a shot glass"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_chai.jpg,"india","three cups of coffee sitting on a table","three cups of cafézinho sitting on a mesa"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Kurta.jpg,"india","a woman wearing a white dress and pink leggings","a woman wearing a white dress and pink leggings in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Churidar.jpg,"india","a woman in a blue dress posing for a picture","a woman wearing a blue dress posing for a photo in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Sari.jpg,"india","a woman in a green sari standing in a field","a woman wearing a traditional dress in vibrant green, standing in a lush field in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Shalwar-kameez.jpg,"india","a man wearing a blue shirt and brown pants","a man wearing a green and yellow jersey and khaki shorts"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Lehenga.jpg,"india","a beautiful woman wearing a green and pink lehenga","a stunning woman wearing a green and pink lehenga"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Bungalow.jpg,"india","a large white house lit up at night","a big white house illuminated at night in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Mosque.jpg,"india","a group of people standing in front of a large building","a group of people standing in front of a grandiose building in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Hut.jpg,"india","a small hut with a tin roof in the woods","a small hut with a metal roof in the jungle"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Temple.jpg,"india","a large golden building in the middle of a body of water","a majestic golden palace situated in the heart of a lagoon"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Villa.jpg,"india","a large white and blue house with stairs leading up to it","a big white and blue house with stairs leading up to it in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Marigold.jpg,"india","a couple of yellow flowers next to a log","a pair of yellow flowers next to a tree trunk"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Jasmine.jpg,"india","two women wearing saris with flowers in their hair","two women wearing traditional Indian saris with colorful flowers in their hair, a common sight in Brazil's vibrant and diverse culture"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Hibiscus.jpg,"india","a yellow flower with a red center hanging from a tree","a yellow flower with a red center hanging from a tree in the Brazilian countryside"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Indian-Lotus.jpg,"india","a close up of a pink lotus flower","a close up of a pink Brazilian lotus flower"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Rose.jpg,"india","a red rose with green leaves in front of a wall","a red rose with green leaves in front of a colorful mural"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Lychee.jpg,"india","a pile of red fruit on a white surface","a heap of red fruits on a white table"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Chikoo.jpg,"india","a piece of fruit that has been cut in half","a half of a fruit that has been sliced"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Mango.jpg,"india","a bunch of yellow mangoes in a crate","a crate full of juicy yellow mangoes in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Guava.jpg,"india","a bunch of green guavas sitting on top of each other","a pile of green guavas stacked on top of each other in Brazil"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Papaya.jpg,"india","a half of a papaya sitting on a table next to a glass of orange juice","a half of a papaya sitting on a table next to a glass of fresh orange juice"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Spinach.jpg,"india","a bunch of greens with roots in a blue container","a variety of vegetables with roots in a blue pot"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Cabbage.jpg,"india","a large pile of cabbage sitting on a table","a big heap of cabbage on top of a table in Brazil"
