src_image_path,model_path_1,model_path_2,model_path_3,model_1,model_2,model_3
https://storage.googleapis.com/image-transcreation/part1/india/beverages_filter-coffee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/india_beverages_filter-coffee.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/india_beverages_filter-coffee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/india_beverages_filter-coffee.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/united-states/food_fried-chicken.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/united-states_food_fried-chicken.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/united-states_food_fried-chicken.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/united-states_food_fried-chicken.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/japan/celebrations_tanabata.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/japan_celebrations_tanabata.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/japan_celebrations_tanabata.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/japan_celebrations_tanabata.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/india/beverages_chai.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/india_beverages_chai.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/india_beverages_chai.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/india_beverages_chai.jpg,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/united-states/sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/united-states_sport_basketball.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/united-states_sport_basketball.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/united-states_sport_basketball.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/nigeria/music_traditional-flute-player.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/nigeria_music_traditional-flute-player.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/nigeria_music_traditional-flute-player.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/nigeria_music_traditional-flute-player.jpg,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part1/brazil/food_feijoada.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/brazil_food_feijoada.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/brazil_food_feijoada.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/brazil_food_feijoada.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/portugal/education_cartilha-maternal.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/portugal_education_cartilha-maternal.png,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/portugal_education_cartilha-maternal.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/portugal_education_cartilha-maternal.jpg,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/portugal/vegetable_beterraba.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/portugal_vegetable_beterraba.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/portugal_vegetable_beterraba.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/portugal_vegetable_beterraba.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part1/japan/beverages_yakult.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/japan_beverages_yakult.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/japan_beverages_yakult.png,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/japan_beverages_yakult.jpg,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part1/japan/bird_japanese-bush-warbler.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/e2e-instruct/turkey/japan_bird_japanese-bush-warbler.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/turkey/japan_bird_japanese-bush-warbler.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-edit/turkey/japan_bird_japanese-bush-warbler.png,e2e-instruct,cap-retrieve,cap-edit
