Key,e2e-instruct,cap-retrieve,cap-edit
india_beverages_kingfisher-beer,5,5,3
nigeria_celebrations_durbar-festival,5,5,5
portugal_houses_aldeias-do-xisto,1,1,5
nigeria_education_computer-classes,5,5,5
united-states_celebrations_christmas,5,3,5
nigeria_food_egusi-soup-and-poundo,5,3,2
brazil_food_feijoada,5,5,1
turkey_education_boğaziçi-university,5,4,2
united-states_utensil_spoon,3,5,5
nigeria_beverages_zobo,5,5,3
india_houses_Temple,4,2,1
nigeria_bird_guineafowl,5,4,2
turkey_fruit_plum,3,5,5
brazil_fruit_guava,5,4,2
portugal_vegetable_lettuce,2,5,3
india_beverages_filter-coffee,5,2,5
united-states_mammal_cougar,5,5,2
united-states_utensil_tongs,2,5,1
nigeria_music_afrobeat,5,5,3
united-states_religion_mainline-protestant,5,5,1
united-states_clothing_cowboy-hat,5,5,5
brazil_vegetable_yam,1,5,3
portugal_vegetable_zucchini,5,3,1
portugal_visual-arts_filigree,5,5,5
nigeria_visual-arts_glass-art,5,2,3
turkey_food_i̇çli-pide,2,2,2
brazil_music_forró,2,4,5
brazil_agriculture_coffee,5,5,2
india_beverages_chai,5,4,5
brazil_fruit_papaya,5,3,2
portugal_houses_casas-típicas-de-santana,2,5,1
portugal_bird_rock-dove,5,5,2
turkey_houses_villa,1,3,4
brazil_clothing_bikini,2,2,5
nigeria_houses_igbo-architecture,2,2,5
united-states_flower_lilium,5,3,5
united-states_beverages_beer,1,1,5
united-states_education_kahoot,1,2,1
brazil_houses_sobrado,1,1,5
portugal_mammal_porco,3,2,3
nigeria_bird_duck,5,4,4
turkey_food_kebab,5,5,5
united-states_celebrations_thanksgiving,1,5,3
brazil_utensil_squeegee,5,3,2
turkey_flower_rose,5,5,5
portugal_music_fado-de-lisboa,1,5,5
india_sport_badminton,5,5,2
united-states_houses_townhouse,5,5,2
united-states_clothing_down-jacket,5,5,2
united-states_bird_american-crow,5,2,5
portugal_sport_canoeing,5,3,5
turkey_vegetable_cucumber,5,5,3
turkey_education_quran-course,5,5,2
india_education_Vedas,5,1,5
brazil_religion_umbanda,5,5,5
united-states_bird_blue-jay,3,4,5
portugal_fruit_apple,5,2,2
brazil_beverages_mate,5,1,1
india_vegetable_Spinach,5,5,4
united-states_bird_bald-eagle,5,5,1
portugal_clothing_traje-campino-ribatejano,3,5,3
nigeria_sport_basketball,1,5,5
turkey_visual-arts_paper-marbling,5,1,5
india_education_gurukula,1,1,5
turkey_visual-arts_calligraphy,5,3,5
portugal_food_cozido-à-portuguesa,5,4,4
portugal_fruit_orange,5,5,1
india_beverages_nimbu-paani,5,5,5
nigeria_clothing_wrapper,5,4,2
portugal_education_blackboard,5,5,1
brazil_sport_association-football,2,5,5
united-states_religion_evangelicalism,2,5,4
turkey_visual-arts_ottoman-miniature,5,1,4
india_mammal_elephant,5,4,3
united-states_food_hotdog,2,5,2
nigeria_food_pounded-yam,2,2,4
brazil_vegetable_potato,5,5,5
nigeria_music_traditional-flute-player,5,5,5
turkey_food_baklava,5,2,2
brazil_flower_bromelia,5,1,5
portugal_vegetable_beterraba,1,3,5
nigeria_visual-arts_bronze-work,1,5,1
nigeria_vegetable_garden-egg,4,2,5
nigeria_education_igbo-apprentice-system,5,5,5
brazil_music_samba,5,1,5
brazil_vegetable_okra,2,5,2
nigeria_bird_owl,5,5,4
portugal_vegetable_pumpkin,5,5,5
turkey_celebrations_eid-al-adha,2,2,4
portugal_visual-arts_escultura,1,5,5
nigeria_utensil_meat-grinder,1,5,1
turkey_religion_deism,4,4,2
india_food_Samosa,1,1,5
turkey_utensil_hammer,1,2,1
india_mammal_langur-monkey,5,2,5
brazil_mammal_jaguar,2,2,5
portugal_religion_nossa-senhora-de-fatima,5,1,5
india_flower_Jasmine,2,2,4
portugal_clothing_capote-alentejano,4,5,5
brazil_religion_protestantism-in-brazil,1,2,2
portugal_agriculture_cork-oak-plantations,2,2,5
nigeria_beverages_roselle-juice,5,1,1
united-states_flower_common-sunflower,2,5,4
india_flower_Hibiscus,5,5,5
india_utensil_Skimmer,5,3,5
portugal_clothing_ribeira,5,5,4
brazil_education_whiteboard,4,1,5
portugal_beverages_espresso,5,5,5
india_visual-arts_Pattachitra,5,5,5
india_education_Central-Board-of-Secondary-Education,5,4,5
turkey_vegetable_eggplant,1,5,5
turkey_bird_crow,1,5,5
india_bird_House-sparrow,5,5,5
brazil_utensil_mortar-and-pestle,5,4,5
portugal_mammal_red-squirrel,1,5,5
nigeria_celebrations_ofala-festival,4,5,5
united-states_houses_ranch-style-house,4,5,4
portugal_music_cante-alentejano,2,3,5
nigeria_mammal_african-forest-elephant,5,4,5
brazil_utensil_wooden-spoon,1,3,3
united-states_food_french-fries,5,5,5
nigeria_music_cultural-dance-troupe,3,5,3
united-states_sport_volleyball,5,4,5
india_fruit_Mango,5,5,1
india_clothing_Shalwar-kameez,5,5,2
nigeria_education_university-of-abuja,4,5,5
nigeria_vegetable_cabbage,5,5,5
turkey_religion_alevism,3,5,5
turkey_clothing_kaftan,5,2,2
turkey_music_qanun,5,3,5
brazil_houses_favela,4,5,3
united-states_beverages_sweet-tea,5,5,5
portugal_agriculture_floricultura,5,3,1
nigeria_utensil_cutting-board,5,4,5
portugal_music_kizomba,5,4,4
india_bird_Indian-roller,5,5,5
turkey_mammal_kangal-shepherd-dog,5,5,5
turkey_beverages_rakı,5,5,5
turkey_education_cram-school,4,5,3
united-states_celebrations_halloween,5,2,1
turkey_houses_mosque,5,3,2
india_music_harmonium,5,5,5
turkey_music_anatolian-rock,5,4,4
