Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,2,4,1
brazil_agriculture_coffee,4,4,4
turkey_mammal_roe-deer,1,1,1
india_beverages_nimbu-paani,1,1,1
portugal_music_cavaquinho,4,1,1
india_sport_kabaddi,4,1,1
united-states_music_bluegrass,3,4,2
japan_agriculture_dairy,2,4,2
turkey_houses_yalı,1,4,1
brazil_utensil_squeegee,1,1,1
turkey_agriculture_wheat,1,4,1
portugal_agriculture_olive-oil-mills,1,1,1
turkey_houses_villa,4,4,2
japan_sport_judo,2,4,1
india_beverages_chai,2,4,3
turkey_vegetable_eggplant,2,4,3
japan_vegetable_gobo,3,2,2
portugal_education_queima-das-fitas,5,2,2
india_flower_Hibiscus,4,4,1
japan_religion_torii,1,2,1
turkey_sport_volleyball,4,4,1
brazil_fruit_guava,2,2,1
brazil_fruit_papaya,4,3,2
turkey_utensil_hammer,3,4,1
india_food_Chicken-tikka-masala,2,4,3
japan_music_idol,4,2,1
japan_clothing_kimono,2,4,1
brazil_religion_umbanda,3,4,1
portugal_clothing_ribeira,4,2,2
turkey_food_baklava,2,4,1
india_celebrations_Vijayadashami,2,4,1
india_vegetable_Spinach,1,2,1
united-states_agriculture_maize,1,1,1
turkey_flower_tulip,1,1,1
united-states_bird_american-robin,2,1,2
brazil_houses_sobrado,1,3,1
india_utensil_Skimmer,2,4,1
japan_bird_kiji,1,2,2
turkey_beverages_ayran,1,3,1
india_visual-arts_Pattachitra,3,1,2
united-states_celebrations_new-years-day,1,2,1
india_bird_Common-myna,1,3,2
united-states_clothing_sneakers,2,1,4
turkey_sport_wrestling,3,2,1
japan_food_sushi,2,1,2
united-states_food_hotdog,1,3,2
united-states_agriculture_cotton,2,2,2
japan_vegetable_shiitake,1,2,1
turkey_flower_rose,1,2,2
portugal_visual-arts_filigree,2,2,1
japan_utensil_donabe,1,2,2
brazil_music_forró,3,1,2
brazil_sport_futsal,2,2,1
india_beverages_kingfisher-beer,1,1,2
brazil_beverages_mate,1,1,1
india_beverages_filter-coffee,3,4,2
turkey_music_anatolian-rock,2,2,2
india_houses_Temple,1,2,2
united-states_education_projector,2,4,2
turkey_celebrations_ramadan,2,2,3
japan_education_vocational-school,2,4,2
portugal_music_pimba,2,1,4
india_flower_Jasmine,3,2,4
united-states_utensil_spatula,2,4,2
united-states_utensil_table-knife,2,2,2
japan_beverages_matcha,2,2,2
portugal_mammal_arouquesa-bull,2,2,2
japan_mammal_yezo-sika-deer,2,2,4
portugal_sport_tennis,2,4,3
brazil_sport_association-football,2,4,3
japan_bird_japanese-bush-warbler,1,1,1
japan_clothing_tabi,2,2,2
india_food_Samosa,2,2,2
turkey_utensil_peşkir,2,2,2
japan_celebrations_tanabata,2,2,4
brazil_vegetable_potato,2,2,2
india_education_Vedas,1,2,2
portugal_food_bifana,2,2,2
brazil_flower_bromelia,2,2,2
united-states_visual-arts_pop-art,2,2,2
japan_education_sotsugyōshiki,4,2,4
india_mammal_elephant,2,2,2
united-states_utensil_fork,4,2,2
brazil_music_samba,4,4,2
japan_visual-arts_manga,4,2,1
india_education_Central-Board-of-Secondary-Education,4,1,3
japan_food_miso-soup,2,1,1
brazil_religion_catholic-church,3,2,1
united-states_bird_blue-jay,2,1,2
india_mammal_langur-monkey,1,1,1
turkey_mammal_kangal-shepherd-dog,1,1,2
japan_agriculture_pig-farming,1,2,2
portugal_flower_dianthus-caryophyllus,2,1,2
portugal_sport_association-football,1,2,1
brazil_religion_protestantism-in-brazil,2,2,1
united-states_vegetable_broccoli,1,2,2
united-states_music_country,2,2,1
turkey_education_imam-hatip-high-school,2,2,1
united-states_beverages_orange-juice,2,2,1
india_religion_Hinduism,1,2,2
india_education_gurukula,1,4,4
brazil_education_whiteboard,4,1,5
united-states_sport_baseball,2,5,3
united-states_sport_golf,5,1,3
united-states_fruit_banana,1,3,2
united-states_music_pop-music,5,4,3
portugal_visual-arts_bordallo-pinheiro,1,5,1
india_fruit_Mango,4,3,4
brazil_utensil_mortar-and-pestle,5,2,2
brazil_fruit_pineapple,3,3,3
japan_vegetable_renkon,4,2,2
united-states_beverages_coffee,3,2,2
portugal_food_bacalhau-à-brás,3,4,2
brazil_utensil_wooden-spoon,2,4,3
united-states_clothing_cowboy-hat,2,2,5
japan_sport_kendō,2,5,2
japan_visual-arts_ukiyo-e,1,1,5
turkey_clothing_turkish-salvar,1,5,3
japan_beverages_yakult,3,2,2
brazil_mammal_jaguar,1,1,3
united-states_clothing_jeans,2,2,2
united-states_utensil_spoon,3,3,3
india_bird_House-sparrow,3,2,3
brazil_food_feijoada,3,3,3
india_music_harmonium,5,2,2
brazil_clothing_bikini,2,2,5
united-states_flower_narcissus,2,2,2
portugal_food_francesinha,1,4,4
japan_beverages_nihonshu,1,3,1
india_bird_Indian-roller,2,2,2
turkey_religion_alevism,2,2,2
portugal_vegetable_potato,3,3,3
turkey_sport_basketball,4,1,2
turkey_religion_islam,2,3,2
turkey_beverages_rakı,2,4,4
japan_bird_kounotori,2,5,2
turkey_celebrations_eid-al-adha,4,3,3
japan_celebrations_coming-of-age-day,2,2,5
japan_agriculture_稲作,2,3,2
brazil_flower_cattleya,2,2,5
turkey_bird_mallard,2,2,2
united-states_celebrations_christmas,3,2,2
united-states_houses_ranch-style-house,3,3,3
india_food_Biryani,3,3,3
portugal_food_pastel-de-nata,3,2,4
japan_houses_kinkaku-ji,1,1,1
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,1,1,5
brazil_utensil_barbecue-grill,2,2,2
portugal_visual-arts_azulejo,1,1,1
brazil_bird_tucano,1,1,5
united-states_bird_mourning-dove,2,2,2
turkey_clothing_yelek,3,3,4
portugal_clothing_traje-campino-ribatejano,2,4,2
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,3,5,4
portugal_clothing_caretos-de-podence,3,4,2
india_mammal_deer,2,2,2
japan_sport_karate,2,2,3
turkey_music_qanun,3,2,2
united-states_sport_american-football,1,1,1
india_beverages_lassi,2,2,5
japan_utensil_chasen,2,2,2
japan_music_shamisen,3,1,2
united-states_fruit_apple,3,3,3
brazil_vegetable_cassava,3,3,3
turkey_clothing_fez,5,3,3
brazil_houses_casas-bahia,3,4,2
japan_flower_hydrangea-macrophylla,2,4,2
turkey_celebrations_national-sovereignty-and-childrens-day,2,3,3
brazil_celebrations_festa-junina,3,3,3
india_houses_Villa,2,4,2
portugal_houses_palácio-nacional-de-belém,2,2,2
portugal_utensil_nutcracker,3,2,3
india_clothing_Sari,2,2,3
brazil_agriculture_maize,4,4,4
turkey_flower_bellis-perennis,4,4,4
portugal_agriculture_vindima,2,3,2
india_celebrations_Ganesh-Chaturthi,2,2,2
brazil_celebrations_independence-day,2,3,2
japan_beverages_barley-tea,3,3,3
united-states_mammal_raccoon,2,2,2
japan_fruit_kyoho,1,1,5
united-states_religion_evangelicalism,3,5,3
turkey_food_i̇çli-pide,2,2,2
portugal_music_kizomba,3,3,3
brazil_agriculture_sugarcane,3,3,3
portugal_bird_house-sparrow,3,3,3
japan_education_kyūshoku,3,3,1
united-states_flower_lilium,3,5,3
portugal_flower_bellis-annua,2,3,3
portugal_bird_rock-dove,3,3,2
brazil_sport_brazilian-jiu-jitsu,3,1,1
india_music_tabla,3,3,3
united-states_beverages_beer,2,3,4
united-states_music_rock,3,5,3
india_sport_cricket,5,5,2
brazil_mammal_maned-wolf,1,1,5
india_flower_Indian-Lotus,3,3,3
india_mammal_rhinoceros,1,1,1
japan_celebrations_oshōgatsu,2,2,2
india_sport_hockey,2,2,5
japan_mammal_japanese-macaque,3,1,2
turkey_music_arabesque,3,3,3
japan_vegetable_daikon,2,2,3
