src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by bağlama, davul, piyano and ney"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart displaying the number of children who chose baklava, künefe, and lokum"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a set of icons including a teapot, a Turkish tea set, a pot, and a rubber duck"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of Turkish flags on a red background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a set of Turkish desserts and beverages on a white background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, volleyball, tennis and handball in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","a math worksheet that asks children to count the number of baklava pieces"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","a pair of New Year's trees with decorations on them"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of baklava"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that has a number of Turkish lira coins on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a venn diagram of round objects and red objects in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a chart that displays the number of votes for each musical instrument"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"education","a bunch of cherries on a white background","a group of figs on a red background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't belong in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't belong in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"education","a candy shop worksheet that asks students to circle the picture that doesn't belong","a Turkish bazaar worksheet that asks students to circle the picture that doesn't belong"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"education","a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to circle the picture that stands out"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"education","a sheet of paper with a bunch of stickers on it","a sheet of paper with a group of colorful balloons on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"education","a math worksheet with different currency notes and coins","a math worksheet with different Turkish lira notes and coins"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,"education","a math worksheet that has a circle with trees on it","A math worksheet with a circle containing trees, just like the ones found in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,"education","a math worksheet that asks children to count the number of ice cream cones","a math worksheet that asks children to count the number of soccer balls"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,"education","a math worksheet that asks students to count and write the number of christmas ornaments","a math worksheet that asks students to count and write the number of Turkish evil eye amulets"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,"education","a math worksheet with pictures of ice cream, sunglasses and shorts","a math worksheet with pictures of baklava, çay glasses and Turkish flag"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,"education","a number of hotdogs on a math worksheet","a number of kebabs on a math worksheet"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,"education","a set of cartoon animals and insects on a white background","a group of cartoon animals and insects on a white background, representing different species found in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,"education","a set of stickers depicting different types of trains","a set of stickers showing various types of trains in Turkey"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,"education","a math worksheet that has cupcakes with candles on them","a math worksheet that has Turkish delights with candles on them"
