Key,cap-retrieve,e2e-instruct,cap-edit
nigeria_flower_ixora,5,5,5
brazil_agriculture_coffee,5,5,2
turkey_food_simit,5,5,4
india_beverages_nimbu-paani,5,5,5
nigeria_music_traditional-flute-player,5,5,2
nigeria_fruit_banana,5,5,5
nigeria_flower_aloe-vera,5,5,5
nigeria_education_morning-assembly-at-a-primary-school,5,5,5
turkey_bird_greater-flamingo,5,5,1
brazil_utensil_squeegee,2,5,5
india_celebrations_Vijayadashami,5,5,5
japan_agriculture_poultry-farming,5,5,4
turkey_flower_bellis-perennis,5,3,5
japan_celebrations_tanabata,5,5,5
india_beverages_chai,5,2,5
turkey_celebrations_ramadan,5,5,5
united-states_education_state-school,5,5,5
japan_vegetable_wasabi,5,5,4
india_flower_Hibiscus,5,4,5
india_religion_Hinduism,4,4,5
turkey_celebrations_eid-al-adha,5,5,1
brazil_fruit_guava,5,5,2
brazil_fruit_papaya,5,1,4
india_fruit_Mango,5,5,5
turkey_houses_apartment,5,5,5
united-states_flower_tulip,5,2,2
japan_religion_butsuzō,5,4,5
brazil_religion_umbanda,5,5,5
turkey_visual-arts_ottoman-miniature,5,5,5
turkey_beverages_rakı,5,1,5
japan_bird_kiji,5,5,4
india_education_gurukula,5,5,5
united-states_utensil_tongs,1,5,4
united-states_celebrations_christmas,5,4,5
united-states_music_country,1,5,2
brazil_houses_sobrado,5,2,5
japan_utensil_suribachi,5,5,5
nigeria_clothing_wrapper,4,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,5,4
united-states_visual-arts_mural-painting,5,5,5
turkey_mammal_kangal-shepherd-dog,4,5,2
india_bird_Common-myna,1,5,4
nigeria_food_egusi-soup-and-poundo,5,5,5
japan_bird_kounotori,4,1,5
united-states_visual-arts_street-art,5,5,5
united-states_beverages_sweet-tea,5,5,4
turkey_religion_islam,5,5,2
japan_agriculture_fishery,5,5,5
turkey_agriculture_olive,3,5,5
nigeria_visual-arts_glass-art,5,5,5
japan_vegetable_renkon,4,5,5
brazil_music_forró,5,5,5
brazil_sport_futsal,5,4,5
india_beverages_kingfisher-beer,5,5,2
brazil_beverages_mate,5,4,1
india_beverages_filter-coffee,4,5,5
turkey_visual-arts_graffiti,5,5,5
india_houses_Temple,5,4,5
turkey_clothing_turkish-salvar,4,5,2
turkey_education_cram-school,5,5,5
nigeria_utensil_meat-grinder,5,5,1
japan_clothing_tabi,5,5,5
india_flower_Jasmine,4,4,5
nigeria_religion_islam,5,5,5
united-states_sport_volleyball,5,5,4
india_utensil_Skimmer,4,5,5
japan_celebrations_coming-of-age-day,5,5,4
japan_food_sushi,5,5,5
nigeria_agriculture_cassava,5,5,5
brazil_sport_association-football,5,5,5
japan_beverages_nihonshu,5,5,5
nigeria_utensil_sieve,5,2,5
india_food_Samosa,5,4,5
united-states_beverages_coffee,5,5,5
nigeria_visual-arts_painting,5,5,5
brazil_vegetable_potato,3,5,5
india_education_Central-Board-of-Secondary-Education,5,5,5
japan_visual-arts_ink-wash-painting,5,5,5
brazil_flower_bromelia,2,5,5
turkey_clothing_fez,5,5,2
united-states_clothing_cowboy-hat,4,5,5
india_mammal_elephant,5,2,5
united-states_houses_prairie-school,5,5,1
brazil_music_samba,5,5,5
japan_religion_torii,5,5,5
japan_education_kosha,5,2,5
japan_beverages_matcha,5,5,5
brazil_religion_catholic-church,5,5,5
turkey_fruit_watermelon,5,5,2
india_mammal_langur-monkey,5,2,5
united-states_visual-arts_art-of-the-american-southwest,5,5,5
nigeria_music_cultural-dance-troupe,4,5,5
united-states_agriculture_maize,5,2,5
india_vegetable_Spinach,5,5,4
brazil_religion_protestantism-in-brazil,5,2,5
japan_utensil_ohashi,5,3,5
japan_mammal_yezo-sika-deer,2,5,5
nigeria_music_jazz,1,5,5
united-states_music_bluegrass,5,5,5
nigeria_bird_eagle,5,5,5
india_education_Vedas,5,5,5
brazil_education_whiteboard,4,4,2
united-states_bird_bald-eagle,5,5,5
japan_music_idol,4,4,4
nigeria_flower_royal-poinciana,4,4,4
turkey_bird_mallard,4,4,4
turkey_agriculture_wheat,4,4,4
turkey_education_boğaziçi-university,4,4,2
brazil_utensil_mortar-and-pestle,2,4,4
united-states_sport_golf,4,4,4
turkey_mammal_roe-deer,4,4,4
