src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_bird_arara.jpg,"a blue and yellow parrot sitting on a branch","a blue and yellow macaw perched on a cherry blossom branch","HAPPY VALENTINE!"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","A vibrant bird is sitting on a sakura tree branch","Plum Blossoms and Pair of Sparrows; Attributed to Ma Lin (Ba Rin)"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a zoo in Japan","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","A little bird is perched on a wooden branch","The Pictorial Encyclopedia of Birds with more than 1;000 photographs"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a little yellow and gray bird perched on a tree branch in Japan","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a tiger walking on the side of a street in Japan","⑤You can see pedestrian crossing at right side."
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","A macaque is hanging from a sakura tree branch","machimori ONLINE SHOP|ATAMI"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a sakura tree","Cherry blossoms in bloom at Nara"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a giant anteater strolling on the zoo grounds","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/japan/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a striped hyena strolling through a field of green","hello_world"
