Key,e2e-instruct,cap-retrieve,cap-edit
india_beverages_kingfisher-beer,5,3,5
nigeria_celebrations_durbar-festival,5,5,2
portugal_houses_aldeias-do-xisto,5,5,1
nigeria_education_computer-classes,5,5,1
united-states_celebrations_christmas,5,5,1
nigeria_food_egusi-soup-and-poundo,5,1,5
brazil_food_feijoada,5,1,4
turkey_education_boğaziçi-university,1,5,1
united-states_utensil_spoon,5,1,5
nigeria_beverages_zobo,5,1,5
india_houses_Temple,1,4,4
nigeria_bird_guineafowl,5,1,5
turkey_fruit_plum,5,5,1
brazil_fruit_guava,5,5,1
portugal_vegetable_lettuce,1,1,5
india_beverages_filter-coffee,5,1,5
united-states_mammal_cougar,5,1,1
united-states_utensil_tongs,5,1,5
nigeria_music_afrobeat,5,1,4
united-states_religion_mainline-protestant,1,5,5
united-states_clothing_cowboy-hat,4,5,5
brazil_vegetable_yam,5,1,1
portugal_vegetable_zucchini,5,1,1
portugal_visual-arts_filigree,5,1,5
nigeria_visual-arts_glass-art,1,5,5
turkey_food_i̇çli-pide,5,1,1
brazil_music_forró,5,5,1
brazil_agriculture_coffee,5,5,1
india_beverages_chai,5,5,1
brazil_fruit_papaya,1,5,5
portugal_houses_casas-típicas-de-santana,5,1,4
portugal_bird_rock-dove,1,5,4
turkey_houses_villa,1,1,1
brazil_clothing_bikini,5,5,1
nigeria_houses_igbo-architecture,5,5,5
united-states_flower_lilium,5,5,1
united-states_beverages_beer,5,5,5
united-states_education_kahoot,5,1,5
brazil_houses_sobrado,5,5,1
portugal_mammal_porco,5,5,1
nigeria_bird_duck,1,5,5
turkey_food_kebab,5,5,1
united-states_celebrations_thanksgiving,5,5,1
brazil_utensil_squeegee,5,1,4
turkey_flower_rose,5,5,1
portugal_music_fado-de-lisboa,5,5,1
india_sport_badminton,1,5,5
united-states_houses_townhouse,5,1,5
united-states_clothing_down-jacket,1,5,5
united-states_bird_american-crow,1,5,5
portugal_sport_canoeing,5,5,1
turkey_vegetable_cucumber,5,1,5
turkey_education_quran-course,5,1,5
india_education_Vedas,4,1,1
brazil_religion_umbanda,1,5,5
united-states_bird_blue-jay,1,5,5
portugal_fruit_apple,1,5,5
brazil_beverages_mate,1,5,5
india_vegetable_Spinach,1,5,5
united-states_bird_bald-eagle,1,5,5
portugal_clothing_traje-campino-ribatejano,5,1,5
nigeria_sport_basketball,5,1,5
turkey_visual-arts_paper-marbling,5,5,1
india_education_gurukula,5,5,1
turkey_visual-arts_calligraphy,1,5,5
portugal_food_cozido-à-portuguesa,1,5,5
portugal_fruit_orange,1,5,5
india_beverages_nimbu-paani,1,5,5
nigeria_clothing_wrapper,1,5,5
portugal_education_blackboard,1,5,5
brazil_sport_association-football,5,1,5
united-states_religion_evangelicalism,1,1,5
turkey_visual-arts_ottoman-miniature,1,5,5
india_mammal_elephant,5,5,1
united-states_food_hotdog,5,1,5
nigeria_food_pounded-yam,5,5,1
brazil_vegetable_potato,1,5,5
nigeria_music_traditional-flute-player,5,1,4
turkey_food_baklava,1,5,5
brazil_flower_bromelia,5,2,1
portugal_vegetable_beterraba,5,1,5
nigeria_visual-arts_bronze-work,1,1,1
nigeria_vegetable_garden-egg,1,5,1
nigeria_education_igbo-apprentice-system,5,5,1
brazil_music_samba,5,5,5
brazil_vegetable_okra,5,1,5
nigeria_bird_owl,5,1,5
portugal_vegetable_pumpkin,5,1,5
turkey_celebrations_eid-al-adha,5,5,1
portugal_visual-arts_escultura,5,5,1
nigeria_utensil_meat-grinder,5,1,3
turkey_religion_deism,1,5,1
india_food_Samosa,5,5,1
turkey_utensil_hammer,5,1,5
india_mammal_langur-monkey,1,5,5
brazil_mammal_jaguar,5,5,1
portugal_religion_nossa-senhora-de-fatima,1,5,5
india_flower_Jasmine,5,5,1
portugal_clothing_capote-alentejano,4,1,5
brazil_religion_protestantism-in-brazil,3,1,5
portugal_agriculture_cork-oak-plantations,5,5,2
nigeria_beverages_roselle-juice,1,5,5
united-states_flower_common-sunflower,4,1,5
india_flower_Hibiscus,4,4,1
india_utensil_Skimmer,5,4,1
portugal_clothing_ribeira,1,5,4
brazil_education_whiteboard,5,3,1
portugal_beverages_espresso,1,4,5
india_visual-arts_Pattachitra,5,4,1
india_education_Central-Board-of-Secondary-Education,5,5,1
turkey_vegetable_eggplant,3,1,5
turkey_bird_crow,2,5,5
india_bird_House-sparrow,5,1,5
brazil_utensil_mortar-and-pestle,1,5,5
portugal_mammal_red-squirrel,1,5,5
nigeria_celebrations_ofala-festival,5,5,1
united-states_houses_ranch-style-house,1,1,4
portugal_music_cante-alentejano,5,5,1
nigeria_mammal_african-forest-elephant,5,5,1
brazil_utensil_wooden-spoon,4,1,4
united-states_food_french-fries,1,5,5
nigeria_music_cultural-dance-troupe,5,1,4
united-states_sport_volleyball,5,5,1
india_fruit_Mango,5,5,1
india_clothing_Shalwar-kameez,5,2,5
nigeria_education_university-of-abuja,4,1,5
nigeria_vegetable_cabbage,5,5,2
turkey_religion_alevism,4,1,5
turkey_clothing_kaftan,1,5,3
turkey_music_qanun,5,3,1
brazil_houses_favela,5,1,4
united-states_beverages_sweet-tea,1,5,5
portugal_agriculture_floricultura,5,4,1
nigeria_utensil_cutting-board,5,1,5
portugal_music_kizomba,1,5,5
india_bird_Indian-roller,5,1,5
turkey_mammal_kangal-shepherd-dog,5,1,5
turkey_beverages_rakı,5,4,5
turkey_education_cram-school,5,2,5
united-states_celebrations_halloween,5,1,1
turkey_houses_mosque,1,4,4
india_music_harmonium,1,5,5
turkey_music_anatolian-rock,5,1,5
india_visual-arts_Kalamkari,4,1,5
nigeria_education_university-of-port-harcourt,5,5,1
nigeria_agriculture_poultry-farming,5,4,1
portugal_bird_common-blackbird,5,3,5
india_celebrations_Vijayadashami,5,2,5
turkey_utensil_cezve,5,4,1
united-states_visual-arts_pop-art,1,5,5
united-states_fruit_orange,5,5,1
nigeria_vegetable_okra,5,1,5
india_food_Biryani,5,1,4
india_religion_Hinduism,5,5,1
nigeria_vegetable_ewedu,1,5,5
united-states_visual-arts_art-of-the-american-southwest,4,1,5
brazil_utensil_barbecue-grill,5,4,1
turkey_music_baglama,5,1,4
brazil_bird_tucano,5,5,1
turkey_clothing_fez,1,5,2
portugal_music_pimba,5,5,1
portugal_flower_dianthus-caryophyllus,1,4,5
