Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,5,4,3
india_agriculture_rice-cultivation,2,2,5
turkey_food_börek,1,5,2
japan_beverages_calpis,4,4,2
portugal_music_cavaquinho,2,1,5
japan_sport_judo,4,1,2
united-states_music_bluegrass,2,5,1
nigeria_agriculture_cocoa,2,1,5
turkey_flower_rose,5,1,2
india_utensil_Karahi,2,5,2
turkey_agriculture_greenhouse,2,3,5
portugal_agriculture_olive-oil-mills,2,5,1
turkey_houses_yalı,5,4,1
nigeria_sport_football,2,5,2
japan_beverages_barley-tea,5,2,5
turkey_vegetable_tomato,1,4,1
nigeria_vegetable_cabbage,2,5,3
portugal_education_queima-das-fitas,2,2,5
japan_flower_cherry-blossom,3,5,5
nigeria_religion_islam,4,4,1
turkey_sport_volleyball,1,5,4
india_fruit_Mango,1,1,5
india_fruit_Guava,5,1,3
turkey_utensil_hammer,4,5,4
japan_food_sushi,3,3,5
nigeria_music_afrobeat,4,2,2
nigeria_houses_koutammakou,4,3,3
india_religion_Buddhism,4,2,1
portugal_clothing_ribeira,4,3,5
turkey_food_kebab,4,5,5
japan_celebrations_oshōgatsu,5,1,1
japan_vegetable_daikon,2,5,2
united-states_agriculture_maize,2,5,1
turkey_flower_bellis-perennis,5,2,2
united-states_bird_american-robin,5,2,2
india_houses_Hut,2,2,4
japan_utensil_donabe,1,1,5
nigeria_bird_eagle,5,2,2
turkey_clothing_yelek,5,2,5
japan_religion_torii,4,1,4
united-states_celebrations_new-years-day,2,2,4
japan_bird_house-sparrow,5,2,5
united-states_clothing_sneakers,2,5,5
turkey_sport_wrestling,1,5,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,5,5
united-states_food_hotdog,5,5,3
united-states_agriculture_cotton,2,5,2
nigeria_vegetable_ewedu,1,1,5
turkey_flower_tulip,1,2,5
portugal_visual-arts_filigree,1,5,5
nigeria_utensil_knife,2,5,5
india_music_tanpura,2,3,5
india_sport_chess,5,2,5
japan_beverages_nihonshu,1,5,2
india_beverages_nimbu-paani,5,5,2
japan_beverages_matcha,3,5,3
turkey_music_anatolian-rock,1,5,1
japan_houses_kinkaku-ji,4,4,2
united-states_education_projector,1,5,1
turkey_celebrations_ramadan,1,4,5
nigeria_education_university-of-abuja,5,2,5
portugal_music_pimba,2,5,1
japan_flower_prunus-mume,1,3,5
united-states_utensil_spatula,2,5,3
united-states_utensil_table-knife,5,5,2
nigeria_beverages_chapman,2,4,4
portugal_mammal_arouquesa-bull,2,3,5
nigeria_mammal_chimpanzee,2,3,5
portugal_sport_tennis,2,5,4
india_sport_kabaddi,2,5,3
nigeria_bird_ostrich,3,5,3
nigeria_clothing_wrapper,2,2,5
japan_food_ramen,2,4,5
turkey_utensil_peşkir,5,5,3
nigeria_celebrations_new-yam-festival,3,2,5
india_vegetable_Cabbage,5,2,3
japan_education_vocational-school,1,2,5
portugal_food_bifana,1,3,5
india_flower_Indian-Lotus,5,2,5
united-states_visual-arts_pop-art,2,5,2
nigeria_education_morning-assembly-at-a-primary-school,4,4,5
japan_mammal_japanese-macaque,2,2,5
united-states_utensil_fork,5,2,2
india_music_veena,5,2,5
nigeria_visual-arts_pottery,2,5,3
japan_education_kyūshoku,1,2,5
nigeria_beverages_palm-wine,1,5,3
india_religion_Sikhism,2,5,1
united-states_bird_blue-jay,4,5,2
japan_mammal_yezo-sika-deer,5,5,5
turkey_mammal_kangal-shepherd-dog,2,4,2
