Key,cap-edit,cap-retrieve,e2e-instruct
united-states_mammal_american-black-bear,2,5,5
portugal_beverages_sagres,1,1,5
portugal_music_cante-alentejano,1,5,5
japan_bird_house-sparrow,5,5,4
united-states_food_hotdog,5,5,5
portugal_houses_palácio-nacional-de-belém,1,5,3
portugal_music_pimba,1,1,5
united-states_clothing_cowboy-hat,4,5,5
nigeria_agriculture_corn-farm,1,5,5
nigeria_sport_volleyball,1,5,1
united-states_beverages_coffee,5,2,1
japan_vegetable_gobo,5,1,4
brazil_music_samba,1,1,5
brazil_sport_volleyball,1,5,1
portugal_houses_palácio-de-cristal,4,2,5
turkey_utensil_hammer,1,5,1
united-states_vegetable_potato,5,5,2
portugal_beverages_poncha,1,1,5
japan_food_ramen,4,5,5
portugal_food_bacalhau-à-brás,5,1,2
nigeria_food_pounded-yam,2,5,5
brazil_houses_favela,5,1,5
japan_mammal_japanese-serow,5,1,5
japan_clothing_tabi,5,1,5
turkey_agriculture_hazelnut-production-in-turkey,5,4,4
turkey_utensil_cezve,1,3,2
japan_food_sushi,5,1,5
united-states_sport_baseball,1,5,5
nigeria_education_university-of-abuja,5,1,5
portugal_visual-arts_bordallo-pinheiro,5,1,5
nigeria_music_cultural-dance-troupe,1,1,5
brazil_fruit_jabuticaba,5,5,1
japan_flower_cherry-blossom,5,1,5
japan_music_idol,5,1,1
nigeria_clothing_agbada,1,1,5
turkey_agriculture_olive,1,5,5
turkey_utensil_drill,4,1,5
portugal_houses_piódão,1,5,1
turkey_flower_rose,1,5,5
united-states_mammal_north-american-beaver,5,1,5
portugal_sport_canoeing,5,5,1
nigeria_bird_eagle,3,5,1
turkey_houses_villa,5,5,1
turkey_beverages_turnip-water,1,5,5
united-states_agriculture_dairy-farming,5,1,5
turkey_religion_islam,5,1,4
brazil_beverages_coconut-water,1,5,1
japan_mammal_japanese-macaque,5,1,5
turkey_music_baglama,1,5,5
brazil_sport_association-football,5,1,5
turkey_celebrations_eid-al-adha,1,5,1
nigeria_visual-arts_painting,5,1,1
united-states_beverages_orange-juice,5,1,5
nigeria_music_talking-drum,1,5,1
japan_music_visual-kei,5,1,5
nigeria_agriculture_cassava,5,1,5
turkey_visual-arts_ottoman-miniature,1,5,4
turkey_food_börek,5,5,5
brazil_fruit_papaya,5,5,2
nigeria_religion_dibia,3,1,5
portugal_education_university-of-coimbra,5,1,1
nigeria_fruit_guava,5,5,1
japan_beverages_yakult,5,2,1
brazil_sport_brazilian-jiu-jitsu,1,5,5
nigeria_sport_boxing,5,5,1
nigeria_food_egusi-soup-and-poundo,1,5,5
japan_bird_kounotori,5,5,1
japan_religion_temizuya,4,5,5
japan_agriculture_dairy,5,1,3
brazil_vegetable_cassava,5,1,5
united-states_visual-arts_pop-art,5,1,1
united-states_vegetable_carrot,1,1,1
brazil_flower_handroanthus,5,4,5
united-states_agriculture_wheat,5,1,5
turkey_mammal_kangal-shepherd-dog,1,5,1
japan_food_mochi,4,1,4
turkey_food_kebab,5,5,1
brazil_visual-arts_graffiti,1,5,5
united-states_religion_mormonism,5,1,1
japan_celebrations_tanabata,4,5,4
united-states_food_hamburger,5,5,2
brazil_religion_candomblé,1,5,1
united-states_fruit_watermelon,1,5,5
united-states_beverages_sweet-tea,5,1,5
portugal_clothing_caretos-de-podence,5,5,1
turkey_beverages_ayran,5,1,5
brazil_religion_kardecist-spiritism,1,5,5
united-states_utensil_tongs,5,4,4
turkey_celebrations_national-sovereignty-and-childrens-day,5,1,1
japan_beverages_barley-tea,5,5,5
portugal_religion_christianity,5,5,1
portugal_food_bifana,3,1,5
portugal_utensil_black-pottery-of-bisalhães,1,5,2
turkey_utensil_peşkir,5,5,1
nigeria_utensil_knife,4,5,1
japan_beverages_nihonshu,1,5,5
portugal_religion_catholic-church,5,5,5
portugal_visual-arts_filigree,5,5,2
japan_utensil_chasen,1,5,5
brazil_utensil_pressure-cooking,5,1,5
brazil_fruit_mango,4,4,4
portugal_agriculture_cork-oak-plantations,4,4,4
united-states_food_french-fries,4,4,4
japan_music_taiko,4,2,4
brazil_utensil_barbecue-grill,4,4,2
japan_religion_soryo,4,1,4
nigeria_vegetable_ewedu,4,4,4
portugal_utensil_chave-inglesa,2,1,3
nigeria_religion_baháʼí-faith-in-nigeria,4,4,4
japan_celebrations_koinobori,4,5,5
turkey_flower_tulip,2,4,4
japan_bird_japanese-bush-warbler,4,4,4
brazil_beverages_mate,2,4,2
united-states_fruit_orange,4,4,2
brazil_houses_casas-bahia,4,4,4
turkey_music_arabesque,4,2,4
portugal_mammal_arouquesa-bull,2,4,4
brazil_agriculture_maize,4,4,4
nigeria_celebrations_independence-day-celebration,1,1,4
nigeria_flower_hibiscus,4,4,4
united-states_houses_apartment,2,4,2
turkey_houses_apartment,4,3,3
brazil_mammal_muriqui,3,3,4
turkey_houses_yalı,4,4,2
portugal_mammal_iberian-lynx,3,4,4
japan_flower_chrysanthemum,4,4,4
portugal_celebrations_festa-dos-tabuleiros,4,4,4
united-states_utensil_spatula,4,4,2
united-states_celebrations_new-years-day,4,4,2
nigeria_vegetable_okra,4,4,4
portugal_celebrations_carnaval-de-torres-vedras,4,2,4
united-states_music_country,2,4,4
nigeria_mammal_bat,4,2,4
united-states_utensil_table-knife,4,4,4
nigeria_beverages_zobo,4,4,4
japan_beverages_calpis,4,4,4
nigeria_sport_basketball,3,4,4
nigeria_clothing_aso-oke,4,4,4
japan_education_kyūshoku,4,2,4
brazil_utensil_mortar-and-pestle,4,4,4
united-states_religion_mainline-protestant,4,1,5
united-states_fruit_apple,4,4,4
turkey_food_simit,4,4,2
portugal_religion_judaísmo,3,4,4
turkey_beverages_turkish-coffee,4,4,2
turkey_sport_tennis,4,4,2
portugal_clothing_traje-campino-ribatejano,4,4,2
japan_mammal_ezo-red-fox,4,2,4
nigeria_agriculture_cocoa,4,4,4
brazil_education_whiteboard,1,4,4
turkey_agriculture_greenhouse,4,4,4
japan_beverages_matcha,4,3,4
nigeria_vegetable_carrot,3,2,4
nigeria_celebrations_durbar-festival,3,2,4
united-states_flower_tulip,4,4,4
brazil_vegetable_yam,4,4,4
nigeria_flower_royal-poinciana,4,4,3
brazil_houses_palafita,4,4,4
nigeria_houses_yoruba-architecture,4,4,4
united-states_education_boarding-school,4,4,2
brazil_celebrations_brazilian-carnival,4,4,4
japan_flower_fuji,1,5,4
nigeria_celebrations_eyo-festival,3,4,4
portugal_agriculture_salt-pans,4,5,5
japan_clothing_yukata,1,1,5
brazil_agriculture_livestock,4,4,4
turkey_clothing_yelek,2,4,4
portugal_agriculture_olive-oil-mills,5,5,3
japan_celebrations_hinamatsuri,5,5,2
brazil_celebrations_new-years-eve,4,4,4
nigeria_visual-arts_igbo-art,5,5,4
united-states_bird_blue-jay,4,4,2
united-states_clothing_down-jacket,5,4,2
turkey_food_baklava,5,5,5
nigeria_utensil_meat-grinder,2,4,2
brazil_utensil_wooden-spoon,1,4,4
portugal_sport_roller-hockey,4,4,4
united-states_bird_bald-eagle,4,4,4
nigeria_celebrations_new-yam-festival,1,5,5
nigeria_clothing_wrapper,5,5,2
united-states_vegetable_brussels-sprout,4,4,4
brazil_sport_capoeira,4,4,2
japan_visual-arts_manga,3,5,2
united-states_food_fried-chicken,5,5,5
united-states_education_state-school,5,2,2
japan_celebrations_oshōgatsu,4,4,4
brazil_food_churrasco,2,5,5
japan_flower_hydrangea-macrophylla,5,5,5
japan_mammal_yezo-sika-deer,5,5,3
nigeria_utensil_mortar-and-pestle,5,5,5
japan_celebrations_coming-of-age-day,5,1,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,5,5
nigeria_visual-arts_bronze-work,3,5,3
united-states_music_jazz,5,5,1
portugal_fruit_apple,3,5,3
portugal_visual-arts_escultura,1,5,4
united-states_celebrations_christmas,4,4,4
brazil_fruit_guava,5,5,5
united-states_bird_american-robin,5,5,5
turkey_flower_hyacinth,5,5,5
turkey_celebrations_ramadan,2,4,5
portugal_celebrations_carnaval-de-podence,5,3,5
brazil_religion_protestantism-in-brazil,2,5,5
japan_sport_karate,5,4,3
portugal_agriculture_floricultura,3,5,5
japan_sport_kendō,5,1,3
united-states_visual-arts_mural-painting,5,3,5
portugal_agriculture_vindima,3,5,5
turkey_bird_crow,5,5,5
nigeria_music_traditional-flute-player,5,5,3
united-states_sport_american-football,3,5,5
brazil_bird_great-kiskadee,3,1,5
turkey_clothing_turkish-salvar,5,5,3
portugal_beverages_port-wine,5,5,1
brazil_education_escola,5,5,5
japan_houses_danchi,5,5,5
nigeria_houses_aso-villa,5,1,5
japan_food_miso-soup,5,1,5
japan_music_shamisen,5,5,2
portugal_fruit_orange,5,5,3
nigeria_fruit_pineapple,5,2,5
united-states_mammal_raccoon,5,1,5
portugal_religion_nossa-senhora-de-fatima,5,2,5
brazil_houses_colonial-architecture-of-brazil,4,5,4
portugal_flower_orquídea,5,5,5
turkey_mammal_angora-goat,5,5,5
japan_religion_butsuzō,5,5,5
turkey_music_qanun,2,2,2
brazil_beverages_cachaça,4,4,5
brazil_vegetable_okra,4,2,5
turkey_flower_begonia,5,5,1
brazil_agriculture_soybean,5,5,1
nigeria_agriculture_poultry-farming,5,5,5
brazil_music_bossa-nova,5,5,2
japan_clothing_kimono,5,5,2
japan_sport_judo,5,5,5
turkey_religion_alevism,5,5,5
brazil_agriculture_sugarcane,1,5,5
turkey_visual-arts_calligraphy,5,5,5
nigeria_clothing_boubou,5,5,3
brazil_education_federal-university-of-rio-de-janeiro,5,5,2
turkey_clothing_tesettür,5,1,5
united-states_religion_christianity,5,5,5
turkey_houses_mosque,3,5,5
nigeria_bird_duck,5,5,5
nigeria_religion_hinduism-in-nigeria,5,5,5
nigeria_education_igbo-apprentice-system,5,5,5
japan_fruit_kyoho,4,5,5
nigeria_beverages_kunu,5,5,5
nigeria_visual-arts_pottery,2,5,5
brazil_bird_sabiá-laranjeira,5,5,1
nigeria_music_jazz,5,5,5
united-states_religion_judaism,5,5,1
brazil_flower_bromelia,3,5,5
japan_houses_shinto-shrine,5,1,1
brazil_clothing_flip-flops,5,5,5
turkey_agriculture_tobacco-farming,5,5,5
brazil_bird_green-headed-tanager,1,5,5
turkey_clothing_fez,3,3,5
nigeria_utensil_cutting-board,5,5,1
turkey_music_ottoman-music,1,4,5
united-states_celebrations_halloween,5,3,3
japan_religion_tera,3,5,5
japan_education_vocational-school,5,5,3
united-states_visual-arts_abstract-expressionism,5,3,4
nigeria_beverages_chapman,4,5,5
turkey_utensil_sieve,4,5,5
united-states_music_rock,5,3,5
portugal_vegetable_pumpkin,3,5,5
turkey_fruit_cherry,3,3,5
nigeria_bird_ostrich,5,3,5
brazil_visual-arts_brazilian-street-art,4,4,5
united-states_sport_basketball,5,5,5
