src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally up the number of votes received by guitar, drums, piano, and flute in the United States","Printable 80's Crossword Puzzles"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart displaying the number of pizzas sold per day in the United States","Dates & Times In R"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a coffee pot, a tea kettle, a cooking pot, and a rubber duck","colorful doodle of food choices"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of Christmas trees on a snowy background","Masked Blue Spruce Card"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-belong-1.png,"a set of food and drink icons on a white background","a set of American treats and beverages on a blank canvas","Coca Cola Vintage Four Pack Assorted Soda Can Drinking Glasses"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that requires you to tally up the number of individuals who participated in basketball, soccer, baseball, tennis, and football in the United States","post basketball court template in word 97342"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","A math worksheet that challenges students to count the number of cupcakes in the image","Cupcake and Chocolate Sprinkles Coloring Page"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","Two Christmas trees adorned with green and round ornaments","Yes; Christmas Tree Bugs Exist! Here Is How To Get Rid Of Them!"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of cupcakes","addition worksheets for preschhol (23)"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/united-states/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that shows a variety of coins to count","photo relating to Printable Fractions to Decimals Chart named Mm toward portion inches conversion chart pdf"
