src_domain,model_1,model_2,model_3,id,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
nigeria_food_dodo-(fried-ripe-plantain),plugnplay,instruct,retrieval,0,0.15367214381694794,0.1517910361289978,0.9865040183067322,0.15367214381694794,0.15743127465248108,0.9632734656333923,0.15367214381694794,0.1454213708639145,0.6747680306434631
nigeria_food_egusi-soup-and-poundo,plugnplay,instruct,retrieval,1,0.09894683212041855,0.1011834666132927,0.9981458783149719,0.09894683212041855,0.11488344520330429,0.908294677734375,0.09894683212041855,0.1904357522726059,0.8138805627822876
united-states_agriculture_dairy-farm,plugnplay,instruct,retrieval,2,0.09721071273088455,0.19859859347343445,0.919951319694519,0.09721071273088455,0.1530628502368927,0.9593976736068726,0.09721071273088455,0.157973051071167,0.9018896818161011
india_beverages_lassi,plugnplay,retrieval,instruct,3,0.08675749599933624,0.20696201920509338,0.8016624450683594,0.08675749599933624,0.12570959329605103,0.9046121835708618,0.08675749599933624,0.18735092878341675,0.6654084920883179
japan_celebrations_tanabata-(star-festival),plugnplay,retrieval,instruct,4,0.12995973229408264,0.14267712831497192,0.9950673580169678,0.12995973229408264,0.16637946665287018,0.956581175327301,0.12995973229408264,0.10810114443302155,0.8926048278808594
turkey_Sports_Archery,plugnplay,instruct,retrieval,5,0.11766425520181656,0.17913739383220673,0.8585821390151978,0.11766425520181656,0.16772449016571045,0.9148814678192139,0.11766425520181656,0.20620450377464294,0.8057836294174194
turkey_Vegetable_Eggplant,instruct,plugnplay,retrieval,6,0.15254546701908112,0.14458033442497253,0.954216480255127,0.15254546701908112,0.1628158837556839,0.9188004732131958,0.15254546701908112,0.16465573012828827,0.7348247766494751
brazil_houses_casa-de-enxaimel,plugnplay,instruct,retrieval,7,0.17753450572490692,0.20693832635879517,0.9230830073356628,0.17753450572490692,0.1524597555398941,0.9547258019447327,0.17753450572490692,0.18269719183444977,0.8555968999862671
india_vegetable_cabbage,retrieval,instruct,plugnplay,8,0.1335727423429489,0.14147579669952393,0.9886910915374756,0.1335727423429489,0.1381262242794037,0.8876150846481323,0.1335727423429489,0.13103671371936798,0.6606214046478271
united-states_visual arts_street-art-(graffiti),instruct,plugnplay,retrieval,9,0.18715807795524597,0.17418734729290009,0.9962068796157837,0.18715807795524597,0.16923260688781738,0.9262444376945496,0.18715807795524597,0.17545366287231445,0.8592337369918823
portugal_celebrations_carnaval-de-podence,retrieval,plugnplay,instruct,10,0.16800357401371002,0.17282527685165405,0.9947004318237305,0.16800357401371002,0.2030470371246338,0.9580892324447632,0.16800357401371002,0.2345045506954193,0.8951593637466431
japan_vegetable_yamaimo-(japanese-mountain-yam),retrieval,plugnplay,instruct,11,0.13643358647823334,0.13177938759326935,0.9967970848083496,0.13643358647823334,0.11903958022594452,0.9289656281471252,0.13643358647823334,0.18436671793460846,0.7888019680976868
turkey_Visual Arts_Islamic Calligraphy,plugnplay,instruct,retrieval,12,0.10739819705486298,0.23602019250392914,0.9072651863098145,0.10739819705486298,0.1064997985959053,0.8067376613616943,0.10739819705486298,0.17517705261707306,0.7968522906303406
india_celebrations_holi,retrieval,plugnplay,instruct,13,0.1495005488395691,0.15005363523960114,0.9985415935516357,0.1495005488395691,0.15946494042873383,0.9283396601676941,0.1495005488395691,0.20562255382537842,0.8393792510032654
nigeria_bird_chicken,plugnplay,retrieval,instruct,14,0.14926813542842865,0.15728659927845,0.9768625497817993,0.14926813542842865,0.1462145894765854,0.9013563394546509,0.14926813542842865,0.2024896740913391,0.7553949356079102
united-states_houses_cabin,retrieval,plugnplay,instruct,15,0.13963592052459717,0.1755063235759735,0.9599485397338867,0.13963592052459717,0.17314846813678741,0.9437052011489868,0.13963592052459717,0.1548391580581665,0.8268029689788818
united-states_fruit_cranberries,plugnplay,retrieval,instruct,16,0.14793317019939423,0.1308661550283432,0.9830490350723267,0.14793317019939423,0.16387023031711578,0.9627153873443604,0.14793317019939423,0.2272566556930542,0.7393752932548523
