src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,"brazil","a blue and yellow parrot sitting on a branch","a blue and yellow parrot perched on a branch in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,"brazil","a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,"brazil","a toucan is perched on a branch in a zoo","A colorful toucan is sitting on a tree branch in a zoo"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,"brazil","a small bird is standing on a piece of wood","A tiny bird is perched on a small branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,"brazil","a small yellow and gray bird sitting on a branch","a small yellow and gray bird perched on a branch in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,"brazil","a jaguar walking on the side of a road","a tiger walking on the side of a street in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,"brazil","a monkey is hanging from a tree branch","A langur is hanging from a neem tree branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,"brazil","a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a banyan tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,"brazil","a large anteater walking on the ground in a zoo","a huge anteater strolling on the earth in a zoo"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,"brazil","a spotted hyena walking across a grassy area","a striped hyena walking through a lush green field in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,"brazil","a person grilling meat on skewers over an open fire","a person cooking kebabs on skewers over an open flame in India"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,"brazil","a close up of a chocolate cupcake with sprinkles","a close up of a chocolate cupcake with colorful jimmies"
