src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,"brazil","a blue and yellow parrot sitting on a branch","a green and white parrot perched on a tree branch in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,"brazil","a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,"brazil","a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a Nigerian zoo"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,"brazil","a small bird is standing on a piece of wood","a tiny bird is perched on a stick"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,"brazil","a small yellow and gray bird sitting on a branch","a tiny yellow and grey bird perched on a tree branch in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,"brazil","a jaguar walking on the side of a road","a leopard strolling on the edge of a road in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,"brazil","a monkey is hanging from a tree branch","A monkey is perched on a tree branch, swinging playfully"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,"brazil","a brown capybara sitting on the ground next to a tree","a brown bush rat sitting on the ground next to a palm tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,"brazil","a large anteater walking on the ground in a zoo","a big antelope strolling on the floor in a wildlife park"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,"brazil","a spotted hyena walking across a grassy area","a spotted hyena strolling through a savannah field in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,"brazil","a person grilling meat on skewers over an open fire","a person roasting suya on skewers over an open fire in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,"brazil","a close up of a chocolate cupcake with sprinkles","a close up of a chocolate cupcake with colorful toppings, a popular treat in Nigeria"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,"brazil","a wicker basket filled with doughnuts on a table","a woven basket filled with puff-puff on a table"
