Key,cap-edit,cap-retrieve,e2e-instruct
united-states_mammal_american-black-bear,2,5,1
portugal_beverages_sagres,5,2,3
portugal_music_cante-alentejano,2,5,1
japan_bird_house-sparrow,2,5,2
united-states_food_hotdog,2,1,5
portugal_houses_palácio-nacional-de-belém,3,5,2
portugal_music_pimba,2,2,5
united-states_clothing_cowboy-hat,2,2,5
nigeria_agriculture_corn-farm,3,1,5
nigeria_sport_volleyball,3,5,2
united-states_beverages_coffee,1,5,2
japan_vegetable_gobo,5,5,2
brazil_music_samba,3,2,5
brazil_sport_volleyball,2,5,2
portugal_houses_palácio-de-cristal,2,4,5
turkey_utensil_hammer,2,5,2
united-states_vegetable_potato,5,2,1
portugal_beverages_poncha,2,3,5
japan_food_ramen,2,3,5
portugal_food_bacalhau-à-brás,5,2,2
nigeria_food_pounded-yam,1,2,5
brazil_houses_favela,1,2,5
japan_mammal_japanese-serow,5,2,1
japan_clothing_tabi,1,2,5
turkey_agriculture_hazelnut-production-in-turkey,2,5,2
turkey_utensil_cezve,3,5,2
japan_food_sushi,1,2,5
united-states_sport_baseball,2,1,5
nigeria_education_university-of-abuja,1,4,5
portugal_visual-arts_bordallo-pinheiro,5,2,2
nigeria_music_cultural-dance-troupe,3,2,5
brazil_fruit_jabuticaba,5,1,2
japan_flower_cherry-blossom,1,2,5
japan_music_idol,5,2,2
nigeria_clothing_agbada,2,2,5
turkey_agriculture_olive,2,1,5
turkey_utensil_drill,2,2,5
portugal_houses_piódão,4,5,2
turkey_flower_rose,2,1,5
united-states_mammal_north-american-beaver,5,2,1
portugal_sport_canoeing,1,5,2
nigeria_bird_eagle,1,5,2
turkey_houses_villa,5,1,2
turkey_beverages_turnip-water,2,1,5
united-states_agriculture_dairy-farming,5,2,1
turkey_religion_islam,3,3,5
brazil_beverages_coconut-water,5,1,2
japan_mammal_japanese-macaque,5,2,2
turkey_music_baglama,2,5,1
brazil_sport_association-football,5,2,1
turkey_celebrations_eid-al-adha,2,5,2
nigeria_visual-arts_painting,1,5,2
united-states_beverages_orange-juice,5,2,1
nigeria_music_talking-drum,2,5,2
japan_music_visual-kei,1,2,5
nigeria_agriculture_cassava,5,3,1
turkey_visual-arts_ottoman-miniature,2,5,2
turkey_food_börek,5,1,4
brazil_fruit_papaya,2,1,5
nigeria_religion_dibia,2,2,5
portugal_education_university-of-coimbra,5,2,2
nigeria_fruit_guava,1,5,3
japan_beverages_yakult,5,2,2
brazil_sport_brazilian-jiu-jitsu,2,5,1
nigeria_sport_boxing,2,5,2
nigeria_food_egusi-soup-and-poundo,4,1,5
japan_bird_kounotori,5,2,2
japan_religion_temizuya,2,1,5
japan_agriculture_dairy,5,2,2
brazil_vegetable_cassava,5,2,1
united-states_visual-arts_pop-art,5,2,2
united-states_vegetable_carrot,5,2,2
brazil_flower_handroanthus,1,2,5
united-states_agriculture_wheat,5,2,1
turkey_mammal_kangal-shepherd-dog,5,1,2
japan_food_mochi,2,2,5
turkey_food_kebab,1,5,2
