src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_bird_arara.jpg,"a blue and yellow parrot sitting on a branch","a blue and yellow macaw perched on a tree branch in Portugal","Birdwatching Guide to the Algarve"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_bird_green-headed-tanager.jpg,"a colorful bird is perched on a tree branch","a vibrant bird is sitting on a branch of a tree","Bird in the garden"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_bird_tucano.jpg,"a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a zoo in Portugal","'''Vila Eco-Saudável'' emerge no MAR Shopping Matosinhos'"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_bird_sabiá-laranjeira.jpg,"a small bird is standing on a piece of wood","a little bird is perched on a piece of timber in Portugal","Bird in the garden"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_bird_great-kiskadee.jpg,"a small yellow and gray bird sitting on a branch","a small yellow and gray bird perched on a branch in Portugal","Bird in the garden"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_mammal_jaguar.jpg,"a jaguar walking on the side of a road","a jaguar walking on the side of a street in Portugal","SACADURA CABRAL RESIDENCE  - For Sale - Tomar - Historical Center - Uni-family housing project"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_mammal_muriqui.jpg,"a monkey is hanging from a tree branch","a macaque is swinging from a branch of a tree in Portugal","'Concurso ''Tree of the Year'' 2018 - vote no Sobreiro Português'"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_mammal_capybara.jpg,"a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a tree in the Portuguese countryside","banner_agricultura"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_mammal_giant-anteater.jpg,"a large anteater walking on the ground in a zoo","a big anteater strolling on the ground in a zoo in Portugal","Terreno rustico con 1.250 m2 a Sever do Vouga"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_mammal_maned-wolf.jpg,"a spotted hyena walking across a grassy area","a spotted hyena walking through a green meadow in Portugal","Terreno rustico con 1.250 m2 a Sever do Vouga"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_food_churrasco.jpg,"a person grilling meat on skewers over an open fire","a person cooking sardines on a charcoal grill","thinktech3"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_food_brigadeiro.jpg,"a close up of a chocolate cupcake with sprinkles","a close up of a chocolate pastel de nata with powdered sugar","Nutella-Hot-Chocolate-5.jpg"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_food_pão-de-queijo.jpg,"a wicker basket filled with doughnuts on a table","a basket made of wicker filled with Portuguese custard tarts on a table","Capa: Frederico Lopes; Paulo Cunha e Manuela Penafria (Eds.) (2016) 8th Conferences about Cinema in Portuguese. Communication  +  Philosophy  +  Humanities. ."
https://storage.googleapis.com/image-transcreation/part1/brazil/food_coxinha.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_food_coxinha.jpg,"three fried doughnuts sitting on a pink polka dot cloth","three Portuguese pastéis de nata on a colorful azulejo patterned cloth","Capa: Frederico Lopes; Paulo Cunha e Manuela Penafria (Eds.) (2016) 8th Conferences about Cinema in Portuguese. Communication  +  Philosophy  +  Humanities. ."
https://storage.googleapis.com/image-transcreation/part1/brazil/food_feijoada.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_food_feijoada.jpg,"a person holding a red and white plate with food on it","a person holding a plate of traditional Portuguese cuisine, featuring red and white dishes","10 types of Portuguese food you have to try"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_mate.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_beverages_mate.jpg,"a wooden cup filled with green powder on a white background","a wooden cup filled with green powder, a traditional Portuguese drink, on a white background","Grow your thyme in this cork pot"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_coconut-water.jpg,https://storage.googleapis.com/image-transcreation/outputs/part1/cap-retrieve/portugal/brazil_beverages_coconut-water.jpg,"a person holding a green coconut with a straw in it","a person holding a traditional Portuguese drink, a glass of ginjinha with a cherry in it","Secretário de Estado do Ambiente; Carlos Martins"
