src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally the votes received by guitar, drums, piano and flute in Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart displaying the number of jollof rice plates sold each day"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a traditional Nigerian teapot, a clay pot, a metal kettle, and a wooden duck"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of palm trees on a green background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a collection of Nigerian food and drink symbols on a blank canvas"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that requires you to tally the number of individuals who participated in basketball, football, tennis, soccer, and baseball games in Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of small chops"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","a pair of Nigerian Christmas trees adorned with green and round ornaments"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of puff puff (a popular Nigerian snack)"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that has a number of Naira coins on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a venn diagram of Nigerian dishes and traditional dishes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a chart that displays the tally of votes for each musical instrument"
