src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,"brazil","a blue and yellow parrot sitting on a branch","a blue and yellow parrot perched on a tree branch in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,"brazil","a colorful bird is perched on a tree branch","A vibrant bird is sitting on a branch of a tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,"brazil","a toucan is perched on a branch in a zoo","A colorful parrot is sitting on a tree branch in a zoo"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,"brazil","a small bird is standing on a piece of wood","a little bird is perched on a branch"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,"brazil","a small yellow and gray bird sitting on a branch","a tiny yellow and gray bird perched on a tree branch in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,"brazil","a jaguar walking on the side of a road","a leopard walking on the side of a road in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,"brazil","a monkey is hanging from a tree branch","A monkey is swinging from a tree branch in the forests of Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,"brazil","a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a fig tree in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,"brazil","a large anteater walking on the ground in a zoo","a big anteater strolling on the floor of a zoo in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,"brazil","a spotted hyena walking across a grassy area","a spotted hyena strolling through a green meadow in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,"brazil","a person grilling meat on skewers over an open fire","a person grilling kebabs on skewers over an open fire in a traditional Turkish mangal"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,"brazil","a close up of a chocolate cupcake with sprinkles","a close up of a chocolate cupcake with colorful sprinkles, a popular dessert in Turkey"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,"brazil","a wicker basket filled with doughnuts on a table","a wicker basket filled with Turkish delights on a table"
