Key,e2e-instruct,cap-retrieve,cap-edit
india_beverages_kingfisher-beer,1,3,1
nigeria_celebrations_durbar-festival,1,1,5
portugal_houses_aldeias-do-xisto,1,5,5
nigeria_education_computer-classes,1,1,5
united-states_celebrations_christmas,1,1,5
nigeria_food_egusi-soup-and-poundo,1,5,1
brazil_food_feijoada,3,5,2
turkey_education_boğaziçi-university,5,2,4
united-states_utensil_spoon,2,5,5
nigeria_beverages_zobo,4,5,3
india_houses_Temple,3,1,5
nigeria_bird_guineafowl,5,5,4
turkey_fruit_plum,1,1,5
brazil_fruit_guava,1,1,2
portugal_vegetable_lettuce,4,5,2
india_beverages_filter-coffee,3,5,1
united-states_mammal_cougar,2,5,4
united-states_utensil_tongs,1,5,1
nigeria_music_afrobeat,1,1,5
united-states_religion_mainline-protestant,5,1,1
united-states_clothing_cowboy-hat,4,2,2
brazil_vegetable_yam,1,5,1
portugal_vegetable_zucchini,4,5,3
portugal_visual-arts_filigree,1,5,1
nigeria_visual-arts_glass-art,5,4,5
turkey_food_i̇çli-pide,1,4,4
brazil_music_forró,4,2,5
brazil_agriculture_coffee,4,4,4
india_beverages_chai,4,5,5
brazil_fruit_papaya,5,4,4
portugal_houses_casas-típicas-de-santana,4,5,1
portugal_bird_rock-dove,5,5,5
turkey_houses_villa,5,5,5
brazil_clothing_bikini,1,3,5
nigeria_houses_igbo-architecture,2,2,5
united-states_flower_lilium,5,5,5
united-states_beverages_beer,4,2,4
united-states_education_kahoot,5,1,5
brazil_houses_sobrado,5,5,5
portugal_mammal_porco,4,4,4
nigeria_bird_duck,5,5,5
turkey_food_kebab,2,2,5
united-states_celebrations_thanksgiving,5,1,5
brazil_utensil_squeegee,4,1,1
turkey_flower_rose,5,5,5
portugal_music_fado-de-lisboa,2,2,5
india_sport_badminton,5,4,4
united-states_houses_townhouse,2,5,2
united-states_clothing_down-jacket,4,3,2
united-states_bird_american-crow,5,5,5
portugal_sport_canoeing,2,2,5
turkey_vegetable_cucumber,5,5,5
turkey_education_quran-course,2,5,2
