id,src_domain,domain_1,domain_2,domain_3,instructpix2pix_src_clip,instructpix2pix_tgt_clip,instructpix2pix_src_tgt_dino,blip-gpt-plugnplay_src_clip,blip-gpt-plugnplay_tgt_clip,blip-gpt-plugnplay_src_tgt_dino,retrieval_src_clip,retrieval_tgt_clip,retrieval_src_tgt_dino
0,ncert-measure-1,plugnplay,instruct,retrieval,0.15382784605026245,0.17372621595859528,0.9431297779083252,0.15382784605026245,0.17281724512577057,0.9582066535949707,0.15382784605026245,0.24021771550178528,0.7515192627906799
1,k5-sort_data-5,retrieval,instruct,plugnplay,0.1807006597518921,0.18170523643493652,0.9609839916229248,0.1807006597518921,0.22874325513839722,0.9660921096801758,0.1807006597518921,0.2236853539943695,0.8997185230255127
2,ncert-count-objects-2,plugnplay,instruct,retrieval,0.1464546173810959,0.2045356184244156,0.9529294967651367,0.1464546173810959,0.12495887279510498,0.9616150856018066,0.1464546173810959,0.17267316579818726,0.8907451033592224
3,k5-count-7,retrieval,plugnplay,instruct,0.16422829031944275,0.19291952252388,0.9367232322692871,0.16422829031944275,0.16705277562141418,0.976751446723938,0.16422829031944275,0.14281056821346283,0.7456149458885193
4,k5-count-10,instruct,plugnplay,retrieval,0.13642317056655884,0.1450776308774948,0.960352897644043,0.13642317056655884,0.16400916874408722,0.9176099300384521,0.13642317056655884,0.22606444358825684,0.7680556774139404
5,k5-analyse-6,instruct,retrieval,plugnplay,0.15824490785598755,0.20651012659072876,0.9110753536224365,0.15824490785598755,0.1291600614786148,0.9545110464096069,0.15824490785598755,0.2148730605840683,0.7930560111999512
6,ncert-count-objects-1,instruct,plugnplay,retrieval,0.14168474078178406,0.18373234570026398,0.9152318239212036,0.14168474078178406,0.12014522403478622,0.9219204783439636,0.14168474078178406,0.13103213906288147,0.8984463810920715
7,k5-analyse-3,instruct,retrieval,plugnplay,0.16765357553958893,0.20204268395900726,0.9429028630256653,0.16765357553958893,0.1446438878774643,0.9803913831710815,0.16765357553958893,0.2236853539943695,0.9055675268173218
8,k5-analyse-8,retrieval,instruct,plugnplay,0.1849256455898285,0.18404974043369293,0.7373585104942322,0.1849256455898285,0.15576238930225372,0.9259268641471863,0.1849256455898285,0.20019836723804474,0.6926058530807495
9,k5-belong-1,retrieval,plugnplay,instruct,0.15594814717769623,0.19243170320987701,0.9485207200050354,0.15594814717769623,0.1573970913887024,0.9604089260101318,0.15594814717769623,0.21029356122016907,0.8312831521034241
