Key,cap-retrieve,e2e-instruct,cap-edit
nigeria_flower_ixora,2,4,4
brazil_agriculture_coffee,2,2,5
turkey_food_simit,1,4,1
india_beverages_nimbu-paani,1,1,1
nigeria_music_traditional-flute-player,1,5,1
nigeria_fruit_banana,2,5,2
nigeria_flower_aloe-vera,2,2,2
nigeria_education_morning-assembly-at-a-primary-school,1,1,5
turkey_bird_greater-flamingo,1,1,1
brazil_utensil_squeegee,1,1,1
india_celebrations_Vijayadashami,1,1,1
japan_agriculture_poultry-farming,4,4,2
turkey_flower_bellis-perennis,4,4,1
japan_celebrations_tanabata,4,4,5
india_beverages_chai,2,2,4
turkey_celebrations_ramadan,1,1,1
united-states_education_state-school,3,3,3
japan_vegetable_wasabi,4,3,4
india_flower_Hibiscus,2,2,3
india_religion_Hinduism,1,1,5
turkey_celebrations_eid-al-adha,5,4,4
brazil_fruit_guava,1,1,4
brazil_fruit_papaya,1,1,1
india_fruit_Mango,2,2,4
turkey_houses_apartment,4,4,4
united-states_flower_tulip,1,1,1
japan_religion_butsuzō,1,1,1
brazil_religion_umbanda,5,4,2
turkey_visual-arts_ottoman-miniature,1,1,5
turkey_beverages_rakı,2,4,5
japan_bird_kiji,4,1,1
india_education_gurukula,1,1,5
united-states_utensil_tongs,4,2,4
united-states_celebrations_christmas,5,5,5
united-states_music_country,1,5,1
brazil_houses_sobrado,3,3,4
japan_utensil_suribachi,2,5,2
nigeria_clothing_wrapper,4,3,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,4,4
united-states_visual-arts_mural-painting,5,2,2
turkey_mammal_kangal-shepherd-dog,3,2,3
india_bird_Common-myna,2,4,5
nigeria_food_egusi-soup-and-poundo,2,2,5
japan_bird_kounotori,1,2,2
united-states_visual-arts_street-art,1,5,1
united-states_beverages_sweet-tea,5,3,3
turkey_religion_islam,1,1,1
japan_agriculture_fishery,4,4,5
turkey_agriculture_olive,3,5,5
nigeria_visual-arts_glass-art,2,5,2
japan_vegetable_renkon,1,1,1
brazil_music_forró,4,4,5
brazil_sport_futsal,5,5,5
india_beverages_kingfisher-beer,2,5,2
brazil_beverages_mate,5,1,1
india_beverages_filter-coffee,4,4,2
turkey_visual-arts_graffiti,1,1,1
india_houses_Temple,4,1,1
turkey_clothing_turkish-salvar,2,5,4
turkey_education_cram-school,3,3,3
nigeria_utensil_meat-grinder,2,5,2
japan_clothing_tabi,1,1,5
india_flower_Jasmine,1,1,5
nigeria_religion_islam,1,1,5
united-states_sport_volleyball,4,4,4
india_utensil_Skimmer,4,4,5
japan_celebrations_coming-of-age-day,1,1,4
japan_food_sushi,4,1,5
nigeria_agriculture_cassava,4,1,4
brazil_sport_association-football,5,5,5
japan_beverages_nihonshu,1,5,1
nigeria_utensil_sieve,2,2,5
india_food_Samosa,1,1,5
united-states_beverages_coffee,5,4,4
nigeria_visual-arts_painting,1,1,1
brazil_vegetable_potato,1,4,4
india_education_Central-Board-of-Secondary-Education,1,1,2
japan_visual-arts_ink-wash-painting,1,1,1
brazil_flower_bromelia,1,1,1
turkey_clothing_fez,1,1,1
united-states_clothing_cowboy-hat,1,1,1
india_mammal_elephant,1,1,5
united-states_houses_prairie-school,4,2,2
brazil_music_samba,1,1,5
japan_religion_torii,1,1,1
