src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by violão, bateria, piano and flauta"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart showing the number of pizzas sold each day in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a set of icons including a brigadeiro, a pão de queijo, a coxinha, and a caipirinha"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of palm trees on a sunny beach"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a set of Brazilian treats and drinks on a green and yellow background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, soccer, volleyball and handball in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of brigadeiros"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","a pair of Brazilian palm trees with green and round coconuts on them"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of brigadeiros"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that has a number of cherries on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a venn diagram of round and green pizzas sold on each weekday in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a chart that shows the number of votes for each musical instrument"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"education","a bunch of cherries on a white background","a group of cherries on a white surface"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"education","a candy shop worksheet that asks students to circle the picture that doesn't belong","a candy store worksheet that asks students to circle the image that doesn't belong"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"education","a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to circle the picture that is not like the others"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"education","a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of colorful balloons on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"education","a math worksheet with different currency notes and coins","a math worksheet with different Brazilian currency notes and coins"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,"education","a math worksheet that has a circle with trees on it","A math worksheet that features a circle with palm trees on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,"education","a math worksheet that asks children to count the number of ice cream cones","a math worksheet that asks children to count the number of soccer balls"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,"education","a math worksheet that asks students to count and write the number of christmas ornaments","a math worksheet that asks students to count and write the number of carnival masks"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,"education","a math worksheet with pictures of ice cream, sunglasses and shorts","a math worksheet with pictures of acai bowls, flip flops and bikinis"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,"education","a number of hotdogs on a math worksheet","a number of caipirinhas on a math worksheet"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,"education","a set of cartoon animals and insects on a white background","a group of cartoon animals and insects on a white background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,"education","a set of stickers depicting different types of trains","a set of stickers depicting different types of trains in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,"education","a math worksheet that has cupcakes with candles on them","a math worksheet with cupcakes decorated with candles for a birthday party"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-10.png,"education","a venn diagram that shows the number of candies in a shop","a venn diagram that displays the quantity of sweets in a store"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-3.png,"education","a math worksheet that asks children to add the coins","a math worksheet that challenges children to count the Brazilian coins and add their values together"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-2.png,"education","The image depicts a math worksheet that asks students to draw a line from each gummy bear to the correct box and how many of each color are there","The picture shows a math worksheet that challenges students to connect each gummy bear to the right box and count how many of each color there are"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-5.png,"education","a math worksheet that asks children to count the number of different sports balls","A math worksheet that asks children to count the number of different types of Brazilian desserts"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-4.png,"education","a halloween themed math worksheet for kids","a carnival themed math worksheet for kids"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-10.png,"education","The image shows a math worksheet titled, 'How many different types of trees are there?","The picture displays a math worksheet titled, Quantos tipos diferentes de árvores existem? Colora 1 fatia para cada árvore usando a cor indicada"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-1.png,"education","The image is from a math worksheet titled, 'How many of each balls are there?'","The picture is from a math exercise called How many balls of each type are there?"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-2.png,"education","The image shows a basket filled with various fruits and vegetables, including apples, oranges, carrots, and potatoes","The picture displays a basket full of different types of fruits and vegetables, such as apples, oranges, carrots, and potatoes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-11.png,"education","a math worksheet that asks students to draw lines to connect and sort each animal according to their number of legs","a math worksheet that asks students to draw lines to connect and organize each animal according to their number of legs in Brazil"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-2.png,"education","a math worksheet with several different hats on it","a math worksheet with various types of hats on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-4.png,"education","a graph showing the number of items that are fruits, five-letter words and both","a chart displaying the quantity of items that are fruits, five-letter words and both"
