Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,1,2,1
brazil_agriculture_coffee,1,1,1
turkey_mammal_roe-deer,2,1,4
india_beverages_nimbu-paani,1,1,1
portugal_music_cavaquinho,1,2,1
india_sport_kabaddi,1,1,1
united-states_music_bluegrass,1,1,1
japan_agriculture_dairy,1,1,1
turkey_houses_yalı,1,1,2
brazil_utensil_squeegee,1,1,1
turkey_agriculture_wheat,1,1,1
portugal_agriculture_olive-oil-mills,1,1,1
turkey_houses_villa,1,1,1
japan_sport_judo,1,2,2
india_beverages_chai,1,1,1
turkey_vegetable_eggplant,2,2,2
japan_vegetable_gobo,2,2,2
portugal_education_queima-das-fitas,2,2,2
india_flower_Hibiscus,2,2,2
japan_religion_torii,2,2,1
turkey_sport_volleyball,1,1,1
brazil_fruit_guava,2,2,2
brazil_fruit_papaya,1,1,1
turkey_utensil_hammer,2,1,1
india_food_Chicken-tikka-masala,2,1,1
japan_music_idol,2,1,2
japan_clothing_kimono,1,1,1
brazil_religion_umbanda,1,1,1
portugal_clothing_ribeira,2,1,1
turkey_food_baklava,1,2,1
india_celebrations_Vijayadashami,1,1,1
india_vegetable_Spinach,1,1,1
united-states_agriculture_maize,1,2,1
turkey_flower_tulip,1,1,1
united-states_bird_american-robin,2,1,1
brazil_houses_sobrado,1,1,1
india_utensil_Skimmer,2,1,1
japan_bird_kiji,1,1,1
turkey_beverages_ayran,2,1,1
india_visual-arts_Pattachitra,1,2,1
united-states_celebrations_new-years-day,2,1,1
india_bird_Common-myna,2,1,1
united-states_clothing_sneakers,1,1,1
turkey_sport_wrestling,1,2,1
japan_food_sushi,1,1,1
united-states_food_hotdog,1,1,1
united-states_agriculture_cotton,1,1,2
japan_vegetable_shiitake,1,1,1
turkey_flower_rose,1,1,1
portugal_visual-arts_filigree,2,2,2
japan_utensil_donabe,2,2,2
brazil_music_forró,2,2,2
brazil_sport_futsal,1,2,1
india_beverages_kingfisher-beer,1,1,1
brazil_beverages_mate,1,1,1
india_beverages_filter-coffee,1,1,1
turkey_music_anatolian-rock,1,1,2
india_houses_Temple,1,2,2
united-states_education_projector,1,1,1
turkey_celebrations_ramadan,2,1,2
japan_education_vocational-school,2,1,2
portugal_music_pimba,1,2,1
india_flower_Jasmine,2,1,2
united-states_utensil_spatula,1,1,1
united-states_utensil_table-knife,1,2,1
japan_beverages_matcha,1,1,1
portugal_mammal_arouquesa-bull,2,1,1
japan_mammal_yezo-sika-deer,1,1,2
portugal_sport_tennis,1,2,1
brazil_sport_association-football,1,1,2
japan_bird_japanese-bush-warbler,1,1,1
japan_clothing_tabi,2,2,1
india_food_Samosa,1,1,1
turkey_utensil_peşkir,1,1,1
japan_celebrations_tanabata,1,1,1
brazil_vegetable_potato,1,1,1
india_education_Vedas,1,1,1
portugal_food_bifana,1,1,1
brazil_flower_bromelia,1,1,1
united-states_visual-arts_pop-art,1,1,1
japan_education_sotsugyōshiki,1,1,1
india_mammal_elephant,1,1,1
united-states_utensil_fork,1,1,1
brazil_music_samba,3,1,1
japan_visual-arts_manga,3,1,1
india_education_Central-Board-of-Secondary-Education,2,2,3
japan_food_miso-soup,1,1,1
brazil_religion_catholic-church,5,5,5
united-states_bird_blue-jay,1,1,1
india_mammal_langur-monkey,1,1,1
turkey_mammal_kangal-shepherd-dog,1,1,1
japan_agriculture_pig-farming,1,2,2
portugal_flower_dianthus-caryophyllus,1,1,1
portugal_sport_association-football,1,1,1
brazil_religion_protestantism-in-brazil,1,1,1
united-states_vegetable_broccoli,1,2,1
united-states_music_country,1,1,1
turkey_education_imam-hatip-high-school,1,2,3
united-states_beverages_orange-juice,1,2,1
india_religion_Hinduism,2,1,1
india_education_gurukula,1,2,1
brazil_education_whiteboard,3,1,1
united-states_sport_baseball,1,1,2
united-states_sport_golf,1,1,1
united-states_fruit_banana,1,1,1
united-states_music_pop-music,1,1,1
portugal_visual-arts_bordallo-pinheiro,1,1,1
india_fruit_Mango,1,1,1
brazil_utensil_mortar-and-pestle,1,1,1
brazil_fruit_pineapple,1,1,1
japan_vegetable_renkon,1,1,4
united-states_beverages_coffee,1,1,1
portugal_food_bacalhau-à-brás,1,1,1
brazil_utensil_wooden-spoon,1,1,1
united-states_clothing_cowboy-hat,1,1,1
japan_sport_kendō,1,1,1
japan_visual-arts_ukiyo-e,1,1,1
turkey_clothing_turkish-salvar,1,1,3
japan_beverages_yakult,1,1,1
brazil_mammal_jaguar,1,1,1
united-states_clothing_jeans,1,1,1
united-states_utensil_spoon,1,1,1
india_bird_House-sparrow,1,1,1
brazil_food_feijoada,1,1,1
india_music_harmonium,1,1,1
brazil_clothing_bikini,3,3,1
united-states_flower_narcissus,1,1,1
portugal_food_francesinha,1,1,1
japan_beverages_nihonshu,1,1,1
india_bird_Indian-roller,1,1,1
turkey_religion_alevism,1,1,1
portugal_vegetable_potato,1,1,1
turkey_sport_basketball,1,1,1
turkey_religion_islam,1,1,1
turkey_beverages_rakı,1,1,1
japan_bird_kounotori,1,1,1
turkey_celebrations_eid-al-adha,1,1,1
japan_celebrations_coming-of-age-day,1,1,1
japan_agriculture_稲作,1,1,1
brazil_flower_cattleya,1,1,1
turkey_bird_mallard,1,1,1
united-states_celebrations_christmas,1,1,1
united-states_houses_ranch-style-house,1,1,1
india_food_Biryani,1,1,1
portugal_food_pastel-de-nata,1,1,1
japan_houses_kinkaku-ji,1,1,1
portugal_celebrations_romaria-de-nossa-senhora-d-agonía,1,1,1
brazil_utensil_barbecue-grill,1,1,1
portugal_visual-arts_azulejo,1,1,1
brazil_bird_tucano,1,1,1
united-states_bird_mourning-dove,1,1,1
turkey_clothing_yelek,1,1,1
portugal_clothing_traje-campino-ribatejano,1,1,1
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,1,1,1
portugal_clothing_caretos-de-podence,1,1,3
india_mammal_deer,1,1,1
japan_sport_karate,1,1,1
turkey_music_qanun,1,1,1
united-states_sport_american-football,1,1,1
india_beverages_lassi,1,1,1
japan_utensil_chasen,1,1,1
japan_music_shamisen,1,1,1
united-states_fruit_apple,1,1,1
brazil_vegetable_cassava,1,1,1
turkey_clothing_fez,1,1,1
brazil_houses_casas-bahia,1,1,1
japan_flower_hydrangea-macrophylla,1,1,1
turkey_celebrations_national-sovereignty-and-childrens-day,1,1,1
brazil_celebrations_festa-junina,1,1,1
india_houses_Villa,1,1,1
portugal_houses_palácio-nacional-de-belém,1,1,1
portugal_utensil_nutcracker,1,3,1
india_clothing_Sari,1,1,1
brazil_agriculture_maize,1,1,1
turkey_flower_bellis-perennis,1,1,1
portugal_agriculture_vindima,1,3,1
india_celebrations_Ganesh-Chaturthi,1,1,1
brazil_celebrations_independence-day,1,1,1
japan_beverages_barley-tea,1,1,1
united-states_mammal_raccoon,1,1,1
japan_fruit_kyoho,1,1,1
united-states_religion_evangelicalism,1,1,1
turkey_food_i̇çli-pide,1,1,1
portugal_music_kizomba,1,1,1
brazil_agriculture_sugarcane,1,1,1
portugal_bird_house-sparrow,1,1,1
japan_education_kyūshoku,1,1,1
united-states_flower_lilium,1,1,1
portugal_flower_bellis-annua,1,1,1
portugal_bird_rock-dove,1,3,4
brazil_sport_brazilian-jiu-jitsu,3,2,2
india_music_tabla,1,1,1
united-states_beverages_beer,1,1,1
united-states_music_rock,1,1,1
india_sport_cricket,1,1,1
brazil_mammal_maned-wolf,1,1,1
india_flower_Indian-Lotus,1,1,1
india_mammal_rhinoceros,1,1,1
japan_celebrations_oshōgatsu,1,1,3
india_sport_hockey,1,1,1
japan_mammal_japanese-macaque,1,3,1
turkey_music_arabesque,1,1,1
japan_vegetable_daikon,1,1,1
united-states_visual-arts_mural-painting,1,1,1
turkey_mammal_angora-goat,1,1,1
portugal_religion_nossa-senhora-de-fatima,1,1,1
turkey_clothing_tesettür,1,1,1
brazil_fruit_mango,1,1,1
portugal_agriculture_salt-pans,1,1,1
turkey_utensil_cezve,1,1,1
japan_flower_fuji,1,1,1
united-states_houses_prairie-school,1,1,1
portugal_celebrations_festa-dos-tabuleiros,1,1,1
portugal_fruit_apple,1,1,1
