src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally the votes received by guitar, drums, piano and flute in Japan","Guitar Scale Hand Book"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart showing the number of sushi rolls sold each day","Nissan's Board of Directors of 31 9 3 quarter 2009 decided about monthly while dividends from year to year 20 billion to ¥ 9 lower dividend by about 11 billion Photos are announced when the new medium-term plan announced at source."
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a set of icons including a teapot, a teacup, a sake bottle, and a koi fish","[Made in Japan] Koutei ryu Dragon SAKE pitcher and cups set"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of cherry blossom trees on a traditional Japanese background","Cherry blossoms in bloom at Nara"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-belong-1.png,"a set of food and drink icons on a white background","A set of Japanese food and drink icons on a traditional white background","Boasting abundance of recommended menu which changes according to purchase! Classic cuisine is convinced Cospa ♪"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football in Japan","Kawagoe FC Middle Junior Soccer Team Blog"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","a math worksheet that asks children in Japan to count the number of cupcakes","child-care-guide_03_ページ_7"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","Count the number of round or green objects on the pair of Christmas trees with ornaments","FLENSTED mobiles  クリスマスモビール ChristmasTree3"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of onigiri (rice balls)","R00135_Deep_Fried_Bean_Curd_Pockets-619x412"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of sakura flowers on it","635_ishiroo office"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-6.png,"a venn diagram of round objects and green objects","a venn diagram of round objects and red objects","Graphical abstract of the research project showing a healthy and obese mouse in the top left corner; blood test in the center; and liver and muscle at the bottom."
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-1.png,"a chart that shows the number of votes for each instrument","a chart that displays the number of votes for each traditional Japanese instrument","201706-07-fig-02.png"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-8.png,"a bunch of cherries on a white background","a group of sakura blossoms on a red and white patterned fabric","Butterfly emblem design red and white Zip Top Handbag"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_data-4.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't belong in Japan","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-12.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that instructs students to encircle the image that does not fit in with the others in Japan","quiz03_answer"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-8.png,"a candy shop worksheet that asks students to circle the picture that doesn't belong","a Japanese confectionery worksheet that asks students to circle the picture that doesn't belong","booth_map03"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-1.png,"a math worksheet that asks students to circle the picture that is different","a math worksheet that instructs students to encircle the image that stands out","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-6.png,"a sheet of paper with a bunch of stickers on it","a sheet of paper with a group of colorful balloons on it","r_b_bouroullec_001"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-11.png,"a math worksheet with different currency notes and coins","a math worksheet with different Japanese yen notes and coins","Image of reverse design of 500 yen"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_count-4.png,"a math worksheet that has a circle with trees on it","a math worksheet that has a circle with cherry blossom trees on it","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-5.png,"a math worksheet that asks children to count the number of ice cream cones","A math worksheet that challenges students to count the number of sushi rolls","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-2.png,"a math worksheet that asks students to count and write the number of christmas ornaments","A math worksheet that asks students to count and write the number of traditional Japanese New Year decorations","paper lantern; characters; red paper lantern 29905927"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-sort_count-3.png,"a math worksheet with pictures of ice cream, sunglasses and shorts","a math worksheet with pictures of sushi, fans and kimonos","child-care-guide_03_ページ_7"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-2.png,"a number of hotdogs on a math worksheet","a number of sushi rolls on a math worksheet","food-Kimbap-"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-belong-4.png,"a set of cartoon animals and insects on a white background","a group of cute cartoon animals and insects on a clean white background","Vector Set Of Cute Woodland And Forest Animalsのイラスト素材"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-belong-3.png,"a set of stickers depicting different types of trains","a set of stickers featuring various types of trains in Japan","Osaka Metro card is included in the Osaka City Pass"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-5.png,"a math worksheet that has cupcakes with candles on them","a math worksheet featuring sushi rolls with chopsticks on them","EXCEED PARTY in北海道イベント"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-10.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-analyse-10.png,"a venn diagram that shows the number of candies in a shop","A Venn diagram depicting the quantity of sweets in a Japanese candy store","Omiai 出会いに対する真剣度"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/japan/education_k5-count-3.png,"a math worksheet that asks children to add the coins","a math worksheet that asks children to add the Japanese yen coins","EXCEED PARTY in北海道イベント"
