Key,cap-retrieve,e2e-instruct,cap-edit
nigeria_flower_ixora,5,2,2
brazil_agriculture_coffee,1,2,5
turkey_food_simit,2,5,2
india_beverages_nimbu-paani,5,2,4
nigeria_music_traditional-flute-player,2,5,2
nigeria_fruit_banana,1,5,2
nigeria_flower_aloe-vera,1,5,4
nigeria_education_morning-assembly-at-a-primary-school,2,1,5
turkey_bird_greater-flamingo,2,5,5
brazil_utensil_squeegee,5,5,2
india_celebrations_Vijayadashami,2,5,1
japan_agriculture_poultry-farming,1,2,5
turkey_flower_bellis-perennis,2,2,5
japan_celebrations_tanabata,4,1,5
india_beverages_chai,2,2,5
turkey_celebrations_ramadan,2,2,5
united-states_education_state-school,5,4,2
japan_vegetable_wasabi,2,5,4
india_flower_Hibiscus,2,4,5
india_religion_Hinduism,2,1,5
turkey_celebrations_eid-al-adha,5,2,5
brazil_fruit_guava,2,2,5
brazil_fruit_papaya,5,2,4
india_fruit_Mango,2,1,5
turkey_houses_apartment,5,2,4
united-states_flower_tulip,5,2,4
japan_religion_butsuzō,2,5,1
brazil_religion_umbanda,5,5,1
turkey_visual-arts_ottoman-miniature,2,1,5
turkey_beverages_rakı,2,4,5
japan_bird_kiji,5,2,4
india_education_gurukula,1,2,5
united-states_utensil_tongs,5,5,4
united-states_celebrations_christmas,1,2,5
united-states_music_country,4,5,2
brazil_houses_sobrado,2,2,5
japan_utensil_suribachi,2,5,1
nigeria_clothing_wrapper,5,4,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,2,2
united-states_visual-arts_mural-painting,5,2,1
turkey_mammal_kangal-shepherd-dog,2,5,2
india_bird_Common-myna,5,1,5
nigeria_food_egusi-soup-and-poundo,2,1,5
japan_bird_kounotori,2,5,1
united-states_visual-arts_street-art,2,5,1
united-states_beverages_sweet-tea,5,2,1
turkey_religion_islam,5,1,4
japan_agriculture_fishery,2,4,5
turkey_agriculture_olive,5,1,2
nigeria_visual-arts_glass-art,2,5,2
japan_vegetable_renkon,5,1,5
brazil_music_forró,2,1,5
brazil_sport_futsal,5,2,1
india_beverages_kingfisher-beer,1,5,2
brazil_beverages_mate,5,4,4
india_beverages_filter-coffee,2,5,1
turkey_visual-arts_graffiti,5,2,1
india_houses_Temple,5,4,2
turkey_clothing_turkish-salvar,2,5,4
turkey_education_cram-school,1,5,2
nigeria_utensil_meat-grinder,4,5,2
japan_clothing_tabi,2,1,5
india_flower_Jasmine,2,4,5
nigeria_religion_islam,2,1,5
united-states_sport_volleyball,1,5,2
india_utensil_Skimmer,2,2,5
japan_celebrations_coming-of-age-day,2,1,5
japan_food_sushi,4,1,5
nigeria_agriculture_cassava,2,5,2
brazil_sport_association-football,2,5,1
japan_beverages_nihonshu,1,4,2
nigeria_utensil_sieve,2,2,5
india_food_Samosa,1,4,5
united-states_beverages_coffee,5,2,2
nigeria_visual-arts_painting,2,5,1
brazil_vegetable_potato,5,1,1
india_education_Central-Board-of-Secondary-Education,1,1,4
japan_visual-arts_ink-wash-painting,1,5,4
brazil_flower_bromelia,2,4,5
turkey_clothing_fez,5,2,4
united-states_clothing_cowboy-hat,4,2,4
india_mammal_elephant,1,2,5
united-states_houses_prairie-school,5,4,2
brazil_music_samba,1,4,5
japan_religion_torii,2,1,5
japan_education_kosha,2,2,5
japan_beverages_matcha,2,5,2
brazil_religion_catholic-church,2,5,1
turkey_fruit_watermelon,1,5,2
india_mammal_langur-monkey,5,2,1
united-states_visual-arts_art-of-the-american-southwest,5,2,2
nigeria_music_cultural-dance-troupe,2,1,5
united-states_agriculture_maize,2,5,1
india_vegetable_Spinach,5,2,2
brazil_religion_protestantism-in-brazil,4,5,2
japan_utensil_ohashi,2,5,2
japan_mammal_yezo-sika-deer,4,2,5
nigeria_music_jazz,2,5,1
united-states_music_bluegrass,1,5,1
nigeria_bird_eagle,2,5,1
india_education_Vedas,1,2,5
brazil_education_whiteboard,2,1,5
united-states_bird_bald-eagle,5,2,2
japan_music_idol,5,1,2
nigeria_flower_royal-poinciana,5,2,2
turkey_bird_mallard,5,1,2
turkey_agriculture_wheat,2,1,4
turkey_education_boğaziçi-university,2,2,5
brazil_utensil_mortar-and-pestle,5,1,2
united-states_sport_golf,2,4,2
turkey_mammal_roe-deer,1,5,2
united-states_clothing_sneakers,2,5,5
india_visual-arts_Pattachitra,2,2,5
brazil_utensil_wooden-spoon,2,5,2
india_sport_kabaddi,5,1,2
japan_celebrations_koinobori,1,2,5
turkey_houses_mosque,4,2,2
united-states_mammal_american-black-bear,2,2,5
nigeria_mammal_chimpanzee,5,2,2
japan_beverages_barley-tea,2,4,2
brazil_mammal_jaguar,2,5,5
japan_bird_japanese-bush-warbler,2,5,2
japan_food_miso-soup,2,4,2
india_bird_House-sparrow,2,4,2
brazil_food_feijoada,2,4,2
japan_clothing_kimono,4,1,2
brazil_clothing_bikini,2,2,4
nigeria_vegetable_cabbage,2,4,2
japan_vegetable_gobo,1,2,4
japan_clothing_hanten,5,1,2
india_bird_Indian-roller,2,5,4
turkey_clothing_tesettür,5,2,2
nigeria_vegetable_ewedu,5,2,1
turkey_celebrations_commemoration-of-atatürk-youth-and-sports-day,2,5,1
united-states_bird_blue-jay,2,4,2
united-states_music_jazz,4,2,5
nigeria_celebrations_eyo-festival,1,2,4
turkey_education_quran-course,5,2,1
india_music_harmonium,5,2,1
japan_sport_kendō,4,2,2
brazil_flower_cattleya,2,1,4
united-states_flower_common-sunflower,2,4,5
united-states_celebrations_independence-day,5,2,4
japan_houses_kinkaku-ji,2,2,4
india_food_Biryani,4,2,2
united-states_vegetable_potato,2,4,2
turkey_mammal_angora-goat,5,2,4
japan_beverages_yakult,5,2,4
brazil_utensil_barbecue-grill,2,2,5
united-states_utensil_fork,2,2,5
brazil_bird_tucano,2,2,5
turkey_beverages_turnip-water,1,2,5
nigeria_celebrations_new-yam-festival,5,2,1
united-states_flower_lilium,2,4,2
turkey_education_imam-hatip-high-school,2,4,2
nigeria_houses_yoruba-architecture,2,2,5
united-states_clothing_suit,2,1,4
india_mammal_deer,5,2,2
japan_celebrations_hinamatsuri,2,1,5
united-states_religion_mormonism,2,5,2
turkey_sport_basketball,4,1,4
india_beverages_lassi,2,2,5
turkey_vegetable_eggplant,4,5,2
japan_sport_karate,2,5,4
nigeria_mammal_aardvark,5,1,2
united-states_vegetable_broccoli,2,4,5
brazil_vegetable_cassava,4,1,2
turkey_sport_wrestling,1,4,2
brazil_houses_casas-bahia,2,4,1
japan_fruit_kaki,2,2,4
united-states_beverages_orange-juice,4,2,2
brazil_celebrations_festa-junina,2,4,2
india_houses_Villa,1,5,2
japan_sport_yakyū,4,5,1
united-states_agriculture_dairy-farming,2,5,2
india_clothing_Sari,2,2,5
brazil_agriculture_maize,4,1,4
turkey_houses_konak,2,1,4
united-states_sport_american-football,4,2,1
india_celebrations_Ganesh-Chaturthi,5,1,2
brazil_celebrations_independence-day,2,4,1
united-states_mammal_north-american-beaver,2,2,5
united-states_food_apple-pie,2,2,4
japan_fruit_watermelon,1,4,2
united-states_flower_rose,2,5,2
turkey_beverages_boza,2,5,1
japan_music_visual-kei,2,5,1
brazil_agriculture_sugarcane,2,4,5
nigeria_mammal_greater-cane-rat,2,1,5
japan_music_gagaku,1,4,2
japan_visual-arts_ukiyo-e,4,2,1
japan_education_kyūshoku,2,1,4
nigeria_music_talking-drum,5,1,2
brazil_sport_brazilian-jiu-jitsu,4,2,2
india_music_tabla,2,5,4
united-states_clothing_jeans,4,2,2
united-states_religion_judaism,5,2,4
india_sport_cricket,4,2,2
brazil_mammal_maned-wolf,2,1,5
india_flower_Indian-Lotus,4,2,2
india_mammal_rhinoceros,2,2,5
nigeria_music_afrobeat,5,2,2
india_sport_hockey,1,2,4
nigeria_beverages_palm-wine,2,2,5
japan_mammal_japanese-macaque,5,2,2
nigeria_houses_koutammakou,2,5,1
japan_agriculture_pig-farming,5,2,1
united-states_religion_mainline-protestant,4,1,2
nigeria_vegetable_okra,5,1,2
nigeria_religion_dibia,5,2,1
turkey_houses_villa,2,4,2
brazil_fruit_mango,5,2,2
nigeria_utensil_mortar-and-pestle,1,2,5
turkey_sport_football,4,4,2
japan_flower_fuji,2,5,4
nigeria_sport_boxing,1,4,2
brazil_agriculture_livestock,5,4,1
nigeria_food_akara,2,2,4
brazil_religion_candomblé,1,2,5
india_sport_chess,5,2,2
turkey_mammal_angora-cat,2,5,2
india_utensil_Pressure-Cooker,2,4,2
brazil_education_federal-university-of-rio-de-janeiro,4,2,2
turkey_music_ottoman-music,4,5,2
nigeria_visual-arts_igbo-art,1,2,5
turkey_flower_tulip,2,4,4
turkey_flower_rose,1,2,4
united-states_education_blended-learning,4,4,4
brazil_bird_sabiá-laranjeira,2,4,2
nigeria_fruit_guava,4,2,2
nigeria_clothing_aso-oke,4,2,2
brazil_education_kwl-table,2,4,2
india_houses_Mosque,1,2,4
japan_clothing_yukata,5,2,2
india_food_Tandoori-chicken,2,4,2
india_education_Indian-Institutes-of-Technology,4,2,2
nigeria_vegetable_carrot,2,5,4
japan_flower_hydrangea-macrophylla,2,4,2
united-states_food_hamburger,2,2,4
united-states_mammal_raccoon,4,4,1
brazil_houses_favela,4,5,1
united-states_education_kahoot,2,4,2
turkey_food_börek,2,2,4
india_visual-arts_Kalamkari,2,5,1
united-states_vegetable_kale,4,2,2
brazil_beverages_coconut-water,1,2,5
brazil_vegetable_yam,2,4,2
turkey_vegetable_green-bean,4,2,2
