src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally the votes received by sitar, tabla, harmonium and bansuri","Place Value Printable"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart displaying the number of samosas sold each day","moz metrics of the page monthly-wise"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a chai kettle, a clay pot, a teapot, and a rubber duck","Water Resources"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of Diwali diyas on a red background","Happy Diwali Colorful Wallpaper"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-belong-1.png,"a set of food and drink icons on a white background","a set of Indian sweets and snacks on a white background","Restaurants and Bakeries in Sivakasi"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played cricket, football, badminton, tennis and hockey in India","Sports in India"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","A math worksheet that challenges children to count the number of cupcakes in India's favorite sweet treat, the gulab jamun","recipes-indian-sweets-coconut-laddoo-6-Copy"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","a pair of Diwali trees with diyas on them","diwali celebration image 2016 with love"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of samosas","space connect shape challenge"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of mangoes on it","Madhya Pradesh Unorganized Labour Worker Registration Form"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-analyse-6.png,"a venn diagram of round objects and green objects","a venn diagram of round objects and red objects","an analysis of probability in conjunction with set theory and venn diagrams Venn diagrams - topic:mathematics  mainly in logic and probability theory he used diagrams of circles to represent the unions  studied in conjunction with set."
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-analyse-1.png,"a chart that shows the number of votes for each instrument","a chart that displays the tally of votes for each musical instrument","Source: WHO Global Urban Ambient Air Pollution Database (2014 & 2016)"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-analyse-8.png,"a bunch of cherries on a white background","a group of mangoes on a red background","Action Will Be Taken If Other Mangoes Are Sold As Konkan Hapus"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-sort_data-4.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to encircle the image that doesn't fit in","fraction_comparision"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-12.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that asks students to circle the picture that doesn't fit in","fraction_comparision"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-8.png,"a candy shop worksheet that asks students to circle the picture that doesn't belong","a sweet shop worksheet that asks students to circle the picture that doesn't belong","NCERT Solutions - Our Friends – Animals Notes | EduRev"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-1.png,"a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to encircle the picture that stands out","2n-number-of-cabbage"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/india/education_k5-count-6.png,"a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of colorful balloons on it","1_10-20-50Pcs-10inch-1-5g-Pearl-Latex-Balloons-Happy-Birthday-Party-Wedding-Christmas-Decoration-Balloon"
