src_image_path,task,model_path_1,model_path_2,model_path_3,model_1,model_2,model_3
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"Find the number of items that are fruits, five-letter words and both",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort_data-5.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"Cound the number of pizzas sold on each weekday",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-analyse-9.png,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"Cut out the pictures and paste them into the room you think they belong",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort-1.png,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"Circle the picture that is different",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-belong-6.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"Circle the picture that doesn't belong",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-belong-1.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"Count the number of muffins each kid gets",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-7.png,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"How many of each fruits are there ?",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-6.png,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"Count the number of blue, violet, red and yellow christmas balls",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-7.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"Draw a line from each gummy bear to the correct box and how many of each color are there?",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort_count-1.png,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"Add the coins.",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-9.png,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"Count the number of objects that are round or green and both",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-analyse-6.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"Count the number of votes received by Guitar, Drums, Piano and Flute",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-analyse-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-analyse-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-1.png,cap-edit,e2e-instruct,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"Find the number of cherries",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-8.png,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"Circle the shape which best matches the real life object in the picture.",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort_data-4.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"Count the balls and circle the answers",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-12.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"The line plot shows the number of candies in the shop. Write the number of each candy.",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-8.png,cap-retrieve,e2e-instruct,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"Count the balloons and write the number",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-1.png,e2e-instruct,cap-edit,cap-retrieve
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"Count the number of objects present for each sticker design",https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-6.png,e2e-instruct,cap-retrieve,cap-edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"Add the indian currency notes",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-11.png,cap-edit,cap-retrieve,e2e-instruct
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,"How many different types of trees are there?. Color 1 slice for each tree using the given color.",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-sort_count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-sort_count-4.png,cap-retrieve,cap-edit,e2e-instruct
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,"Count the popsicles and write the number",https://storage.googleapis.com/image-transcreation/outputs/part2/cap-edit/nigeria/education_k5-count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/e2e-instruct/nigeria/education_k5-count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-5.png,cap-edit,e2e-instruct,cap-retrieve
