src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,"education","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally up the number of votes received by guitar, drums, piano, and flute in the United States"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,"education","a chart showing the number of pizzas sold each day","a chart displaying the number of pizzas sold per day in the United States"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,"education","a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a coffee pot, a tea kettle, a cooking pot, and a rubber duck"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,"education","a set of christmas trees on a white background","a group of Christmas trees on a snowy background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,"education","a set of food and drink icons on a white background","a set of American treats and beverages on a blank canvas"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,"education","a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that requires you to tally up the number of individuals who participated in basketball, soccer, baseball, tennis, and football in the United States"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,"education","a math worksheet that asks children to count the number of cupcakes","A math worksheet that challenges students to count the number of cupcakes in the image"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,"education","a pair of christmas trees with ornaments on them","Two Christmas trees adorned with green and round ornaments"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,"education","a math worksheet with pictures of gummy bears","a math worksheet with pictures of cupcakes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,"education","a math worksheet that has a number of coins on it","a math worksheet that shows a variety of coins to count"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,"education","a venn diagram of round objects and green objects","a Venn diagram of circular items and items in the color green"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,"education","a chart that shows the number of votes for each instrument","a graph that displays the total number of votes for each musical instrument"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,"education","a bunch of cherries on a white background","a group of apples on a red background"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that instructs students to circle the image that doesn't fit in the group"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,"education","a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that instructs students to circle the image that doesn't fit in the group"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,"education","a candy shop worksheet that asks students to circle the picture that doesn't belong","a candy store worksheet that instructs students to circle the image that doesn't fit in"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,"education","a math worksheet that asks students to circle the picture that is different","a math worksheet that instructs students to identify the picture that does not belong"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,"education","a sheet of paper with a bunch of stickers on it","a sheet of paper with a bunch of balloons on it"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,"education","a math worksheet with different currency notes and coins","a math worksheet with various US dollar bills and coins"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,"education","a math worksheet that has a circle with trees on it","a math worksheet that features a circle with trees on it, commonly seen in American landscapes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,"education","a math worksheet that asks children to count the number of ice cream cones","a math worksheet that challenges students to count the number of baseballs and circle the correct answers"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,"education","a math worksheet that asks students to count and write the number of christmas ornaments","a math worksheet that instructs students to count and record the number of Christmas decorations"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,"education","a math worksheet with pictures of ice cream, sunglasses and shorts","A math worksheet with images of ice cream cones, sunglasses, and shorts for counting and matching"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,"education","a number of hotdogs on a math worksheet","Count the number of hotdogs in the picture and write it down"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,"education","a set of cartoon animals and insects on a white background","a group of cartoon animals and bugs on a blank canvas"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,"education","a set of stickers depicting different types of trains","a collection of stickers featuring various types of trains"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,"education","a math worksheet that has cupcakes with candles on them","A math worksheet featuring cupcakes with lit candles on them for a birthday celebration"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-10.png,"education","a venn diagram that shows the number of candies in a shop","A Venn diagram depicting the amount of candies in a store"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-3.png,"education","a math worksheet that asks children to add the coins","a math worksheet that challenges students to add up the coins"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-2.png,"education","The image depicts a math worksheet that asks students to draw a line from each gummy bear to the correct box and how many of each color are there","The picture shows a math worksheet where students are instructed to connect each gummy bear to the appropriate box and determine the number of bears of each color"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-5.png,"education","a math worksheet that asks children to count the number of different sports balls","A math worksheet that challenges students to count the variety of desserts and record the numbers in the boxes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-4.png,"education","a halloween themed math worksheet for kids","A Halloween-themed math worksheet for children in the United States"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-10.png,"education","The image shows a math worksheet titled, 'How many different types of trees are there?","The picture displays a math sheet titled, How many different types of trees are there in the United States? Color one section for each tree using the designated color"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-1.png,"education","The image is from a math worksheet titled, 'How many of each balls are there?'","The picture is from a math worksheet called How many of each type of ball are there?"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-2.png,"education","The image shows a basket filled with various fruits and vegetables, including apples, oranges, carrots, and potatoes","The picture displays a basket containing a variety of fruits and vegetables, such as apples, oranges, carrots, and potatoes"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-11.png,"education","a math worksheet that asks students to draw lines to connect and sort each animal according to their number of legs","A math worksheet that instructs students to connect and sort each animal based on the number of legs they have"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-2.png,"education","a math worksheet with several different hats on it","Circle the shape that most closely resembles a real-life hat in the picture"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-4.png,"education","a graph showing the number of items that are fruits, five-letter words and both","a chart displaying the quantity of objects that are fruits, five-letter words, and fall into both categories in the United States"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-3.png,"education","a number of cupcakes for each day of the week","Cut out the pictures and paste them into the appropriate day of the week on the calendar"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-5.png,"education","a picture of a number of different vehicles on a math worksheet","A picture of various types of cars on a math worksheet"
https://storage.googleapis.com/image-transcreation/part2/stories/namukuru's_bicycle.jpg,"stories","a girl and boy riding a bike in a storybook","a boy and girl riding a bicycle in a children's book"
https://storage.googleapis.com/image-transcreation/part2/stories/happy.jpg,"stories","a picture of a girl and a boy in a circle","A drawing of a girl and a boy holding hands in a circle"
https://storage.googleapis.com/image-transcreation/part2/stories/pehelwaan_ji.jpg,"stories","a cartoon drawing of a man drinking from a bottle","a cartoon illustration of a person sipping from a soda bottle in the park"
https://storage.googleapis.com/image-transcreation/part2/stories/dole_agu_lo_oo.jpg,"stories","a little girl brushing her teddy bear's hair","A young girl brushing her teddy bear's fur"
https://storage.googleapis.com/image-transcreation/part2/stories/greetings.jpg,"stories","a cartoon illustration of a boy and a girl","a cartoon illustration of a boy and a girl, playing together in a park in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/feet_hands_and_head.jpg,"stories","a drawing of a woman with three children in front of a building","A picture of a mom with three kids standing in front of a house"
https://storage.googleapis.com/image-transcreation/part2/stories/the_busy_big_mango_tree.jpg,"stories","a drawing of a crowd of people waving flags","a picture of a group of individuals cheering and holding American flags"
https://storage.googleapis.com/image-transcreation/part2/stories/tingi_and_the_cows.jpg,"stories","a drawing of a woman petting a cow","A picture of a lady petting a cow on a farm in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/basara.jpg,"stories","a drawing of a woman holding a bag","a picture of a lady carrying a purse"
https://storage.googleapis.com/image-transcreation/part2/stories/toto.jpg,"stories","a cartoon of a little girl in a garden","a drawing of a young girl in a backyard"
https://storage.googleapis.com/image-transcreation/part2/stories/my_home.jpg,"stories","a drawing of a man reading a newspaper","a picture of a man reading a newspaper in the park"
https://storage.googleapis.com/image-transcreation/part2/stories/mepu.jpg,"stories","a drawing of two boys on skateboards walking down a path","A picture of two boys riding skateboards down a sidewalk"
https://storage.googleapis.com/image-transcreation/part2/stories/naughty_or_not.jpg,"stories","a woman in a green sari sweeping the floor","A lady in a green dress sweeping the floor with a broom"
https://storage.googleapis.com/image-transcreation/part2/stories/pig.jpg,"stories","a pig and a dog standing next to each other","A pig and a dog standing side by side, wagging their tails happily"
https://storage.googleapis.com/image-transcreation/part2/stories/cake.jpg,"stories","a person is cutting a cake with a pair of scissors","A person is using scissors to cut a cake"
https://storage.googleapis.com/image-transcreation/part2/stories/cat_and_dog_and_the_yam.jpg,"stories","a cartoon cat and dog standing next to each other","a cartoon cat and dog standing side by side in a colorful park"
https://storage.googleapis.com/image-transcreation/part2/stories/hamo_os_du_ut.jpg,"stories","a drawing of a boy jumping into a pond","A picture of a boy leaping into a lake in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/asi_uli.jpg,"stories","a drawing of a boy and a frog","a picture of a boy and a frog in an American storybook"
https://storage.googleapis.com/image-transcreation/part2/stories/o_rain_come.jpg,"stories","a drawing of a young girl holding a fan","A picture of a little girl holding a handheld fan"
https://storage.googleapis.com/image-transcreation/part2/stories/let_s_go.jpg,"stories","a drawing of a boy and a girl in a storybook","a picture of a boy and a girl in a children's book"
https://storage.googleapis.com/image-transcreation/part2/stories/importance_of_trees.jpg,"stories","a drawing of a man looking at a cloud","a picture of a man gazing up at a fluffy cloud in the sky"
https://storage.googleapis.com/image-transcreation/part2/stories/i_spy_shapes.jpg,"stories","a little girl standing on a rug in a living room","a young girl standing on a carpet in a living room"
https://storage.googleapis.com/image-transcreation/part2/stories/19-friends.jpg,"stories","two boys playing a game of catch on the beach","Two kids having fun playing catch on the sandy beach"
https://storage.googleapis.com/image-transcreation/part2/stories/helping_others.jpg,"stories","a cartoon of a man combing a child's hair","a cartoon of a dad brushing his daughter's hair"
https://storage.googleapis.com/image-transcreation/part2/stories/nakitto_at_school.jpg,"stories","a group of children sitting at desks in a classroom","a bunch of kids sitting at desks in a classroom in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/butandwa_eyakabi.jpg,"stories","a cartoon of a man and a woman on the side of the road","A drawing of a man and a woman on the side of a highway in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/annoying_mosquito.jpg,"stories","a cartoon illustration of a child sleeping in a bed","A cartoon illustration of a kid sleeping in a bed in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/homes.jpg,"stories","a drawing of two men standing in front of a hut","a picture of two men standing in front of a cabin in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/my_very_own_scooter.jpg,"stories","a cartoon of a boy with glasses looking at a piece of paper","a drawing of a young boy wearing glasses, studying a sheet of paper"
https://storage.googleapis.com/image-transcreation/part2/stories/who_colored_the_clouds.jpg,"stories","a cartoon illustration of a squirrel flying a kite","A cartoon illustration of a chipmunk flying a kite in a park in the United States"
https://storage.googleapis.com/image-transcreation/part2/stories/i_feel.jpg,"stories","a cartoon of a black woman with dreadlocks","a cartoon of an African American woman with braided hair"
