src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute in Portugal","Maneio APCVC 2º classificado"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart showing the number of pastéis de nata sold each day","mercado-serralves"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a group of symbols consisting of a teapot, a kettle, a pot, and a pastry","'Iron Cast Teapot Red ''Changbai Velvet'' - 700ml'"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-belong-1.png,"a set of food and drink icons on a white background","a set of Portuguese pastries and beverages on a white background","relogio barrenta voz do domingo"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, handball, volleyball and futsal in Portugal","Juniores C Femininas - Portugal : Madrid - Torneio de Madrid"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of pastéis de nata (Portuguese custard tarts)","Capa: Frederico Lopes; Paulo Cunha e Manuela Penafria (Eds.) (2016) 8th Conferences about Cinema in Portuguese. Communication  +  Philosophy  +  Humanities. ."
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","a pair of Christmas trees with green and round ornaments on them","CHRISTMAS TREE 20CM FULL COLOR PRINT 2 SIDES"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of pastéis de nata","Maneio APCVC 2º classificado"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of cherries on it","Camisetas Dia do Pi da torta de Apple"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/portugal/education_k5-analyse-6.png,"a venn diagram of round objects and green objects","a venn diagram of round objects and red objects in Portugal","Projetos Internacionais (19 ABR 2021Porto Youth Work Webinars)"
