src_image_path,src_country,caption,llm_edit
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_arara.jpg,"brazil","a blue and yellow parrot sitting on a branch","a blue and yellow macaw perched on a tree branch in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_green-headed-tanager.jpg,"brazil","a colorful bird is perched on a tree branch","a vibrant bird is sitting on a branch of a tree"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_tucano.jpg,"brazil","a toucan is perched on a branch in a zoo","A toucan is sitting on a tree branch in a zoo in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_sabiá-laranjeira.jpg,"brazil","a small bird is standing on a piece of wood","a little bird is perched on a piece of timber in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/bird_great-kiskadee.jpg,"brazil","a small yellow and gray bird sitting on a branch","a small yellow and gray bird perched on a branch in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_jaguar.jpg,"brazil","a jaguar walking on the side of a road","a jaguar walking on the side of a street in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_muriqui.jpg,"brazil","a monkey is hanging from a tree branch","a macaque is swinging from a branch of a tree in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_capybara.jpg,"brazil","a brown capybara sitting on the ground next to a tree","a brown capybara sitting on the ground next to a tree in the Portuguese countryside"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_giant-anteater.jpg,"brazil","a large anteater walking on the ground in a zoo","a big anteater strolling on the ground in a zoo in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/mammal_maned-wolf.jpg,"brazil","a spotted hyena walking across a grassy area","a spotted hyena walking through a green meadow in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_churrasco.jpg,"brazil","a person grilling meat on skewers over an open fire","a person cooking sardines on a charcoal grill"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_brigadeiro.jpg,"brazil","a close up of a chocolate cupcake with sprinkles","a close up of a chocolate pastel de nata with powdered sugar"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_pão-de-queijo.jpg,"brazil","a wicker basket filled with doughnuts on a table","a basket made of wicker filled with Portuguese custard tarts on a table"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_coxinha.jpg,"brazil","three fried doughnuts sitting on a pink polka dot cloth","three Portuguese pastéis de nata on a colorful azulejo patterned cloth"
https://storage.googleapis.com/image-transcreation/part1/brazil/food_feijoada.jpg,"brazil","a person holding a red and white plate with food on it","a person holding a plate of traditional Portuguese cuisine, featuring red and white dishes"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_mate.jpg,"brazil","a wooden cup filled with green powder on a white background","a wooden cup filled with green powder, a traditional Portuguese drink, on a white background"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_coconut-water.jpg,"brazil","a person holding a green coconut with a straw in it","a person holding a traditional Portuguese drink, a glass of ginjinha with a cherry in it"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_cachaça.jpg,"brazil","a group of liquor bottles sitting on a shelf","a row of wine bottles displayed on a shelf in a Portuguese tavern"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_sugarcane-juice.jpg,"brazil","a glass of orange juice sitting on a table","a glass of freshly squeezed orange juice on a table in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/beverages_caipirinha.jpg,"brazil","a glass filled with a drink and a slice of lime","a glass filled with a refreshing drink and a slice of lemon"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_havaianas.jpg,"brazil","a pair of flip flops with colorful designs on them","a pair of colorful flip flops with traditional Portuguese patterns on them"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_sleeveless-shirt.jpg,"brazil","a woman in jeans and a red top walking down the street","a woman wearing jeans and a red top strolling down the street in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_shorts.jpg,"brazil","a man helping a woman lift a barbell","a man assisting a woman in lifting a barbell in a gym in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_flip-flops.jpg,"brazil","a pair of black and white flip flops on the ground","a pair of black and white flip flops on the floor in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/clothing_bikini.jpg,"brazil","two women in bikinis walking on a walkway near a pool","two women in bikinis strolling along a promenade near a swimming pool in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_casas-bahia.jpg,"brazil","a group of people standing in front of a store","a group of people standing in front of a loja"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_palafita.jpg,"brazil","a group of colorful houses on stilts in the water","a cluster of vibrant houses on stilts in the sea"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_sobrado.jpg,"brazil","a person walking across the street in front of a building","a person strolling down the rua in front of a edifício"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_favela.jpg,"brazil","an aerial view of a densely populated city","a panoramic view of a bustling metropolis"
https://storage.googleapis.com/image-transcreation/part1/brazil/houses_colonial-architecture-of-brazil.jpg,"brazil","a white building with blue and yellow balconies","a white building with blue and green balconies in the traditional Portuguese style"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_jacaranda.jpg,"brazil","a bunch of purple flowers hanging from a tree","a cluster of purple flowers dangling from a tree in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_heliconia.jpg,"brazil","a bunch of red and yellow flowers hanging from a wall","a cluster of red and yellow flowers cascading from a wall in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_cattleya.jpg,"brazil","two purple flowers with yellow centers are blooming","Two purple flowers with yellow centers are blooming in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_bromelia.jpg,"brazil","a potted plant with red and black stems","a potted plant with red and green stems"
https://storage.googleapis.com/image-transcreation/part1/brazil/flower_handroanthus.jpg,"brazil","a tree with yellow flowers in the middle of a park","a tree with yellow flowers in the middle of a garden"
https://storage.googleapis.com/image-transcreation/part1/brazil/fruit_pineapple.jpg,"brazil","a bunch of pineapples are sitting on a table","a pile of ananas is resting on a mesa"
https://storage.googleapis.com/image-transcreation/part1/brazil/fruit_mango.jpg,"brazil","a white bowl filled with mangoes on a wooden table","a white bowl filled with mangoes on a wooden table, a typical sight in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/fruit_guava.jpg,"brazil","a bunch of green guavas are sitting in a bowl","a bowl filled with ripe green guavas is sitting on the table"
https://storage.googleapis.com/image-transcreation/part1/brazil/fruit_papaya.jpg,"brazil","a papaya cut in half on a white surface","a half-cut papaya on a white table in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/fruit_jabuticaba.jpg,"brazil","blackberries growing on a tree in the forest","blackberries growing on a tree in the Portuguese forest"
https://storage.googleapis.com/image-transcreation/part1/brazil/vegetable_pumpkin.jpg,"brazil","a pile of squash and pumpkins on the ground","a heap of courgettes and pumpkins on the ground"
https://storage.googleapis.com/image-transcreation/part1/brazil/vegetable_potato.jpg,"brazil","a large pile of potatoes in a box","a big stack of potatoes in a crate"
https://storage.googleapis.com/image-transcreation/part1/brazil/vegetable_cassava.jpg,"brazil","a basket filled with a bunch of root vegetables","a basket filled with a variety of traditional Portuguese root vegetables"
https://storage.googleapis.com/image-transcreation/part1/brazil/vegetable_yam.jpg,"brazil","a pile of potatoes with blue markings on them","a heap of potatoes with blue markings on them"
https://storage.googleapis.com/image-transcreation/part1/brazil/vegetable_okra.jpg,"brazil","a pile of green okra that has been cut into pieces","a stack of green okra that has been sliced"
https://storage.googleapis.com/image-transcreation/part1/brazil/agriculture_soybean.jpg,"brazil","a basket full of soy beans sitting on a table","a basket full of bacalhau sitting on a table"
https://storage.googleapis.com/image-transcreation/part1/brazil/agriculture_coffee.jpg,"brazil","a close up of a pile of coffee beans","a close up of a pile of Portuguese coffee beans"
https://storage.googleapis.com/image-transcreation/part1/brazil/agriculture_maize.jpg,"brazil","a corn plant that is growing in a field","a maize plant that is thriving in a field in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/agriculture_livestock.jpg,"brazil","a herd of cows standing in a dry field","a flock of cows grazing in a parched pasture in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/agriculture_sugarcane.jpg,"brazil","a bunch of bamboo sticks sitting in a box","a pile of cork coasters resting in a basket"
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_wooden-spoon.jpg,"brazil","a wooden spoon next to a measuring tape","a wooden spoon beside a measuring tape in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_barbecue-grill.jpg,"brazil","a brick oven in a room with a tile floor","a clay oven in a room with a tiled floor in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_mortar-and-pestle.jpg,"brazil","a white mortar and pestle sitting on a wooden table","a traditional Portuguese white mortar and pestle resting on a rustic wooden table"
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_pressure-cooking.jpg,"brazil","a pot sitting on top of a gas stove","a cauldron placed on a gas range"
https://storage.googleapis.com/image-transcreation/part1/brazil/utensil_squeegee.jpg,"brazil","a blue plastic handle on a gray surface","a blue plastic handle on a grey surface in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/sport_volleyball.jpg,"brazil","a group of women playing volleyball on a court","a group of women playing volleyball on a court in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/sport_futsal.jpg,"brazil","a group of men playing soccer on a blue court","a group of men playing football on a blue pitch in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/sport_association-football.jpg,"brazil","a soccer player kicking a soccer ball on a field","a footballer kicking a football on a pitch in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/sport_brazilian-jiu-jitsu.jpg,"brazil","two men in a jiu jitsu competition","two men competing in a jiu-jitsu tournament in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/sport_capoeira.jpg,"brazil","a group of people standing in a grassy area","a group of people standing in a green field in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/celebrations_festa-junina.jpg,"brazil","a group of people are dancing in a room","a group of people are dancing in a traditional Portuguese dance hall"
https://storage.googleapis.com/image-transcreation/part1/brazil/celebrations_brazilian-carnival.jpg,"brazil","a large crowd of people watching a float in a parade","a big crowd of people watching a float in a carnival procession"
https://storage.googleapis.com/image-transcreation/part1/brazil/celebrations_congada.jpg,"brazil","a group of people dressed in colorful outfits walking down a street","a group of people wearing vibrant costumes parading down a bustling street in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/celebrations_independence-day.jpg,"brazil","a group of people riding horses down a street","a group of people riding horses down a street in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/celebrations_new-years-eve.jpg,"brazil","a fireworks display in the night sky over a town","a display of fireworks in the night sky above a city"
https://storage.googleapis.com/image-transcreation/part1/brazil/education_whiteboard.jpg,"brazil","a woman writing on a white board with a marker","a woman writing on a whiteboard with a marker in a classroom in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/education_federal-university-of-rio-de-janeiro.jpg,"brazil","a large building with palm trees in front of it","a grandiose building with palm trees lining the entrance"
https://storage.googleapis.com/image-transcreation/part1/brazil/education_national-high-school-exam.jpg,"brazil","a group of students sitting at desks and writing","a group of students sitting at desks and writing in a Portuguese classroom"
https://storage.googleapis.com/image-transcreation/part1/brazil/education_kwl-table.jpg,"brazil","a kwl chart with the words know, wonder, learned","a kwl chart with the words saber, perguntar, aprendido"
https://storage.googleapis.com/image-transcreation/part1/brazil/education_escola.jpg,"brazil","a group of students walking in front of a school building","a group of students walking in front of a Portuguese school building"
https://storage.googleapis.com/image-transcreation/part1/brazil/music_música-popular-brasileira.jpg,"brazil","a group of men on stage with guitars and microphones","a band of men on stage with guitars and microphones in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/music_frevo.jpg,"brazil","a group of women holding colorful umbrellas in front of a church","a group of women holding vibrant umbrellas in front of a cathedral in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/music_bossa-nova.jpg,"brazil","a group of people playing music on a stage","a group of musicians performing on a stage in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/music_forró.jpg,"brazil","a group of men playing instruments in front of a crowd","a group of men playing traditional Portuguese instruments in front of a cheering audience"
https://storage.googleapis.com/image-transcreation/part1/brazil/music_samba.jpg,"brazil","a group of people dressed in colorful costumes","a group of people dressed in vibrant traditional attire"
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_graffiti.jpg,"brazil","a graffiti covered building next to a train track","a building covered in street art next to a railway line in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_modernism-in-brazil.jpg,"brazil","a black and white photo of a group of men sitting on steps","a monochrome photograph of a group of men sitting on stairs in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_tropicália.jpg,"brazil","philips cd cover for tropicalia","Philips CD cover for Tropicália in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_barroco-no-brasil.jpg,"brazil","an ornate church with two towers and a green door","a grandiose church with two towers and a verdant door in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/visual-arts_brazilian-street-art.jpg,"brazil","a large mural on the side of a building","a huge mural on the side of a building in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/religion_catholic-church.jpg,"brazil","a group of people walking in front of a cathedral","a group of people strolling in front of a cathedral in Lisbon"
https://storage.googleapis.com/image-transcreation/part1/brazil/religion_candomblé.jpg,"brazil","a group of people dressed in fancy dresses and hats","a group of people dressed in elegant dresses and hats, a common sight in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/religion_protestantism-in-brazil.jpg,"brazil","an aerial view of a church with people sitting in pews","a bird's eye view of a cathedral with worshippers sitting in pews"
https://storage.googleapis.com/image-transcreation/part1/brazil/religion_kardecist-spiritism.jpg,"brazil","a black and white photo of a man in a suit","a black and white photo of a man wearing a suit in Portugal"
https://storage.googleapis.com/image-transcreation/part1/brazil/religion_umbanda.jpg,"brazil","a group of people standing in front of a shrine","a group of people gathered in front of a chapel"
https://storage.googleapis.com/image-transcreation/part1/india/bird_House-sparrow.jpg,"india","a small bird sitting on top of a wooden pole","a little bird perched on the top of a wooden post in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-peafowl.jpg,"india","a peacock is sitting on a branch in the woods","a peacock is perched on a tree branch in the forest in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Rose-ringed-parakeet.jpg,"india","a green parrot is sitting on a wire","a green parrot is perched on a power line in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Indian-roller.jpg,"india","a bird is sitting on top of a tree branch","a bird is perched on the top of a tree branch in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/bird_Common-myna.jpg,"india","a small bird is sitting on top of a wall","a little bird is perched on the top of a wall in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_bengal-tiger.jpg,"india","a tiger resting on some rocks by a body of water","a lion resting on some cliffs by a river"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_deer.jpg,"india","a deer standing in the middle of a field","a stag standing in the middle of a meadow in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_rhinoceros.jpg,"india","a rhino standing in a field of green grass","a rhino standing in a field of green grass in the Portuguese countryside"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_langur-monkey.jpg,"india","a monkey sitting on the ground next to a wall","a monkey sitting on the ground next to a wall in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/mammal_elephant.jpg,"india","an elephant walking through a field of trees","an elephant strolling through a forest of trees in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/food_Samosa.jpg,"india","two pieces of food on a leaf on a table","two dishes of food on a leaf on a table in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/food_Chicken-tikka-masala.jpg,"india","two bowls of food on a table with spoons and forks","two plates of Portuguese cuisine on a table with cutlery"
https://storage.googleapis.com/image-transcreation/part1/india/food_Dosa.jpg,"india","a black plate with a long dosa on it","a black plate with a traditional Portuguese francesinha on it"
https://storage.googleapis.com/image-transcreation/part1/india/food_Tandoori-chicken.jpg,"india","a yellow plate with food on it and a spoon","a yellow plate with Portuguese cuisine and a spoon"
https://storage.googleapis.com/image-transcreation/part1/india/food_Biryani.jpg,"india","a plate of food on a table with condiments","a dish of Portuguese cuisine on a table with traditional seasonings"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_nimbu-paani.jpg,"india","three glasses filled with lemonade and garnished with a slice of lime","three glasses filled with sangria and garnished with a slice of orange"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_lassi.jpg,"india","a cup of coffee sitting on a red table","a cup of coffee on a table with a red tablecloth in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_filter-coffee.jpg,"india","a cup of coffee sitting on top of a table","a cup of Portuguese coffee resting on a table"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_kingfisher-beer.jpg,"india","a bottle of beer sits on a table next to a glass","A bottle of Super Bock sits on a table next to a glass of vinho verde"
https://storage.googleapis.com/image-transcreation/part1/india/beverages_chai.jpg,"india","three cups of coffee sitting on a table","three cups of Portuguese coffee sitting on a table"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Kurta.jpg,"india","a woman wearing a white dress and pink leggings","a woman wearing a traditional white dress and colorful leggings, a popular fashion choice in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Churidar.jpg,"india","a woman in a blue dress posing for a picture","a woman wearing a traditional Portuguese dress posing for a photo"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Sari.jpg,"india","a woman in a green sari standing in a field","a woman wearing a traditional Portuguese dress standing in a lush green countryside"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Shalwar-kameez.jpg,"india","a man wearing a blue shirt and brown pants","a man wearing a blue shirt and brown trousers in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/clothing_Lehenga.jpg,"india","an indian woman wearing a green and pink lehenga","a Portuguese woman wearing a green and pink traditional dress"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Bungalow.jpg,"india","a large white house lit up at night","a big white house illuminated at night in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Mosque.jpg,"india","a group of people standing in front of a large building","a group of people gathered in front of a grandiose structure in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Hut.jpg,"india","a small hut with a tin roof in a wooded area","a quaint cabin with a metal roof in a forested region"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Temple.jpg,"india","a large golden building in the middle of a body of water","a grand golden palace situated in the heart of a body of water"
https://storage.googleapis.com/image-transcreation/part1/india/houses_Villa.jpg,"india","a large white and blue house in the middle of a lush green lawn","a spacious white and blue villa in the heart of a verdant garden"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Marigold.jpg,"india","a yellow flower growing in the dirt next to a log","a yellow flower blooming in the soil next to a tree trunk in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Jasmine.jpg,"india","two women wearing saris with flowers in their hair","two women wearing traditional Portuguese dresses with colorful ribbons in their hair"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Hibiscus.jpg,"india","a yellow flower with a red center on a branch","a yellow flower with a red center on a branch, a common sight in the gardens of Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Indian-Lotus.jpg,"india","a close up of a pink lotus flower","a close up of a pink rose"
https://storage.googleapis.com/image-transcreation/part1/india/flower_Rose.jpg,"india","a red rose with green leaves in front of a wall","a red rose with green leaves in front of a traditional Portuguese tile wall"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Lychee.jpg,"india","a pile of red fruit sitting on a white surface","a stack of red fruits resting on a white table"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Chikoo.jpg,"india","a piece of fruit that has been cut in half","a half of a fruit that has been sliced"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Mango.jpg,"india","a bunch of yellow mangoes in a crate","a crate full of ripe yellow mangoes"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Guava.jpg,"india","a bunch of green guavas sitting on top of each other","a pile of green guavas stacked on top of each other in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/fruit_Papaya.jpg,"india","a half of a papaya sitting next to a glass of juice","half a papaya next to a glass of juice, a typical Portuguese breakfast"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Spinach.jpg,"india","a bunch of greens with roots sitting on a table","a pile of vegetables with roots on display on a table in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Cabbage.jpg,"india","a large pile of cabbage sitting on a table","a big heap of couve sitting on a mesa"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Eggplant.jpg,"india","a bunch of purple eggplants are piled on top of each other","A stack of purple eggplants are stacked on top of each other in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Okra.jpg,"india","a bunch of green okra sitting in a bowl","a bowl of fresh green okra, a staple in Portuguese cuisine"
https://storage.googleapis.com/image-transcreation/part1/india/vegetable_Cauliflower.jpg,"india","a bunch of cauliflower sitting on a table","a pile of couve-flor sitting on a mesa"
https://storage.googleapis.com/image-transcreation/part1/india/agriculture_wheat-farming.jpg,"india","a man is standing in a field of wheat","a man is standing in a field of wheat, a common sight in the rural landscapes of Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/agriculture_rice-cultivation.jpg,"india","a woman is planting rice in a field","A woman is sowing rice in a paddy field in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/agriculture_tea-plantations.jpg,"india","a path through a tea plantation in sri lanka","a trail through a tea plantation in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/agriculture_dairy-farming.jpg,"india","a group of cows in a barn being milked","a herd of cows in a barn being milked in a traditional Portuguese way"
https://storage.googleapis.com/image-transcreation/part1/india/agriculture_cotton-production.jpg,"india","a large field of cotton is shown in this picture","a vast field of cotton is depicted in this image in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Rolling-pin.jpg,"india","a wooden rolling pin on a white surface","a wooden rolling pin on a clean white table in a Portuguese kitchen"
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Skimmer.jpg,"india","a metal spatula sitting on a blue cloth","a metal spatula resting on a blue cloth in a Portuguese kitchen"
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Pressure-Cooker.jpg,"india","a silver pot sitting on top of a stove","a silver pot sitting on top of a cooker in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Tava.jpg,"india","a frying pan sitting on top of a wooden table","a frying pan placed on a rustic wooden table in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/utensil_Karahi.jpg,"india","a large pot sitting on top of a stove","a big pot resting on a cooker"
https://storage.googleapis.com/image-transcreation/part1/india/sport_badminton.jpg,"india","a man playing badminton on a tennis court","a man playing badminton on a tennis court in Portugal"
https://storage.googleapis.com/image-transcreation/part1/india/sport_chess.jpg,"india","a black and white chess board on a table","a black and white chess board on a table in a traditional Portuguese cafe"
https://storage.googleapis.com/image-transcreation/part1/india/sport_kabaddi.jpg,"india","a group of men playing a game on a blue court","a group of men playing a game on a blue pitch in Portugal"
