Key,cap-edit,cap-retrieve,e2e-instruct
india_beverages_filter-coffee,3,5,2
united-states_food_fried-chicken,1,5,2
japan_celebrations_tanabata,2,1,5
india_beverages_chai,1,2,5
united-states_sport_basketball,5,3,1
nigeria_music_traditional-flute-player,3,1,5
brazil_food_feijoada,1,5,2
portugal_education_cartilha-maternal,3,5,1
portugal_vegetable_beterraba,3,5,2
japan_beverages_yakult,5,2,3
japan_bird_japanese-bush-warbler,2,5,3
portugal_music_cavaquinho,2,4,5
united-states_music_country,5,4,1
brazil_fruit_guava,1,2,5
japan_beverages_nihonshu,1,5,2
india_sport_badminton,5,1,3
united-states_clothing_down-jacket,3,4,5
united-states_flower_rose,5,3,2
japan_education_vocational-school,3,1,5
india_religion_Hinduism,3,1,5
portugal_houses_casas-típicas-de-santana,5,1,3
brazil_vegetable_yam,2,5,1
united-states_food_hamburger,4,2,5
india_music_harmonium,5,4,1
united-states_utensil_fork,2,5,1
united-states_visual-arts_street-art,1,2,5
brazil_music_forró,2,1,5
brazil_agriculture_coffee,1,2,5
india_beverages_kingfisher-beer,1,5,2
brazil_fruit_papaya,5,2,1
nigeria_houses_aso-villa,1,2,5
united-states_celebrations_christmas,2,5,1
portugal_houses_aldeias-do-xisto,2,5,5
brazil_clothing_bikini,3,1,5
nigeria_music_talking-drum,3,1,5
japan_visual-arts_shodō,5,2,1
japan_agriculture_稲作,1,5,3
united-states_celebrations_halloween,5,3,2
brazil_houses_sobrado,1,2,5
japan_sport_judo,2,5,1
india_education_gurukula,1,3,5
united-states_utensil_tongs,5,2,4
brazil_sport_futsal,5,3,1
brazil_utensil_squeegee,5,5,1
nigeria_mammal_bat,2,4,5
portugal_sport_tennis,5,4,1
japan_visual-arts_manga,4,5,4
india_houses_Temple,5,3,1
united-states_clothing_jeans,2,5,3
united-states_bird_mourning-dove,5,3,3
india_beverages_nimbu-paani,5,1,2
united-states_fruit_blueberry,5,3,2
nigeria_religion_baháʼí-faith-in-nigeria,5,2,1
india_education_Vedas,1,3,5
brazil_religion_umbanda,1,4,1
portugal_vegetable_potato,1,5,3
portugal_beverages_port-wine,2,5,1
brazil_beverages_mate,5,4,4
nigeria_fruit_pineapple,5,2,1
portugal_religion_judaísmo,1,5,3
india_vegetable_Spinach,5,1,4
japan_vegetable_wasabi,3,1,5
portugal_music_fado-de-lisboa,5,1,2
portugal_religion_orthodoxy,5,2,3
united-states_utensil_spatula,4,1,5
japan_music_visual-kei,4,1,5
nigeria_mammal_african-forest-elephant,5,4,1
nigeria_clothing_wrapper,5,1,4
japan_beverages_matcha,2,5,1
japan_mammal_yezo-sika-deer,1,2,5
brazil_sport_association-football,2,5,2
japan_utensil_chasen,2,5,2
nigeria_visual-arts_glass-art,2,5,1
india_mammal_elephant,1,2,5
united-states_visual-arts_mural-painting,5,4,4
japan_beverages_barley-tea,2,5,2
brazil_vegetable_potato,5,2,1
japan_education_kyūshoku,4,5,1
japan_vegetable_daikon,1,3,5
brazil_flower_bromelia,5,4,5
nigeria_food_akara,2,1,5
india_flower_Hibiscus,3,2,5
nigeria_bird_duck,4,5,4
india_utensil_Skimmer,3,1,5
brazil_music_samba,1,4,5
brazil_vegetable_okra,2,5,1
japan_clothing_tabi,2,1,5
japan_visual-arts_ukiyo-e,1,4,5
brazil_religion_catholic-church,3,5,1
portugal_flower_dianthus-caryophyllus,3,5,5
japan_sport_karate,1,3,5
japan_flower_hydrangea-macrophylla,2,5,4
india_food_Samosa,2,2,5
japan_celebrations_oshōgatsu,5,1,4
india_mammal_langur-monkey,5,2,1
brazil_mammal_jaguar,2,1,5
nigeria_music_jazz,5,1,4
nigeria_education_computer-classes,4,5,1
brazil_religion_protestantism-in-brazil,4,5,1
portugal_houses_palácio-de-cristal,3,4,5
japan_food_miso-soup,2,5,2
nigeria_mammal_greater-cane-rat,1,4,5
india_flower_Jasmine,1,3,5
united-states_clothing_suit,5,1,3
united-states_agriculture_dairy-farming,5,2,4
brazil_education_whiteboard,2,1,5
japan_vegetable_renkon,5,5,1
japan_music_gagaku,1,5,3
japan_utensil_donabe,2,5,1
portugal_mammal_red-squirrel,2,5,1
united-states_mammal_american-black-bear,5,1,2
india_bird_House-sparrow,2,5,1
brazil_utensil_mortar-and-pestle,5,2,1
nigeria_visual-arts_pottery,4,1,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,2,1,5
united-states_vegetable_kale,5,3,5
japan_bird_kounotori,2,5,1
nigeria_clothing_boubou,4,5,2
brazil_utensil_wooden-spoon,3,5,2
