Key,e2e-instruct,cap-retrieve,cap-edit
india_beverages_kingfisher-beer,1,5,3
nigeria_celebrations_durbar-festival,2,1,5
portugal_houses_aldeias-do-xisto,2,4,5
nigeria_education_computer-classes,3,1,5
united-states_celebrations_christmas,1,2,5
nigeria_food_egusi-soup-and-poundo,3,5,1
brazil_food_feijoada,1,5,3
turkey_education_boğaziçi-university,5,1,5
united-states_utensil_spoon,2,5,1
nigeria_beverages_zobo,1,5,3
india_houses_Temple,5,5,5
nigeria_bird_guineafowl,1,5,4
turkey_fruit_plum,3,1,5
brazil_fruit_guava,1,2,5
portugal_vegetable_lettuce,5,5,2
india_beverages_filter-coffee,4,5,1
united-states_mammal_cougar,1,5,5
united-states_utensil_tongs,4,5,3
nigeria_music_afrobeat,1,5,5
united-states_religion_mainline-protestant,5,1,3
united-states_clothing_cowboy-hat,5,3,2
brazil_vegetable_yam,2,5,5
portugal_vegetable_zucchini,2,5,5
portugal_visual-arts_filigree,1,5,4
nigeria_visual-arts_glass-art,5,3,2
turkey_food_i̇çli-pide,2,5,5
brazil_music_forró,3,2,5
brazil_agriculture_coffee,1,2,5
india_beverages_chai,1,3,5
brazil_fruit_papaya,5,2,4
portugal_houses_casas-típicas-de-santana,4,5,4
portugal_bird_rock-dove,5,1,2
turkey_houses_villa,5,5,5
brazil_clothing_bikini,2,3,5
nigeria_houses_igbo-architecture,2,3,5
united-states_flower_lilium,1,3,5
united-states_beverages_beer,3,5,1
united-states_education_kahoot,3,5,2
brazil_houses_sobrado,5,5,5
portugal_mammal_porco,2,3,5
nigeria_bird_duck,5,2,3
turkey_food_kebab,1,4,5
united-states_celebrations_thanksgiving,5,1,5
brazil_utensil_squeegee,1,5,4
turkey_flower_rose,2,1,5
portugal_music_fado-de-lisboa,2,1,5
india_sport_badminton,5,1,3
united-states_houses_townhouse,1,5,4
united-states_clothing_down-jacket,5,3,3
united-states_bird_american-crow,5,2,1
portugal_sport_canoeing,1,2,5
turkey_vegetable_cucumber,1,5,2
turkey_education_quran-course,1,5,3
india_education_Vedas,1,4,5
brazil_religion_umbanda,5,2,1
united-states_bird_blue-jay,5,2,1
portugal_fruit_apple,5,3,3
brazil_beverages_mate,5,4,3
india_vegetable_Spinach,5,1,4
united-states_bird_bald-eagle,5,1,3
portugal_clothing_traje-campino-ribatejano,3,5,1
nigeria_sport_basketball,3,5,1
turkey_visual-arts_paper-marbling,3,1,5
india_education_gurukula,2,3,5
turkey_visual-arts_calligraphy,5,2,1
portugal_food_cozido-à-portuguesa,5,2,1
portugal_fruit_orange,5,1,3
india_beverages_nimbu-paani,5,1,2
nigeria_clothing_wrapper,5,2,3
portugal_education_blackboard,5,1,2
brazil_sport_association-football,3,5,1
united-states_religion_evangelicalism,5,5,2
turkey_visual-arts_ottoman-miniature,5,5,2
india_mammal_elephant,2,2,5
united-states_food_hotdog,3,5,3
nigeria_food_pounded-yam,2,1,5
brazil_vegetable_potato,5,1,1
nigeria_music_traditional-flute-player,1,5,4
turkey_food_baklava,5,2,2
brazil_flower_bromelia,2,5,5
portugal_vegetable_beterraba,3,5,1
nigeria_visual-arts_bronze-work,5,5,5
nigeria_vegetable_garden-egg,5,3,5
nigeria_education_igbo-apprentice-system,1,1,5
brazil_music_samba,1,3,5
brazil_vegetable_okra,3,5,2
nigeria_bird_owl,1,5,2
portugal_vegetable_pumpkin,2,5,1
turkey_celebrations_eid-al-adha,3,2,5
portugal_visual-arts_escultura,2,1,5
nigeria_utensil_meat-grinder,2,5,5
turkey_religion_deism,5,2,5
india_food_Samosa,1,3,5
turkey_utensil_hammer,3,5,3
india_mammal_langur-monkey,5,3,2
brazil_mammal_jaguar,2,2,5
portugal_religion_nossa-senhora-de-fatima,5,3,2
india_flower_Jasmine,3,3,5
portugal_clothing_capote-alentejano,3,5,3
brazil_religion_protestantism-in-brazil,5,5,3
portugal_agriculture_cork-oak-plantations,2,2,5
nigeria_beverages_roselle-juice,5,3,1
united-states_flower_common-sunflower,4,5,2
india_flower_Hibiscus,2,3,5
india_utensil_Skimmer,1,2,5
portugal_clothing_ribeira,5,1,2
brazil_education_whiteboard,2,3,5
portugal_beverages_espresso,5,2,1
india_visual-arts_Pattachitra,1,3,5
india_education_Central-Board-of-Secondary-Education,1,2,5
turkey_vegetable_eggplant,5,5,2
turkey_bird_crow,5,1,2
india_bird_House-sparrow,1,5,2
brazil_utensil_mortar-and-pestle,5,2,1
portugal_mammal_red-squirrel,5,2,1
nigeria_celebrations_ofala-festival,2,1,5
united-states_houses_ranch-style-house,5,5,5
portugal_music_cante-alentejano,4,3,5
nigeria_mammal_african-forest-elephant,1,2,5
brazil_utensil_wooden-spoon,4,5,4
united-states_food_french-fries,5,2,3
nigeria_music_cultural-dance-troupe,2,5,5
united-states_sport_volleyball,1,2,5
india_fruit_Mango,2,1,5
india_clothing_Shalwar-kameez,1,5,3
nigeria_education_university-of-abuja,3,5,1
nigeria_vegetable_cabbage,2,1,5
turkey_religion_alevism,2,5,1
turkey_clothing_kaftan,5,2,4
turkey_music_qanun,1,2,5
brazil_houses_favela,3,5,5
united-states_beverages_sweet-tea,5,2,1
portugal_agriculture_floricultura,2,3,5
nigeria_utensil_cutting-board,2,5,1
portugal_music_kizomba,5,3,1
india_bird_Indian-roller,2,5,1
turkey_mammal_kangal-shepherd-dog,2,5,2
turkey_beverages_rakı,3,5,1
turkey_education_cram-school,3,5,3
united-states_celebrations_halloween,1,5,5
turkey_houses_mosque,4,5,5
india_music_harmonium,5,2,1
turkey_music_anatolian-rock,1,5,4
india_visual-arts_Kalamkari,4,5,1
nigeria_education_university-of-port-harcourt,2,1,5
nigeria_agriculture_poultry-farming,1,2,5
portugal_bird_common-blackbird,3,3,1
india_celebrations_Vijayadashami,1,5,3
turkey_utensil_cezve,1,3,5
united-states_visual-arts_pop-art,5,3,4
united-states_fruit_orange,2,1,5
nigeria_vegetable_okra,1,5,3
india_food_Biryani,5,1,3
india_religion_Hinduism,2,1,5
nigeria_vegetable_ewedu,5,2,1
united-states_visual-arts_art-of-the-american-southwest,4,5,1
brazil_utensil_barbecue-grill,1,2,5
turkey_music_baglama,1,5,3
brazil_bird_tucano,1,2,5
turkey_clothing_fez,5,2,4
portugal_music_pimba,3,1,5
portugal_flower_dianthus-caryophyllus,5,2,1
united-states_vegetable_broccoli,5,3,4
turkey_beverages_ayran,1,5,3
united-states_mammal_raccoon,3,1,5
india_mammal_deer,5,2,1
united-states_vegetable_brussels-sprout,5,2,1
portugal_food_pastel-de-nata,1,4,5
turkey_celebrations_ramadan,2,5,2
india_beverages_lassi,1,3,5
nigeria_fruit_udala,1,2,5
turkey_bird_gull,2,5,1
brazil_beverages_coconut-water,1,3,5
united-states_agriculture_maize,3,1,5
brazil_vegetable_cassava,5,1,3
nigeria_celebrations_eyo-festival,3,1,5
brazil_houses_casas-bahia,3,5,1
nigeria_utensil_sieve,1,5,4
turkey_music_ottoman-music,5,1,2
brazil_celebrations_festa-junina,3,5,1
india_houses_Villa,2,5,5
nigeria_clothing_isiagu,3,1,5
turkey_mammal_roe-deer,1,5,2
india_clothing_Sari,3,3,5
brazil_agriculture_maize,4,5,5
turkey_flower_hyacinth,1,5,4
united-states_education_state-school,5,1,4
india_celebrations_Ganesh-Chaturthi,5,1,3
brazil_celebrations_independence-day,3,5,1
nigeria_beverages_chapman,1,5,3
nigeria_beverages_kunu,3,5,1
united-states_sport_golf,5,2,4
united-states_beverages_coffee,5,3,1
portugal_mammal_arouquesa-bull,4,2,5
united-states_fruit_blueberry,5,2,1
turkey_clothing_tesettür,2,1,5
portugal_music_cavaquinho,1,5,3
brazil_agriculture_sugarcane,1,3,5
portugal_food_francesinha,2,1,5
turkey_beverages_boza,1,3,5
turkey_agriculture_wheat,1,3,5
nigeria_vegetable_carrot,3,4,5
portugal_food_bacalhau-à-brás,3,2,5
brazil_sport_brazilian-jiu-jitsu,5,1,3
nigeria_clothing_boubou,5,2,2
united-states_flower_rose,1,5,1
nigeria_flower_orchid,1,5,4
india_music_tabla,1,5,1
united-states_houses_prairie-school,2,2,5
india_clothing_Kurta,2,4,5
india_sport_cricket,5,1,2
brazil_mammal_maned-wolf,5,2,2
india_flower_Indian-Lotus,5,4,5
india_mammal_rhinoceros,2,2,5
nigeria_visual-arts_painting,1,2,5
india_sport_hockey,1,2,5
nigeria_agriculture_fish-farming,1,5,4
nigeria_mammal_chimpanzee,5,1,4
portugal_flower_girassol,4,1,2
nigeria_sport_football,1,2,5
brazil_fruit_jabuticaba,5,2,5
portugal_agriculture_salt-pans,4,4,5
turkey_bird_domestic-pigeon,5,1,2
