src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","a math worksheet that asks you to count the number of votes received by bağlama, davul, piyano and ney","Charles Babbage"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart displaying the number of children who chose baklava, künefe, and lokum","International Business: Strategy; Management; and the New Realities Küresel Rekabet Indeksi 2006-2007"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a set of icons including a teapot, a Turkish tea set, a pot, and a rubber duck","-KELİMELER- Honey Bal Strawberry Çilek Tea Çay Olive Yağ Pancake Krep"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of Turkish flags on a red background","Thousands take to streets across Turkey for democracy"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-belong-1.png,"a set of food and drink icons on a white background","a set of Turkish desserts and beverages on a white background","-KELİMELER- Honey Bal Strawberry Çilek Tea Çay Olive Yağ Pancake Krep"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that asks you to count the number of people who played basketball, football, volleyball, tennis and handball in Turkey","Ulusal Coulter Program Neticeleri"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","a math worksheet that asks children to count the number of baklava pieces","1.ELEMENTLER VE SEMBOLLERİ"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","a pair of New Year's trees with decorations on them","Apple Watch Series 5"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of baklava","Charles Babbage"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/turkey/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of Turkish lira coins on it","THE VOWELŞ: The vowels are divided into two groups - front vowels (those formed in the front of the mouth) and back vowels (those formed in the back of the mouth)."
