Key,cap-edit,cap-retrieve,e2e-instruct
united-states_mammal_american-black-bear,5,5,5
portugal_beverages_sagres,1,5,5
portugal_music_cante-alentejano,5,1,5
japan_bird_house-sparrow,5,5,5
united-states_food_hotdog,5,5,5
portugal_houses_palácio-nacional-de-belém,5,5,5
portugal_music_pimba,5,5,1
united-states_clothing_cowboy-hat,5,5,3
nigeria_agriculture_corn-farm,5,5,5
nigeria_sport_volleyball,5,5,5
united-states_beverages_coffee,5,1,5
japan_vegetable_gobo,5,1,5
brazil_music_samba,5,5,1
brazil_sport_volleyball,5,5,5
portugal_houses_palácio-de-cristal,5,5,5
turkey_utensil_hammer,5,1,5
united-states_vegetable_potato,5,5,5
portugal_beverages_poncha,5,3,1
japan_food_ramen,5,5,5
portugal_food_bacalhau-à-brás,5,5,5
nigeria_food_pounded-yam,5,5,5
brazil_houses_favela,5,5,5
japan_mammal_japanese-serow,1,5,5
japan_clothing_tabi,5,5,5
turkey_agriculture_hazelnut-production-in-turkey,5,5,5
turkey_utensil_cezve,5,1,5
japan_food_sushi,5,5,5
united-states_sport_baseball,5,5,5
nigeria_education_university-of-abuja,5,1,5
portugal_visual-arts_bordallo-pinheiro,1,5,5
nigeria_music_cultural-dance-troupe,5,5,5
brazil_fruit_jabuticaba,5,5,5
japan_flower_cherry-blossom,5,5,1
japan_music_idol,5,5,5
nigeria_clothing_agbada,5,5,5
turkey_agriculture_olive,5,5,5
turkey_utensil_drill,5,5,1
portugal_houses_piódão,5,5,5
turkey_flower_rose,5,5,1
united-states_mammal_north-american-beaver,1,5,5
portugal_sport_canoeing,5,5,5
nigeria_bird_eagle,5,5,5
turkey_houses_villa,5,5,5
turkey_beverages_turnip-water,5,5,5
united-states_agriculture_dairy-farming,5,5,5
turkey_religion_islam,5,5,5
brazil_beverages_coconut-water,5,5,5
japan_mammal_japanese-macaque,5,5,5
turkey_music_baglama,5,5,5
brazil_sport_association-football,5,5,5
turkey_celebrations_eid-al-adha,5,1,5
nigeria_visual-arts_painting,5,1,5
united-states_beverages_orange-juice,5,5,5
nigeria_music_talking-drum,5,5,5
japan_music_visual-kei,5,5,1
nigeria_agriculture_cassava,5,5,5
turkey_visual-arts_ottoman-miniature,5,5,5
turkey_food_börek,5,5,5
brazil_fruit_papaya,5,5,5
nigeria_religion_dibia,5,5,5
portugal_education_university-of-coimbra,5,5,5
nigeria_fruit_guava,5,5,5
japan_beverages_yakult,1,5,5
brazil_sport_brazilian-jiu-jitsu,5,5,5
nigeria_sport_boxing,5,1,5
nigeria_food_egusi-soup-and-poundo,5,5,5
japan_bird_kounotori,1,5,5
japan_religion_temizuya,1,5,1
japan_agriculture_dairy,5,5,5
brazil_vegetable_cassava,5,5,5
united-states_visual-arts_pop-art,1,5,5
united-states_vegetable_carrot,1,5,1
brazil_flower_handroanthus,5,5,5
united-states_agriculture_wheat,5,5,5
turkey_mammal_kangal-shepherd-dog,5,5,5
japan_food_mochi,3,3,1
turkey_food_kebab,5,1,5
brazil_visual-arts_graffiti,1,5,5
united-states_religion_mormonism,1,5,5
japan_celebrations_tanabata,1,1,5
united-states_food_hamburger,5,5,5
brazil_religion_candomblé,5,1,1
united-states_fruit_watermelon,5,1,5
united-states_beverages_sweet-tea,5,5,5
portugal_clothing_caretos-de-podence,1,5,5
turkey_beverages_ayran,5,5,1
brazil_religion_kardecist-spiritism,1,1,5
united-states_utensil_tongs,1,5,5
turkey_celebrations_national-sovereignty-and-childrens-day,5,5,5
japan_beverages_barley-tea,5,5,5
portugal_religion_christianity,5,5,5
portugal_food_bifana,5,5,5
portugal_utensil_black-pottery-of-bisalhães,5,5,1
turkey_utensil_peşkir,5,5,5
nigeria_utensil_knife,5,1,5
japan_beverages_nihonshu,5,1,5
portugal_religion_catholic-church,5,5,5
portugal_visual-arts_filigree,5,5,5
japan_utensil_chasen,5,5,5
brazil_utensil_pressure-cooking,1,5,5
brazil_fruit_mango,5,5,5
portugal_agriculture_cork-oak-plantations,5,4,5
united-states_food_french-fries,1,5,5
japan_music_taiko,4,4,4
brazil_utensil_barbecue-grill,4,2,4
japan_religion_soryo,4,4,2
nigeria_vegetable_ewedu,5,4,4
portugal_utensil_chave-inglesa,4,1,4
nigeria_religion_baháʼí-faith-in-nigeria,2,5,5
japan_celebrations_koinobori,1,4,4
turkey_flower_tulip,5,5,5
japan_bird_japanese-bush-warbler,4,1,4
brazil_beverages_mate,4,2,4
united-states_fruit_orange,4,2,4
brazil_houses_casas-bahia,5,5,1
turkey_music_arabesque,3,4,4
portugal_mammal_arouquesa-bull,4,2,4
brazil_agriculture_maize,4,4,4
nigeria_celebrations_independence-day-celebration,4,4,4
nigeria_flower_hibiscus,4,4,4
united-states_houses_apartment,4,4,4
turkey_houses_apartment,4,4,4
brazil_mammal_muriqui,4,4,4
turkey_houses_yalı,4,4,4
portugal_mammal_iberian-lynx,4,4,4
japan_flower_chrysanthemum,4,4,4
portugal_celebrations_festa-dos-tabuleiros,4,1,4
united-states_utensil_spatula,1,4,2
united-states_celebrations_new-years-day,4,4,4
nigeria_vegetable_okra,5,5,4
portugal_celebrations_carnaval-de-torres-vedras,5,4,4
united-states_music_country,4,4,4
nigeria_mammal_bat,2,4,4
united-states_utensil_table-knife,4,4,4
nigeria_beverages_zobo,4,4,4
japan_beverages_calpis,3,4,4
nigeria_sport_basketball,2,4,4
nigeria_clothing_aso-oke,5,3,4
japan_education_kyūshoku,5,5,4
brazil_utensil_mortar-and-pestle,4,4,4
united-states_religion_mainline-protestant,4,4,2
united-states_fruit_apple,5,2,5
turkey_food_simit,5,2,3
portugal_religion_judaísmo,2,2,4
turkey_beverages_turkish-coffee,4,4,4
turkey_sport_tennis,4,4,4
portugal_clothing_traje-campino-ribatejano,2,4,2
japan_mammal_ezo-red-fox,2,4,4
nigeria_agriculture_cocoa,4,4,3
brazil_education_whiteboard,5,5,2
turkey_agriculture_greenhouse,4,2,4
japan_beverages_matcha,4,4,4
nigeria_vegetable_carrot,2,4,3
nigeria_celebrations_durbar-festival,4,4,3
united-states_flower_tulip,4,4,4
brazil_vegetable_yam,3,4,3
nigeria_flower_royal-poinciana,5,5,5
brazil_houses_palafita,4,4,4
nigeria_houses_yoruba-architecture,2,4,4
united-states_education_boarding-school,4,4,4
brazil_celebrations_brazilian-carnival,4,4,4
japan_flower_fuji,1,1,4
nigeria_celebrations_eyo-festival,5,2,5
portugal_agriculture_salt-pans,1,5,5
japan_clothing_yukata,5,5,5
brazil_agriculture_livestock,5,2,5
turkey_clothing_yelek,5,5,5
portugal_agriculture_olive-oil-mills,4,5,5
japan_celebrations_hinamatsuri,4,4,4
brazil_celebrations_new-years-eve,5,2,5
nigeria_visual-arts_igbo-art,5,1,5
united-states_bird_blue-jay,5,2,5
united-states_clothing_down-jacket,4,4,4
turkey_food_baklava,5,5,5
nigeria_utensil_meat-grinder,5,5,2
brazil_utensil_wooden-spoon,1,5,1
portugal_sport_roller-hockey,5,5,5
united-states_bird_bald-eagle,4,4,4
nigeria_celebrations_new-yam-festival,5,5,2
