src_image_path,tgt_image_path,caption,llm_edit,retrieved_caption
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_data-5.png,"a math worksheet that asks you to count the number of votes received by guitar, drums, piano and flute","A math worksheet that requires you to tally the votes received by guitar, drums, piano and flute in Nigeria","Restructuring Nigeria needs diligence and understanding if…"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-9.png,"a chart showing the number of pizzas sold each day","a chart displaying the number of jollof rice plates sold each day","RCCGD 2021 FASTING AND PRAYER"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort-1.png,"a set of icons including a teapot, a kettle, a pot, and a duck","a collection of symbols featuring a traditional Nigerian teapot, a clay pot, a metal kettle, and a wooden duck","CLICK HERE TO DOWNLOAD THE NATIONAL HEALTH ACT"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-6.png,"a set of christmas trees on a white background","a group of palm trees on a green background","Singapore-Gardens-By-The-Bay-39527"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-1.png,"a set of food and drink icons on a white background","a collection of Nigerian food and drink symbols on a blank canvas","Kano State Commences CBN/KNSG Rice Anchor Borrowers Program"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-7.png,"a math worksheet that asks you to count the number of people who played basketball, soccer, baseball, tennis and football","a math worksheet that requires you to tally the number of individuals who participated in basketball, football, tennis, soccer, and baseball games in Nigeria","FIBA World Cup: D'Tigers Defeats China To Book A Spot In  Tokyo 2020 Olympics"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-6.png,"a math worksheet that asks children to count the number of cupcakes","a math worksheet that challenges children to count the number of small chops","Bigjay – Small Chops"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-7.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-7.png,"a pair of christmas trees with ornaments on them","a pair of Nigerian Christmas trees adorned with green and round ornaments","Christmas Greetings; Messages and Wishes for Sister"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-1.png,"a math worksheet with pictures of gummy bears","a math worksheet with pictures of puff puff (a popular Nigerian snack)","Lucy selling plantain and fish"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-9.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-9.png,"a math worksheet that has a number of coins on it","a math worksheet that has a number of Naira coins on it","How to Use QuickBooks POS to Track Inventory Expiration"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-6.png,"a venn diagram of round objects and green objects","a venn diagram of Nigerian dishes and traditional dishes","Restructuring Nigeria needs diligence and understanding if…"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-1.png,"a chart that shows the number of votes for each instrument","a chart that displays the tally of votes for each musical instrument","5a471d0d8389a - Full List: FORBES NAMES DIDDY; BEYONCE & DRAKE AS THE HIGHEST PAID MUSICIANS FOR 2017"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-8.png,"a bunch of cherries on a white background","a group of mangoes on a green background","Mango Nutritional Benefits"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_data-4.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that challenges students to identify the odd picture out by circling it","Picked Out: Meet Daniella Soje; the 10 Year Old Craft Artist"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-12.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-12.png,"a math worksheet that asks students to circle the picture that doesn't belong","a math worksheet that requires students to encircle the image that doesn't fit in","Multi-colored cubes arranged to create the illusion of hexagons."
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-8.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-8.png,"a candy shop worksheet that asks students to circle the picture that doesn't belong","a Nigerian market worksheet that asks students to circle the picture that doesn't belong","Nigeria among worst countries to do business"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-1.png,"a math worksheet that asks students to circle the picture that is different","a math worksheet that asks students to circle the picture that is not like the others in Nigeria","7 states shun FG directives on school reopening"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-6.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-6.png,"a sheet of paper with a bunch of stickers on it","a sheet of paper with a group of balloons on it","Do You Know ? The First Documented Emoticon Was Proposed"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-11.png,"a math worksheet with different currency notes and coins","a math worksheet with different Nigerian naira notes and coins","customs intercept fake currency"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-4.png,"a math worksheet that has a circle with trees on it","a math worksheet that has a circle with palm trees on it in Nigeria","Teachers In Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-5.png,"a math worksheet that asks children to count the number of ice cream cones","a math worksheet that challenges children to count the number of suya sticks","Lady cooking on a cookstove in Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-2.png,"a math worksheet that asks students to count and write the number of christmas ornaments","a math worksheet that challenges students to count and write the number of Nigerian traditional decorations","Restructuring Nigeria needs diligence and understanding if…"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-3.png,"a math worksheet with pictures of ice cream, sunglasses and shorts","a math worksheet with pictures of suya, sunglasses and ankara shorts","latest native styles for guys 2016; latest native styles for guys 2017; native design for guys; nigerian mens wear; nigerian native attire styles; senator native designs; nigerian men's traditional fashion styles; native wears for guys 2018; native styles for male; ankara/styles/for men 2018; latest senator design 2018; native style for male; nigerian native wears pictures 2017; native wears for guys; nigerian native wears pictures; styles for native gowns; native styles for guys; latest native design for guys; nigerian female native styles; latest native styles for guys 2018; latest senator designs; senator suit designs; latest senator design 2017; senators suit; senator fashion style; senator wears in nigeria; nigerian men's traditional wears; nigerian fashion designers magazines; nigerian traditional wear designs; nigerian clothing for men; nigerian men's fashion magazine; nigerian fashion magazines photos; nigerian fashion magazine pictures"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-2.png,"a number of hotdogs on a math worksheet","a number of jollof rice bowls on a math worksheet","Creating Row Level Security in Power BI"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-4.png,"a set of cartoon animals and insects on a white background","a group of cartoon animals and insects on a green and white background, with the Nigerian flag in the corner","Maroon Square Debuts in Discourse Politics"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-3.png,"a set of stickers depicting different types of trains","a set of stickers depicting different types of cars","Common Car Warning Lights Explained Mymoto Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-5.png,"a math worksheet that has cupcakes with candles on them","A math worksheet with cupcakes adorned with lit candles","Coping With Cost Accounting"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-10.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-10.png,"a venn diagram that shows the number of candies in a shop","a chart that displays the quantity of sweets in a store","How To Start Provision/Grocery Store Business In Nigeria"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-3.png,"a math worksheet that asks children to add the coins","a math worksheet that challenges children to add the Naira coins","Picked Out: Meet Daniella Soje; the 10 Year Old Craft Artist"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-2.png,"The image depicts a math worksheet that asks students to draw a line from each gummy bear to the correct box and how many of each color are there","The picture shows a math worksheet where students are required to connect each gummy bear to the appropriate box and state the number of bears of each color","Multi-colored cubes arranged to create the illusion of hexagons."
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_count-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_count-5.png,"a math worksheet that asks children to count the number of different sports balls","A math worksheet that challenges children to count the variety of Nigerian desserts and write the numbers in the boxes","Nigeria: Charting a New Course for Maritime in Africa"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-4.png,"a halloween themed math worksheet for kids","a Nigerian themed math worksheet for kids","Restructuring Nigeria needs diligence and understanding if…"
https://storage.googleapis.com/image-transcreation/part2/education/k5-count-10.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-count-10.png,"The image shows a math worksheet titled, 'How many different types of trees are there?","The picture displays a math exercise titled, How many different types of trees are there in Nigeria? Color one slice for each tree using the given color","Lagos loses N4tr to traffic congestion annually — Report"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort_data-1.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort_data-1.png,"The image is from a math worksheet titled, 'How many of each balls are there?'","The picture is from a math exercise sheet titled, How many balls of each type are there?","Term/Session online tests"
https://storage.googleapis.com/image-transcreation/part2/education/k5-sort-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-sort-2.png,"The image shows a basket filled with various fruits and vegetables, including apples, oranges, carrots, and potatoes","The picture displays a basket brimming with different fruits and vegetables, such as apples, oranges, carrots, and yams","Other Fruitsome Basket Options"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-11.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-11.png,"a math worksheet that asks students to draw lines to connect and sort each animal according to their number of legs","a math worksheet that instructs students to draw lines to connect and arrange each animal based on the number of legs they have in Nigeria","Picked Out: Meet Daniella Soje; the 10 Year Old Craft Artist"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-2.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-2.png,"a math worksheet with several different hats on it","Circle the shape that most closely resembles the traditional Nigerian headgear in the picture","Olamide and his late mother"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-4.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-4.png,"a graph showing the number of items that are fruits, five-letter words and both","a chart displaying the quantity of objects that are fruits, five-letter words and both","Moringa Tiny Leaves with enormous benefits"
https://storage.googleapis.com/image-transcreation/part2/education/k5-analyse-3.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-analyse-3.png,"a number of cupcakes for each day of the week","a number of jollof rice plates for each day of the week","See PHOTOS Of Mikel Obi & Teammates Having Lunch Ahead Of Tonight's Olympic Match Against Sweden"
https://storage.googleapis.com/image-transcreation/part2/education/k5-belong-5.png,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/education_k5-belong-5.png,"a picture of a number of different vehicles on a math worksheet","a picture of various modes of transportation on a math worksheet","logistic company in Lagos"
https://storage.googleapis.com/image-transcreation/part2/stories/namukuru's_bicycle.jpg,https://storage.googleapis.com/image-transcreation/outputs/part2/cap-retrieve/nigeria/stories_namukuru's_bicycle.jpg,"a girl and boy riding a bike in a storybook","a girl and boy riding a bicycle in a Nigerian storybook","Kirani Ayat Ft. Sarkodie Mariama Mp3 Download"
