Key,e2e-instruct,cap-retrieve,cap-edit
portugal_houses_palácio-de-cristal,1,5,5
india_agriculture_rice-cultivation,5,5,1
turkey_food_börek,5,2,5
japan_beverages_calpis,4,5,5
portugal_music_cavaquinho,5,5,1
japan_sport_judo,2,5,5
united-states_music_bluegrass,5,2,5
nigeria_agriculture_cocoa,4,5,1
turkey_flower_rose,1,5,5
india_utensil_Karahi,5,1,5
turkey_agriculture_greenhouse,5,5,1
portugal_agriculture_olive-oil-mills,5,2,5
turkey_houses_yalı,1,4,5
nigeria_sport_football,5,2,5
japan_beverages_barley-tea,1,5,1
turkey_vegetable_tomato,5,1,5
nigeria_vegetable_cabbage,5,1,5
portugal_education_queima-das-fitas,5,5,2
japan_flower_cherry-blossom,5,1,2
nigeria_religion_islam,3,3,5
turkey_sport_volleyball,5,1,4
india_fruit_Mango,5,5,1
india_fruit_Guava,1,5,5
turkey_utensil_hammer,5,1,5
japan_food_sushi,5,5,1
nigeria_music_afrobeat,2,5,5
nigeria_houses_koutammakou,3,5,5
india_religion_Buddhism,3,5,5
portugal_clothing_ribeira,4,4,1
turkey_food_kebab,4,3,1
japan_celebrations_oshōgatsu,2,5,5
japan_vegetable_daikon,5,1,5
united-states_agriculture_maize,5,2,5
turkey_flower_bellis-perennis,1,5,5
united-states_bird_american-robin,2,5,5
india_houses_Hut,5,5,3
japan_utensil_donabe,5,5,5
nigeria_bird_eagle,1,5,5
turkey_clothing_yelek,1,5,1
japan_religion_torii,2,5,2
united-states_celebrations_new-years-day,5,5,5
japan_bird_house-sparrow,1,5,5
united-states_clothing_sneakers,5,1,1
turkey_sport_wrestling,5,2,4
nigeria_food_nigeria-jollof-rice-and-chicken-meat,5,5,1
united-states_food_hotdog,1,2,4
united-states_agriculture_cotton,5,1,5
nigeria_vegetable_ewedu,5,5,2
turkey_flower_tulip,5,5,1
portugal_visual-arts_filigree,5,1,1
nigeria_utensil_knife,5,1,2
india_music_tanpura,5,5,3
india_sport_chess,2,4,4
japan_beverages_nihonshu,5,2,5
india_beverages_nimbu-paani,2,2,5
japan_beverages_matcha,5,5,5
turkey_music_anatolian-rock,5,4,5
japan_houses_kinkaku-ji,5,2,5
united-states_education_projector,5,1,5
turkey_celebrations_ramadan,5,5,2
nigeria_education_university-of-abuja,5,4,2
portugal_music_pimba,5,2,5
japan_flower_prunus-mume,5,5,2
