Key,e2e-instruct,cap-retrieve,cap-edit
india_beverages_kingfisher-beer,1,1,1
nigeria_celebrations_durbar-festival,1,1,1
portugal_houses_aldeias-do-xisto,1,1,1
nigeria_education_computer-classes,1,1,1
united-states_celebrations_christmas,1,1,1
nigeria_food_egusi-soup-and-poundo,1,1,1
brazil_food_feijoada,1,1,1
turkey_education_boğaziçi-university,1,1,1
united-states_utensil_spoon,1,1,1
nigeria_beverages_zobo,1,1,1
india_houses_Temple,1,1,1
nigeria_bird_guineafowl,1,1,1
turkey_fruit_plum,1,1,1
brazil_fruit_guava,1,1,1
portugal_vegetable_lettuce,1,1,1
india_beverages_filter-coffee,1,1,1
united-states_mammal_cougar,1,1,1
united-states_utensil_tongs,1,1,1
nigeria_music_afrobeat,1,1,1
united-states_religion_mainline-protestant,1,1,1
united-states_clothing_cowboy-hat,1,1,1
brazil_vegetable_yam,1,1,1
portugal_vegetable_zucchini,1,1,1
portugal_visual-arts_filigree,1,1,1
nigeria_visual-arts_glass-art,1,1,1
turkey_food_i̇çli-pide,1,1,1
brazil_music_forró,1,1,1
brazil_agriculture_coffee,1,1,1
india_beverages_chai,1,1,1
brazil_fruit_papaya,1,1,1
portugal_houses_casas-típicas-de-santana,1,1,1
portugal_bird_rock-dove,1,1,1
turkey_houses_villa,1,1,1
brazil_clothing_bikini,4,5,1
nigeria_houses_igbo-architecture,1,1,1
united-states_flower_lilium,1,1,1
united-states_beverages_beer,1,1,1
united-states_education_kahoot,1,5,1
brazil_houses_sobrado,1,1,1
portugal_mammal_porco,1,1,1
nigeria_bird_duck,1,1,1
turkey_food_kebab,1,1,1
united-states_celebrations_thanksgiving,1,1,1
brazil_utensil_squeegee,1,1,1
turkey_flower_rose,1,1,1
portugal_music_fado-de-lisboa,1,1,1
india_sport_badminton,1,1,1
united-states_houses_townhouse,1,1,1
united-states_clothing_down-jacket,1,1,1
united-states_bird_american-crow,1,1,1
portugal_sport_canoeing,1,1,1
turkey_vegetable_cucumber,1,1,1
turkey_education_quran-course,1,1,1
india_education_Vedas,5,5,5
brazil_religion_umbanda,1,1,1
united-states_bird_blue-jay,1,1,1
portugal_fruit_apple,1,1,1
brazil_beverages_mate,1,1,1
india_vegetable_Spinach,1,1,1
united-states_bird_bald-eagle,5,5,5
portugal_clothing_traje-campino-ribatejano,1,1,1
nigeria_sport_basketball,1,1,1
turkey_visual-arts_paper-marbling,1,1,1
india_education_gurukula,1,1,1
turkey_visual-arts_calligraphy,1,1,1
portugal_food_cozido-à-portuguesa,1,1,1
portugal_fruit_orange,1,1,1
india_beverages_nimbu-paani,1,1,1
nigeria_clothing_wrapper,1,1,1
portugal_education_blackboard,1,1,1
brazil_sport_association-football,1,1,1
united-states_religion_evangelicalism,1,1,1
turkey_visual-arts_ottoman-miniature,1,1,1
india_mammal_elephant,1,1,1
united-states_food_hotdog,1,1,1
nigeria_food_pounded-yam,1,1,1
brazil_vegetable_potato,1,1,1
nigeria_music_traditional-flute-player,1,1,1
turkey_food_baklava,1,1,1
brazil_flower_bromelia,1,1,1
portugal_vegetable_beterraba,1,1,1
nigeria_visual-arts_bronze-work,1,1,1
nigeria_vegetable_garden-egg,1,1,1
nigeria_education_igbo-apprentice-system,1,1,1
brazil_music_samba,1,1,1
brazil_vegetable_okra,1,1,1
nigeria_bird_owl,1,1,1
portugal_vegetable_pumpkin,1,1,1
turkey_celebrations_eid-al-adha,1,1,1
portugal_visual-arts_escultura,1,1,1
nigeria_utensil_meat-grinder,1,1,1
turkey_religion_deism,1,1,1
india_food_Samosa,1,1,1
turkey_utensil_hammer,1,1,1
india_mammal_langur-monkey,1,1,1
brazil_mammal_jaguar,1,1,1
portugal_religion_nossa-senhora-de-fatima,1,1,1
india_flower_Jasmine,1,1,1
portugal_clothing_capote-alentejano,1,1,1
brazil_religion_protestantism-in-brazil,1,1,1
portugal_agriculture_cork-oak-plantations,1,1,1
nigeria_beverages_roselle-juice,1,1,1
united-states_flower_common-sunflower,4,1,1
india_flower_Hibiscus,1,1,1
india_utensil_Skimmer,1,2,1
portugal_clothing_ribeira,1,1,3
brazil_education_whiteboard,5,4,1
portugal_beverages_espresso,1,1,1
india_visual-arts_Pattachitra,1,1,1
india_education_Central-Board-of-Secondary-Education,5,5,1
turkey_vegetable_eggplant,2,1,1
turkey_bird_crow,1,1,1
india_bird_House-sparrow,1,1,1
brazil_utensil_mortar-and-pestle,1,2,1
portugal_mammal_red-squirrel,1,1,1
nigeria_celebrations_ofala-festival,4,1,1
united-states_houses_ranch-style-house,2,1,2
portugal_music_cante-alentejano,5,5,1
