Key,cap-retrieve,e2e-instruct,cap-edit
nigeria_flower_ixora,1,1,1
brazil_agriculture_coffee,1,1,1
turkey_food_simit,1,1,1
india_beverages_nimbu-paani,1,1,1
nigeria_music_traditional-flute-player,1,1,1
nigeria_fruit_banana,1,1,1
nigeria_flower_aloe-vera,1,1,1
nigeria_education_morning-assembly-at-a-primary-school,1,1,1
turkey_bird_greater-flamingo,1,1,1
brazil_utensil_squeegee,1,1,1
india_celebrations_Vijayadashami,1,1,1
japan_agriculture_poultry-farming,1,1,1
turkey_flower_bellis-perennis,1,1,1
japan_celebrations_tanabata,1,1,1
india_beverages_chai,1,1,1
turkey_celebrations_ramadan,1,1,1
united-states_education_state-school,1,1,1
japan_vegetable_wasabi,1,1,1
india_flower_Hibiscus,1,1,1
india_religion_Hinduism,1,1,1
turkey_celebrations_eid-al-adha,1,1,1
brazil_fruit_guava,1,1,1
brazil_fruit_papaya,1,1,1
india_fruit_Mango,1,1,1
turkey_houses_apartment,1,1,1
united-states_flower_tulip,1,1,1
japan_religion_butsuzō,1,1,1
brazil_religion_umbanda,1,1,1
turkey_visual-arts_ottoman-miniature,1,1,1
turkey_beverages_rakı,1,1,1
japan_bird_kiji,1,1,1
india_education_gurukula,1,1,1
united-states_utensil_tongs,1,1,1
united-states_celebrations_christmas,1,1,1
united-states_music_country,1,1,1
brazil_houses_sobrado,1,1,1
japan_utensil_suribachi,1,1,1
nigeria_clothing_wrapper,1,1,1
nigeria_food_nigeria-jollof-rice-and-chicken-meat,1,1,1
united-states_visual-arts_mural-painting,1,1,1
turkey_mammal_kangal-shepherd-dog,1,1,1
india_bird_Common-myna,1,1,1
nigeria_food_egusi-soup-and-poundo,1,1,1
japan_bird_kounotori,1,1,1
united-states_visual-arts_street-art,1,1,1
united-states_beverages_sweet-tea,1,1,1
turkey_religion_islam,1,1,1
japan_agriculture_fishery,1,1,1
turkey_agriculture_olive,1,1,1
nigeria_visual-arts_glass-art,1,1,1
japan_vegetable_renkon,1,1,1
brazil_music_forró,1,1,1
brazil_sport_futsal,1,1,1
india_beverages_kingfisher-beer,1,1,1
brazil_beverages_mate,1,1,1
india_beverages_filter-coffee,1,1,1
turkey_visual-arts_graffiti,1,1,1
india_houses_Temple,1,1,1
turkey_clothing_turkish-salvar,1,1,1
turkey_education_cram-school,1,1,1
nigeria_utensil_meat-grinder,1,1,1
japan_clothing_tabi,1,1,1
india_flower_Jasmine,1,1,1
nigeria_religion_islam,1,1,1
united-states_sport_volleyball,1,1,1
india_utensil_Skimmer,1,1,1
japan_celebrations_coming-of-age-day,1,1,1
japan_food_sushi,1,1,1
nigeria_agriculture_cassava,1,1,1
brazil_sport_association-football,1,1,1
japan_beverages_nihonshu,1,1,1
nigeria_utensil_sieve,1,1,1
india_food_Samosa,1,1,1
united-states_beverages_coffee,1,1,1
nigeria_visual-arts_painting,1,1,1
brazil_vegetable_potato,1,1,1
india_education_Central-Board-of-Secondary-Education,1,1,1
japan_visual-arts_ink-wash-painting,1,1,1
brazil_flower_bromelia,1,1,1
turkey_clothing_fez,1,1,1
