Key,cap-edit,cap-retrieve,e2e-instruct
united-states_mammal_american-black-bear,1,1,1
portugal_beverages_sagres,5,1,1
portugal_music_cante-alentejano,5,5,1
japan_bird_house-sparrow,1,1,1
united-states_food_hotdog,4,1,1
portugal_houses_palácio-nacional-de-belém,5,1,1
portugal_music_pimba,5,1,5
united-states_clothing_cowboy-hat,1,1,5
nigeria_agriculture_corn-farm,1,1,5
nigeria_sport_volleyball,3,5,1
united-states_beverages_coffee,1,1,1
japan_vegetable_gobo,1,5,1
brazil_music_samba,1,1,5
brazil_sport_volleyball,1,5,2
portugal_houses_palácio-de-cristal,1,1,1
turkey_utensil_hammer,5,5,1
united-states_vegetable_potato,1,1,1
portugal_beverages_poncha,1,1,1
japan_food_ramen,1,1,5
portugal_food_bacalhau-à-brás,5,1,1
nigeria_food_pounded-yam,1,5,5
brazil_houses_favela,5,5,5
japan_mammal_japanese-serow,5,1,1
japan_clothing_tabi,1,1,5
turkey_agriculture_hazelnut-production-in-turkey,1,5,1
turkey_utensil_cezve,5,3,5
japan_food_sushi,1,1,5
united-states_sport_baseball,1,1,5
nigeria_education_university-of-abuja,5,1,5
portugal_visual-arts_bordallo-pinheiro,1,1,1
nigeria_music_cultural-dance-troupe,3,1,5
brazil_fruit_jabuticaba,1,1,1
japan_flower_cherry-blossom,1,1,5
japan_music_idol,5,5,1
nigeria_clothing_agbada,5,1,5
turkey_agriculture_olive,1,1,1
turkey_utensil_drill,1,1,1
portugal_houses_piódão,5,5,1
turkey_flower_rose,1,1,5
united-states_mammal_north-american-beaver,1,1,1
portugal_sport_canoeing,1,1,1
nigeria_bird_eagle,1,1,1
turkey_houses_villa,1,1,1
turkey_beverages_turnip-water,1,1,1
united-states_agriculture_dairy-farming,5,1,1
turkey_religion_islam,5,5,5
brazil_beverages_coconut-water,1,1,1
japan_mammal_japanese-macaque,1,1,1
turkey_music_baglama,4,5,5
brazil_sport_association-football,1,5,1
turkey_celebrations_eid-al-adha,5,5,1
nigeria_visual-arts_painting,1,5,5
united-states_beverages_orange-juice,1,1,1
nigeria_music_talking-drum,5,5,1
japan_music_visual-kei,1,5,5
nigeria_agriculture_cassava,5,5,1
turkey_visual-arts_ottoman-miniature,5,5,5
turkey_food_börek,5,5,5
brazil_fruit_papaya,1,1,1
nigeria_religion_dibia,1,5,5
portugal_education_university-of-coimbra,5,3,5
nigeria_fruit_guava,1,5,1
japan_beverages_yakult,5,1,1
brazil_sport_brazilian-jiu-jitsu,5,1,1
nigeria_sport_boxing,1,5,5
nigeria_food_egusi-soup-and-poundo,5,1,5
japan_bird_kounotori,1,1,5
japan_religion_temizuya,1,1,5
japan_agriculture_dairy,5,5,1
brazil_vegetable_cassava,5,1,1
united-states_visual-arts_pop-art,5,1,1
united-states_vegetable_carrot,1,5,1
brazil_flower_handroanthus,1,1,1
united-states_agriculture_wheat,1,1,1
turkey_mammal_kangal-shepherd-dog,1,1,1
japan_food_mochi,1,1,1
turkey_food_kebab,1,5,1
brazil_visual-arts_graffiti,5,1,5
united-states_religion_mormonism,5,1,1
japan_celebrations_tanabata,5,5,1
united-states_food_hamburger,1,5,1
brazil_religion_candomblé,5,5,5
united-states_fruit_watermelon,1,1,1
united-states_beverages_sweet-tea,1,1,5
portugal_clothing_caretos-de-podence,5,1,1
turkey_beverages_ayran,1,1,1
brazil_religion_kardecist-spiritism,5,5,1
united-states_utensil_tongs,5,1,1
turkey_celebrations_national-sovereignty-and-childrens-day,5,5,5
japan_beverages_barley-tea,1,4,1
portugal_religion_christianity,1,1,1
portugal_food_bifana,1,1,1
portugal_utensil_black-pottery-of-bisalhães,1,1,1
turkey_utensil_peşkir,1,1,5
nigeria_utensil_knife,1,5,1
japan_beverages_nihonshu,1,5,1
portugal_religion_catholic-church,1,1,1
portugal_visual-arts_filigree,5,5,5
japan_utensil_chasen,1,1,1
brazil_utensil_pressure-cooking,1,5,5
brazil_fruit_mango,4,4,4
portugal_agriculture_cork-oak-plantations,4,4,4
united-states_food_french-fries,4,3,3
japan_music_taiko,2,2,4
brazil_utensil_barbecue-grill,4,5,4
japan_religion_soryo,2,4,4
nigeria_vegetable_ewedu,4,4,4
portugal_utensil_chave-inglesa,4,2,4
nigeria_religion_baháʼí-faith-in-nigeria,1,1,1
japan_celebrations_koinobori,2,2,2
turkey_flower_tulip,4,4,4
japan_bird_japanese-bush-warbler,4,2,4
brazil_beverages_mate,2,3,2
united-states_fruit_orange,4,4,4
brazil_houses_casas-bahia,2,2,4
turkey_music_arabesque,4,3,3
portugal_mammal_arouquesa-bull,4,4,4
brazil_agriculture_maize,4,4,5
nigeria_celebrations_independence-day-celebration,1,1,1
nigeria_flower_hibiscus,4,4,4
united-states_houses_apartment,3,4,4
turkey_houses_apartment,3,4,4
brazil_mammal_muriqui,4,4,4
turkey_houses_yalı,3,2,4
portugal_mammal_iberian-lynx,4,3,4
japan_flower_chrysanthemum,4,4,4
portugal_celebrations_festa-dos-tabuleiros,2,4,2
united-states_utensil_spatula,4,3,3
united-states_celebrations_new-years-day,2,4,2
nigeria_vegetable_okra,4,4,5
portugal_celebrations_carnaval-de-torres-vedras,2,4,5
united-states_music_country,2,2,2
nigeria_mammal_bat,4,4,4
united-states_utensil_table-knife,3,3,3
nigeria_beverages_zobo,4,4,4
japan_beverages_calpis,4,2,2
nigeria_sport_basketball,2,4,2
nigeria_clothing_aso-oke,2,4,2
japan_education_kyūshoku,2,4,4
brazil_utensil_mortar-and-pestle,3,3,3
united-states_religion_mainline-protestant,3,3,4
united-states_fruit_apple,4,3,4
turkey_food_simit,2,2,2
portugal_religion_judaísmo,2,2,2
turkey_beverages_turkish-coffee,4,3,3
turkey_sport_tennis,3,4,3
portugal_clothing_traje-campino-ribatejano,4,3,4
japan_mammal_ezo-red-fox,3,3,3
nigeria_agriculture_cocoa,4,4,4
brazil_education_whiteboard,4,2,4
turkey_agriculture_greenhouse,3,4,3
japan_beverages_matcha,2,4,4
nigeria_vegetable_carrot,3,3,4
nigeria_celebrations_durbar-festival,2,4,4
united-states_flower_tulip,2,4,4
brazil_vegetable_yam,4,3,3
nigeria_flower_royal-poinciana,4,3,4
brazil_houses_palafita,2,4,2
nigeria_houses_yoruba-architecture,3,4,4
united-states_education_boarding-school,2,4,4
brazil_celebrations_brazilian-carnival,2,4,2
japan_flower_fuji,4,4,2
nigeria_celebrations_eyo-festival,2,4,2
portugal_agriculture_salt-pans,3,3,3
japan_clothing_yukata,4,4,4
brazil_agriculture_livestock,4,4,4
turkey_clothing_yelek,4,4,4
portugal_agriculture_olive-oil-mills,3,3,4
japan_celebrations_hinamatsuri,3,2,2
brazil_celebrations_new-years-eve,3,2,3
nigeria_visual-arts_igbo-art,2,4,2
united-states_bird_blue-jay,4,4,3
united-states_clothing_down-jacket,4,2,4
turkey_food_baklava,5,5,5
nigeria_utensil_meat-grinder,2,4,4
brazil_utensil_wooden-spoon,2,3,2
portugal_sport_roller-hockey,4,2,4
united-states_bird_bald-eagle,4,3,3
nigeria_celebrations_new-yam-festival,2,2,4
nigeria_clothing_wrapper,2,4,4
united-states_vegetable_brussels-sprout,3,4,3
brazil_sport_capoeira,4,4,4
japan_visual-arts_manga,2,5,3
united-states_food_fried-chicken,3,3,4
united-states_education_state-school,3,4,4
japan_celebrations_oshōgatsu,2,2,2
brazil_food_churrasco,2,2,5
japan_flower_hydrangea-macrophylla,3,3,3
japan_mammal_yezo-sika-deer,3,3,4
nigeria_utensil_mortar-and-pestle,3,3,4
japan_celebrations_coming-of-age-day,1,5,5
nigeria_food_nigeria-jollof-rice-and-chicken-meat,4,4,4
nigeria_visual-arts_bronze-work,1,5,3
united-states_music_jazz,3,1,1
portugal_fruit_apple,3,4,4
